slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,14,12,2,1,0,0,11,3,1,0.054462277204289006,0.07912561851826405,0.008094852712166435,0.033855684954570635,0.008950860443586513,7.885106708985487e-19,0.0,1522390.6109968177,416981.5602272781,1.3844861394952911e-17,356006.3333333334,0.054919023575280224,11
1,14,14,0,1,0,0,13,1,1,0.06400069804745015,0.09342055789614778,0.008353811092406111,0.03582632482406603,0.016410330572605752,7.339214706055722e-19,0.0,1739930.606997686,418672.2734559487,1.2343037252860107e-17,332229.6666666666,0.11803833704102895,23
2,15,12,3,0,0,0,12,3,0,0.06431602844937444,0.09202995368983838,0.007894052166478682,0.039930660944840324,0.013126233326301062,3.6140072416183483e-19,0.0,1715319.2421568322,410503.6133667845,6.674063399259937e-18,315783.6666666666,0.1616971157845184,33
3,17,16,1,0,0,0,16,1,0,0.07679636424782929,0.1254906030297556,0.007809340369243281,0.04753277310756025,0.014803931528511189,8.673617379884035e-19,0.0,1664177.7774973167,457548.0656137925,1.2078458892757727e-17,299747.0,0.20426924771830712,43
4,24,21,3,0,0,0,21,3,0,0.06943389710983855,0.10337725399672297,0.007922554893682219,0.04298602625020524,0.014510287808064777,1.6521175961683876e-19,0.0,1626755.6088916843,300010.1823998518,3.183780035199394e-18,268951.0,0.2860226072090344,60
5,24,18,6,0,0,0,18,6,0,0.06895980618190901,0.10253032259610231,0.00815830447813942,0.04441633655329145,0.012792720715595908,7.709882115452476e-19,0.0,1475281.094258158,402665.1552036033,9.013207862252671e-18,252251.33333333337,0.330354788413584,70
6,16,14,2,0,0,0,14,2,0,0.06451834014074487,0.09851891350806005,0.00804164870901128,0.044119406392032164,0.010696871644530157,5.266124837786735e-19,0.0,1542246.4816091894,190064.5789256511,8.46532509039771e-18,234768.6666666667,0.3767655798428786,77
7,26,23,3,1,0,0,22,4,1,0.0671140515605341,0.12221108889564124,0.007452089656776067,0.04026142965031038,0.015449733344603051,1.9712766772463716e-19,0.0,1652692.142760995,450624.33737999364,3.578938909773915e-18,205362.33333333334,0.45482982650816484,93
8,26,21,5,0,0,0,21,5,0,0.07073268577689731,0.10737334115629839,0.008162770345892287,0.04543984172096454,0.012497873385736134,4.956352788505163e-19,0.0,1515882.4072509587,333469.399651203,6.8086239456825355e-18,198423.33333333337,0.47325061367228205,99
9,21,16,5,0,0,0,16,5,0,0.07906113604017405,0.12506768054485162,0.008496384868831003,0.04862427896408861,0.015701715923004476,8.402566836762659e-19,0.0,1997848.9630343898,538821.6523576191,1.1084064316252725e-17,209496.00000000003,0.44385628653495934,93
10,26,19,7,0,0,0,19,7,0,0.06955263781825334,0.10182004961520236,0.008051536428241302,0.04617548084055424,0.01248797237842523,6.391086490440868e-19,0.0,1594797.3431171759,315221.4132253633,8.112597054592313e-18,199672.33333333337,0.46993492507623336,98
11,17,15,2,0,0,0,15,2,0,0.07503058272727009,0.117719223040844,0.007818368231975629,0.04879327145136636,0.012069249794755108,1.734723475976807e-18,0.0,1618290.1519549212,444178.3838596643,1.9129897143589875e-17,205981.0,0.4531874678120703,96
12,20,16,4,0,0,0,16,4,0,0.06642510193697365,0.10995269783775717,0.008392550685696774,0.03952790903422704,0.014665962963446763,7.047314121155779e-19,0.0,1913572.8048020243,448920.6744354998,7.429930858057946e-18,193276.0,0.4869151088151126,102
13,16,13,3,0,0,0,13,3,0,0.06697917516051219,0.10174668612206549,0.007662349732823145,0.03929738211748117,0.016449715083581326,7.339214706055722e-19,0.0,1644307.032818243,436240.35577949876,1.3534493962315783e-17,201799.6666666667,0.4642875472753304,97
14,19,17,2,0,0,0,17,2,0,0.0665648966773079,0.09060350734606835,0.007744106612278183,0.03908356270497361,0.015922472711647612,3.3163831158380133e-19,0.0,1646225.1759994377,347864.96607935755,4.920997395834087e-18,185054.00000000003,0.5087418435122406,104
15,23,17,6,0,0,0,17,6,0,0.07018185338935488,0.09569708884607682,0.008264472780365807,0.045590703392831944,0.013089727361163716,6.122553444624025e-19,0.0,1688570.6839095752,298465.61152733234,9.208087570019285e-18,177984.6666666667,0.5275086232680459,109
16,23,18,5,0,0,0,18,5,0,0.06885764347737304,0.11104201115176827,0.008675346012719555,0.042325207602977075,0.01428601954941331,8.1917497476682555e-19,0.0,1717378.9578319506,412928.41984401434,8.715404455070305e-18,164165.6666666667,0.5641935717939052,117
17,22,19,3,0,0,0,19,3,0,0.06876993294607853,0.10146847051328561,0.007680811984780715,0.04153893513703805,0.014417783752222565,1.0043135913549936e-18,0.0,1786284.9525534206,510641.6857776824,1.1755348590027327e-17,160315.00000000003,0.574415838850632,118
18,15,13,2,0,0,0,13,2,0,0.06791441214985736,0.09760791314265592,0.007802132182215659,0.04242068061157282,0.014380708729491773,4.670409358399096e-19,0.0,1733889.942553761,415260.4636358119,7.122184570194806e-18,160654.6666666667,0.5735141343725498,116
19,22,19,3,0,0,0,19,3,0,0.08150874878277017,0.14252555665089284,0.00820095529573751,0.05603346999920494,0.013226734386877163,1.8260247115545337e-19,0.0,1865142.3019246678,475968.75524358626,1.1407617109511122e-18,150686.0,0.5999777007332212,122
20,28,19,9,0,0,0,19,9,0,0.06970215821279549,0.10097001904966714,0.008696813306762774,0.04116066642585209,0.015416328386269927,9.130123557772668e-19,0.0,2006546.4093625804,484126.3385042613,1.0209079029822175e-17,148674.33333333337,0.605318021170145,126
21,18,15,3,0,0,0,15,3,0,0.07846770283635215,0.10894411422467634,0.008716894362741149,0.04352691812925864,0.021671769117818037,1.0408340855860842e-18,0.0,2128029.0894804215,549377.6353135128,1.1567571904574305e-17,153819.00000000003,0.5916606051596255,124
22,21,20,1,1,0,0,19,2,1,0.06811612704653812,0.13527336858368308,0.008419447054198306,0.03892723750222873,0.015098385591261058,1.0956148269327202e-18,0.0,2011147.8821947123,586629.7644250302,1.8222099093552337e-17,151076.00000000003,0.5989423776327735,124
23,16,14,2,0,0,0,14,2,0,0.07707120089190574,0.10533715073552559,0.007806406573696928,0.04710093850722831,0.017812604581739284,3.717264591378872e-19,0.0,1835501.0288072978,507798.91100083885,6.1369395169423765e-18,159997.33333333337,0.5752591404871503,120
24,26,19,7,0,0,0,19,7,0,0.07945789207747196,0.11982690334275387,0.008574595416397037,0.04749645558562819,0.017936902940266446,2.282530889443167e-19,0.0,2060254.2209665368,524992.1021781429,3.0130591557128313e-18,154529.6666666667,0.5897740163988099,127
25,19,15,4,0,0,0,15,4,0,0.06309444422117028,0.12967567469436853,0.007746858941797374,0.03842870074628877,0.012477614188865888,9.251858538542971e-19,0.0,1599454.8199578833,306760.415731666,1.1394765067276057e-17,141024.6666666667,0.625625397095078,130
26,21,14,7,0,0,0,14,7,0,0.06629563809049145,0.09345126763166504,0.007436456825489977,0.0373473358462706,0.017453639135996412,1.053224967557347e-18,0.0,1956408.7066898856,560367.704322209,1.5758404706811857e-17,144290.00000000003,0.6169569995805613,126
27,15,14,1,0,0,0,14,1,0,0.06070013944596864,0.08356801220633286,0.008245062281079575,0.03692887198825397,0.011340037114993947,1.2390881971262908e-18,0.0,1650589.7015503978,296071.1384112502,1.7781368638075373e-17,148097.6666666667,0.6068488835323453,123
28,20,13,7,1,0,0,12,8,1,0.06590024645618815,0.08363164235573647,0.008011989726063146,0.03828563691307429,0.014842095133929664,3.2526065174565133e-19,0.0,1965387.1401678335,574180.3406313829,5.31203483629096e-18,148259.00000000003,0.6064205960275448,124
29,15,13,2,0,0,0,13,2,0,0.07386662786819367,0.10923344140135471,0.008356306519775212,0.04316641073947444,0.016207335172491684,8.340016711426957e-19,0.0,1910492.6875706355,509825.1215849313,1.0386554819677998e-17,152235.00000000003,0.5958656097522126,123
30,22,15,7,0,0,0,15,7,0,0.07525676803855816,0.12081864599422591,0.007917491757209546,0.04460303255156357,0.017894878131742308,1.3299546649155522e-18,0.0,1972367.979895294,552737.2938195515,1.3842372378290188e-17,152466.33333333337,0.5952514950242548,122
31,26,22,4,0,0,0,22,4,0,0.07883533303883335,0.11760788214832335,0.007709807477796738,0.04648514940936446,0.016822160038470497,1.3798936740724601e-18,0.0,2038315.2543946207,646925.5676798668,1.5242212221395992e-17,132376.6666666667,0.648583023178849,135
32,27,19,8,0,0,0,19,8,0,0.06696337288670569,0.12278912385453394,0.007978627304156357,0.039417789888872054,0.014572401309765679,6.162833401496551e-19,0.0,1900291.6559767143,474339.6811795919,1.0921201617100952e-17,121440.00000000003,0.6776163145683233,140
33,28,22,6,0,0,0,22,6,0,0.07141689306818676,0.10885765554520246,0.00794077839055472,0.043247873290510955,0.016026312584779125,8.082234376710124e-19,0.0,1717644.1085066071,371550.3479176086,7.717112906914557e-18,113422.33333333334,0.69890061075214,148
34,20,15,5,0,0,0,15,5,0,0.07027567934708598,0.11421756521423113,0.007763130169503934,0.040987250913437516,0.018209018605063205,2.8912057932946783e-19,0.0,1827475.2624676388,472125.0492335761,3.721356297125239e-18,112490.00000000003,0.701375652386287,146
35,23,20,3,0,0,0,20,3,0,0.0715445703793131,0.11630476451774388,0.008495777199161707,0.044593041874989456,0.014996156201478653,6.505213034913027e-19,0.0,1906056.8079942018,487715.00629875215,1.037322058618665e-17,102099.00000000003,0.7289603763266735,150
36,26,20,6,0,0,0,20,6,0,0.07119278530552364,0.11562770573818966,0.007812217223688553,0.04223666429734994,0.016933901966264923,7.37257477290143e-19,0.0,1904062.489284309,511877.69779333175,9.579791203441385e-18,102163.66666666669,0.7287887073681378,150
37,24,21,3,0,0,0,21,3,0,0.07049256907317142,0.11086010829610932,0.008513327511115384,0.045913447725990625,0.012913712560641166,4.130293990420969e-19,0.0,1924163.0780995656,428242.75473807176,6.063223690094359e-18,93707.33333333336,0.7512375208170734,157
38,19,17,2,0,0,0,17,2,0,0.07329423824213863,0.12155820061120821,0.007903791069769336,0.046110692012634236,0.015150660588713824,5.102127870520021e-19,0.0,1910979.8001466806,551990.3591534602,8.101620238192404e-18,98121.00000000003,0.7395206719512388,155
39,23,18,5,0,0,0,18,5,0,0.07128090959797022,0.1038948014447451,0.007318756072947744,0.04606817769690697,0.014392543635617754,5.300543954373578e-19,0.0,1706135.1758570364,484137.91879487946,6.2860273716143544e-18,101030.33333333336,0.7317973386002077,152
40,26,21,5,0,0,0,21,5,0,0.06346273435167912,0.1155141961397059,0.00807986591601402,0.03991738973978243,0.01285378212498162,9.912705577010326e-19,0.0,1831130.347767204,366261.5919879369,1.1508171773115596e-17,87427.33333333337,0.7679088774088959,157
41,18,14,4,0,0,0,14,4,0,0.07244430818142931,0.10976472560703046,0.008466400782696296,0.040174760846864575,0.018296732427024197,1.270065402054448e-18,0.0,2183524.3088849764,788588.7562985277,1.7466001836272232e-17,87928.00000000003,0.7665797703175521,156
