slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,23,23,0,0,0,0,23,0,0,0.02830614476057167,0.05801869522074192,0.007983878976849759,0.020322265783721923,0.0,0.0,0.0,0.0,0.0,0.0,363513.6,0.03231700694469586,23
1,19,19,0,0,0,0,19,0,0,0.019687737479663604,0.0321557060950737,0.007872409052357527,0.01181532842730608,0.0,0.0,0.0,0.0,0.0,0.0,353667.6,0.05852732410923256,35
2,14,14,0,0,0,0,14,0,0,0.020466729685132076,0.0259631091617103,0.007555852913654308,0.012910876771477767,0.0,0.0,0.0,0.0,0.0,0.0,349702.6,0.069082260891417,41
3,15,15,0,0,0,0,15,0,0,0.020399787293240643,0.03905424646255399,0.007926152687163037,0.0124736346060776,0.0,0.0,0.0,0.0,0.0,0.0,342846.6,0.08733311753168349,48
4,25,25,0,0,0,0,25,0,0,0.021440737122411683,0.052020148581387995,0.008202436716558632,0.013238300405853052,0.0,0.0,0.0,0.0,0.0,0.0,332250.6,0.11553995489461566,65
5,15,15,0,0,0,0,15,0,0,0.022222352880050898,0.03476734978438521,0.008254040460879193,0.013968312419171708,0.0,0.0,0.0,0.0,0.0,0.0,328904.6,0.124447097006391,72
6,22,22,0,0,0,0,22,0,0,0.025274599554509957,0.04716528320968171,0.007993376361068725,0.017281223193441234,0.0,0.0,0.0,0.0,0.0,0.0,318609.6,0.1518526642630338,91
7,20,20,0,0,0,0,20,0,0,0.023803221917141924,0.04845056022350611,0.007848390386256756,0.01595483153088517,0.0,0.0,0.0,0.0,0.0,0.0,315010.6,0.1614332991884012,100
8,16,16,0,0,0,0,16,0,0,0.025120379235058908,0.06349219211606327,0.007383808660025373,0.017736570575033538,0.0,0.0,0.0,0.0,0.0,0.0,312855.6,0.16716996722512445,102
9,27,27,0,0,0,0,27,0,0,0.024679456692651043,0.0434415024493648,0.008210951266002579,0.01646850542664846,0.0,0.0,0.0,0.0,0.0,0.0,304852.6,0.18847416875547052,112
10,22,22,0,0,0,0,22,0,0,0.02226498039557162,0.03264343513635418,0.007723411793478763,0.014541568602092858,0.0,0.0,0.0,0.0,0.0,0.0,301308.6,0.1979083921996222,118
11,22,22,0,0,0,0,22,0,0,0.022104729384854416,0.039707746863213045,0.008366998327256356,0.013737731057598053,0.0,0.0,0.0,0.0,0.0,0.0,295723.6,0.21277581261034106,129
12,17,17,0,0,0,0,17,0,0,0.03018630854761875,0.07309884447942003,0.008467632942241015,0.02171867560537774,0.0,0.0,0.0,0.0,0.0,0.0,292097.6,0.2224283222628507,134
13,15,15,0,0,0,0,15,0,0,0.03099018542349918,0.0628412380757053,0.008365000355076068,0.022625185068423107,0.0,0.0,0.0,0.0,0.0,0.0,295034.6,0.2146099491659338,130
14,18,18,0,0,0,0,18,0,0,0.033326885655826796,0.07731882339681415,0.008140015922821396,0.025186869733005404,0.0,0.0,0.0,0.0,0.0,0.0,290990.6,0.22537518607568252,137
15,14,14,0,0,0,0,14,0,0,0.022495858691019582,0.04033595064556289,0.008483303733668934,0.014012554957350645,0.0,0.0,0.0,0.0,0.0,0.0,292661.6,0.22092693907365724,134
16,18,18,0,0,0,0,18,0,0,0.021095419960871793,0.04619067053592378,0.007686445770515491,0.013408974190356308,0.0,0.0,0.0,0.0,0.0,0.0,289651.6,0.22893964013655133,140
17,9,9,0,0,0,0,9,0,0,0.0307673420175874,0.053546101819077215,0.007750887798118222,0.023016454219469185,0.0,0.0,0.0,0.0,0.0,0.0,293644.6,0.21831016660029345,132
18,21,21,0,0,0,0,21,0,0,0.02073014094539305,0.02640532321512421,0.00770984481426532,0.013020296131127733,0.0,0.0,0.0,0.0,0.0,0.0,287269.6,0.23528058828665555,140
19,25,25,0,0,0,0,25,0,0,0.023036244758522458,0.03905048310255855,0.008650070269429638,0.014386174489092822,0.0,0.0,0.0,0.0,0.0,0.0,285035.6,0.24122755645094307,143
20,21,21,0,0,0,0,21,0,0,0.019619649319430908,0.033175129645004305,0.008653129267667118,0.010966520051763793,0.0,0.0,0.0,0.0,0.0,0.0,284181.6,0.2435009274501828,145
21,21,21,0,0,0,0,21,0,0,0.02872612710122291,0.06808599697381873,0.007842388312967892,0.02088373878825503,0.0,0.0,0.0,0.0,0.0,0.0,286692.6,0.23681657782595456,146
22,19,19,0,0,0,0,19,0,0,0.022578048722828977,0.04552169817021061,0.007400029147435741,0.015178019575393237,0.0,0.0,0.0,0.0,0.0,0.0,290834.6,0.22579046227694877,143
23,29,29,0,0,0,0,29,0,0,0.02138456974078704,0.036448779571780755,0.00826074936126955,0.013123820379517495,0.0,0.0,0.0,0.0,0.0,0.0,283611.6,0.2450182828009635,151
24,21,21,0,0,0,0,21,0,0,0.024141326827724185,0.042852560962205334,0.007808094593779293,0.016333232233944898,0.0,0.0,0.0,0.0,0.0,0.0,282850.6,0.24704408529560218,153
25,18,18,0,0,0,0,18,0,0,0.029105107588071524,0.06714636967630608,0.008518608408446877,0.020586499179624646,0.0,0.0,0.0,0.0,0.0,0.0,283267.6,0.2459340200652942,151
26,18,18,0,0,0,0,18,0,0,0.025171530470736784,0.04632875189801553,0.008006181216030476,0.017165349254706305,0.0,0.0,0.0,0.0,0.0,0.0,283365.6,0.24567314142603724,152
27,24,24,0,0,0,0,24,0,0,0.02094772011352583,0.04350913597718202,0.008035683887951351,0.012912036225574477,0.0,0.0,0.0,0.0,0.0,0.0,279659.6,0.2555386132330424,156
28,20,20,0,0,0,0,20,0,0,0.0249031608183783,0.046966222926503834,0.008138976907137965,0.016764183911240335,0.0,0.0,0.0,0.0,0.0,0.0,280765.6,0.2525944114471418,157
29,20,20,0,0,0,0,20,0,0,0.023835678483413794,0.0527570871188781,0.008581681848512124,0.015253996634901673,0.0,0.0,0.0,0.0,0.0,0.0,281113.6,0.2516680260750862,156
30,19,19,0,0,0,0,19,0,0,0.023396340797818913,0.046320560385057594,0.00852578694704569,0.014870553850773224,0.0,0.0,0.0,0.0,0.0,0.0,279387.6,0.2562626845583271,158
31,28,28,0,0,0,0,28,0,0,0.02442751225483794,0.04829824612931479,0.008205407260186334,0.01622210499465161,0.0,0.0,0.0,0.0,0.0,0.0,278469.6,0.2587064252811633,161
32,23,23,0,0,0,0,23,0,0,0.025369451283106918,0.052663121237299694,0.008488730676279765,0.016880720606827156,0.0,0.0,0.0,0.0,0.0,0.0,278265.6,0.25924947877512694,162
33,20,20,0,0,0,0,20,0,0,0.02816388708340124,0.061262678632241364,0.008246455059222562,0.01991743202417868,0.0,0.0,0.0,0.0,0.0,0.0,286100.6,0.23839249776922145,154
34,16,16,0,0,0,0,16,0,0,0.02164944216844036,0.041415283604237296,0.008311474069596826,0.013337968098843536,0.0,0.0,0.0,0.0,0.0,0.0,282593.6,0.24772822621691903,156
35,22,22,0,0,0,0,22,0,0,0.021126905809875682,0.03675015173522122,0.008686401891702155,0.012440503918173534,0.0,0.0,0.0,0.0,0.0,0.0,278788.6,0.25785723869011234,160
36,17,17,0,0,0,0,17,0,0,0.028410059130680475,0.0553552923070946,0.00780844787435823,0.02060161125632224,0.0,0.0,0.0,0.0,0.0,0.0,278234.6,0.2593320016099939,166
37,23,23,0,0,0,0,23,0,0,0.027073272758451058,0.08154762905140055,0.008575978402790273,0.018497294355660786,0.0,0.0,0.0,0.0,0.0,0.0,269841.6,0.28167439364350566,173
38,24,24,0,0,0,0,24,0,0,0.021909686766384856,0.03848672700990985,0.00860054060624272,0.013309146160142138,0.0,0.0,0.0,0.0,0.0,0.0,270399.6,0.2801889826158993,170
