slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,23,19,4,0,0,0,19,4,0,0.06745891219492738,0.08799613475210911,0.007463520077940435,0.047458378924550966,0.008822198270247822,1.0043135913549936e-18,0.0,861446.4916363617,209574.4937898902,1.379864593208256e-17,343836.80000000005,0.08515064131047323,19
1,18,13,5,1,0,0,12,6,1,0.06457488024664289,0.09031086158983585,0.007495770014017339,0.04269870880133447,0.011778001269492036,2.168404344971009e-19,0.0,1406300.3823978584,322318.93825312704,3.9904133728389034e-18,328322.4666666667,0.12642975366987041,28
2,12,8,4,0,0,0,8,4,0,0.06843034815914825,0.09373402342063901,0.0076784894126161116,0.04167433841833998,0.013950399644951362,7.589415207398531e-19,0.0,1735440.9901420814,406783.49704417377,1.0515822067824106e-17,320977.1333333333,0.14597354156389697,32
3,17,15,2,0,0,0,15,2,0,0.07035745901648692,0.10815372294431451,0.008268620843933951,0.041858188306053465,0.014580969356593356,6.360652745248292e-19,0.0,1807057.2824439674,456132.93720917054,1.0311182260984479e-17,304149.80000000005,0.19074616365802666,41
4,20,15,5,1,0,0,14,6,1,0.07328646435165963,0.11719854965109888,0.007908636751928015,0.04510921479778993,0.015598308419129505,2.7879484435341545e-19,0.0,1685309.3775369194,423434.33189317206,4.439501610751805e-18,286326.4666666667,0.23816885101932617,50
5,13,12,1,1,0,0,11,2,1,0.0733470193243264,0.11093668549990962,0.0075675113617584425,0.04360436513674414,0.015562806676286935,1.734723475976807e-18,0.0,1697173.2583051464,414127.1452031029,2.254879968767231e-17,281576.80000000005,0.250806327589574,54
6,25,14,11,0,0,0,14,11,0,0.07051312275940068,0.09610905291134775,0.008155837367453374,0.04337043516664674,0.014368064280358575,6.814985084194599e-19,0.0,1713292.948017363,413270.8301902732,9.266822447319688e-18,265825.4666666667,0.29271602776856886,63
7,16,13,3,0,0,0,13,3,0,0.06660714353713809,0.08523239086010044,0.008015704009516154,0.03944519357991895,0.01554958245031206,7.339214706055722e-19,0.0,1812098.103508864,513959.4202141319,1.0568458393238457e-17,253236.8,0.32621079513133,70
8,15,13,2,0,0,0,13,2,0,0.06916070165249562,0.11142103542594259,0.006961345452018107,0.040943947866269474,0.016897526704330597,3.669607353027861e-19,0.0,1739265.3049116647,586951.5256838762,5.505185999257863e-18,249249.80000000002,0.3368190383243074,72
9,19,18,1,0,0,0,18,1,0,0.06427203394783138,0.09427599206016343,0.007866445818136909,0.04166114260395425,0.011951481952696526,2.168404344971009e-19,0.0,1566053.218771625,352279.34720921033,3.200175870849353e-18,239483.46666666667,0.3628044005273878,78
10,16,15,1,0,0,0,15,1,0,0.07044273083382142,0.11088436227694763,0.008554371092209738,0.041789756481368595,0.015597076069639117,4.04768811061255e-19,0.0,1860531.30378833,547546.06394457,6.126452289245461e-18,224042.8,0.4038875073901168,86
11,26,24,2,0,0,0,24,2,0,0.0741954258447277,0.13778262798772817,0.007992856405434635,0.0457923880560426,0.015834662979831878,8.854317741964952e-19,0.0,1712302.8262867976,458426.9035647101,1.2153391639166124e-17,205238.46666666667,0.45392034939709247,97
12,21,19,2,0,0,0,19,2,0,0.07170502910270742,0.10802026676828003,0.008297918763318276,0.041472791269821355,0.015799185114564917,1.0956148269327202e-18,0.0,1871505.8297773916,628767.518860456,1.518855218783659e-17,190756.13333333336,0.4924536109977353,104
13,21,19,2,0,0,0,19,2,0,0.08088658942810169,0.11487934326493261,0.007657071335032114,0.05159464822591299,0.017333919082514825,2.9672901562761175e-19,0.0,1733037.3264111453,449889.1614206197,5.121153862460845e-18,180099.4666666667,0.5208078903121311,113
14,15,15,0,0,0,0,15,0,0,0.06627970125325607,0.10495093691392596,0.007717557407966712,0.03628879955641199,0.01702146589694856,1.1564823173178714e-19,0.0,1827741.6344280944,525224.2798905137,1.6448137801111084e-18,168608.13333333336,0.5513829739869665,117
15,15,14,1,0,0,0,14,1,0,0.05965429848962606,0.08361984835775992,0.007479238003068671,0.03751882249428088,0.012703693741228783,6.505213034913027e-19,0.0,1513551.7967084472,297348.36378887994,9.734957587486936e-18,165989.80000000005,0.5583495946943351,117
16,20,16,4,0,0,0,16,4,0,0.06962836168973004,0.12222422446791736,0.008244940238484278,0.03883550302167571,0.0177989430543719,8.673617379884035e-19,0.0,2025321.6592678125,599124.4817158069,1.0979725850310828e-17,173855.46666666667,0.5374213516858335,113
17,28,22,6,0,0,0,22,6,0,0.0726058353534199,0.11818125581269828,0.007622163366088951,0.04511720566223399,0.015873165240276366,8.082234376710124e-19,0.0,1794373.339798651,629225.5357282023,9.455597993196298e-18,155501.46666666667,0.5862559881453038,123
18,19,12,7,0,0,0,12,7,0,0.07289228187294051,0.11592551419079328,0.008662923165033922,0.0438439052935726,0.016727466558355417,7.589415207398531e-19,0.0,2039961.4865829025,566383.6745018606,1.1200623984595248e-17,154368.4666666667,0.5892705704221142,123
19,22,15,7,0,0,0,15,7,0,0.06835632923208677,0.10060447323865411,0.008622335669934532,0.04206069656177896,0.014461395981336599,2.8912057932946783e-19,0.0,1924146.7014945883,452111.8064499449,5.3915316644113124e-18,161813.4666666667,0.5694615986208308,120
20,25,21,4,0,0,0,21,4,0,0.07520420725235548,0.1119797563077749,0.008215052785656264,0.050196057304792194,0.013780134002686736,4.543323389463066e-19,0.0,1726959.4897299383,401890.7050309828,6.9106357102659004e-18,145987.46666666667,0.6115699650045934,129
21,14,13,1,0,0,0,13,1,0,0.0675172390031668,0.08762786443617923,0.008401341377543765,0.035430829866402315,0.01805159332867682,1.0008020053712348e-18,0.0,2202036.322005673,677660.3863850896,1.3634831395787216e-17,159829.80000000005,0.5747395565876737,123
22,15,12,3,1,0,0,11,4,1,0.06430371888260628,0.10195586451142094,0.007743751363129842,0.03595805906204368,0.016388948591725547,4.731064025391292e-19,0.0,1727770.5246055177,495225.8849188425,5.07492727726458e-18,167997.80000000002,0.5530068928304028,118
23,19,15,4,1,0,0,14,5,1,0.07766052560038787,0.12345135432153972,0.007757635240402683,0.05076836172565195,0.014551941844711374,5.575896887068309e-19,0.0,1705149.7672785048,420969.963974808,6.6719084828619055e-18,165318.80000000005,0.5601349298291451,120
24,17,12,5,0,0,0,12,5,0,0.06473906113429222,0.09166312259834405,0.008014991098523458,0.04360066580324281,0.01066896210642007,4.336808689942018e-19,0.0,1386397.0825036748,303061.66068824154,6.693948447156298e-18,163481.80000000005,0.5650226506080516,121
25,25,20,5,0,0,0,20,5,0,0.06902619642792573,0.1278188220126942,0.00797129161336514,0.045914159143303074,0.012000420767034468,1.7347234759768072e-19,0.0,1644610.2980024312,230711.63967354517,2.5469864051538394e-18,162493.13333333336,0.5676532040158244,119
26,18,16,2,0,0,0,16,2,0,0.0597203852231716,0.08602681581103422,0.008006410318701387,0.0333314938355003,0.015410334477257693,1.0842021724855044e-19,0.0,1922455.3407570138,496790.26835225977,1.9334361889988596e-18,156367.46666666667,0.583951814931078,122
27,24,19,5,0,0,0,19,5,0,0.07309272431305312,0.11825315729233433,0.008094208758219638,0.04520068570945021,0.013695735605923905,1.2325666802993103e-18,0.0,1880278.7253252005,442910.71706501534,1.765921098520107e-17,141425.13333333336,0.6237090022575221,128
28,31,23,8,0,0,0,23,8,0,0.07183853778639832,0.12737720923830945,0.008043703709106231,0.04726330185313405,0.01422179199940441,6.410934585131678e-19,0.0,1754981.5582281707,417275.90113656136,8.478929719285947e-18,132436.4666666667,0.6476252204618386,132
29,11,9,2,0,0,0,9,2,0,0.07322917991700038,0.11106549586968528,0.007691676528913735,0.04640435552413927,0.01347478131044946,2.4093381610788987e-18,0.0,1798891.7566279587,444804.8441896455,2.4102475573853517e-17,144881.13333333336,0.6145135950654153,124
30,12,11,1,0,0,0,11,1,0,0.07644163096469979,0.11603992864258574,0.0083916817056311,0.046629446249272316,0.0170795662866988,4.731064025391292e-19,0.0,2101213.1496887347,558655.4765156436,7.021400191926044e-18,147931.80000000005,0.6063966615563332,124
31,21,17,4,0,0,0,17,4,0,0.06755198272335183,0.10386797045896959,0.007642605619190932,0.040810869655979874,0.01464335578461737,4.0817022964160166e-19,0.0,1733066.230017749,498255.379149953,6.2236040612471454e-18,141169.46666666667,0.6243892566283117,127
32,26,17,9,0,0,0,17,9,0,0.0786443212985165,0.13564923347180394,0.00809403519468785,0.04913120350995446,0.01594220976414462,1.6837021972716069e-18,0.0,1810544.2409213241,450497.1865734278,1.736147163448164e-17,132236.4666666667,0.6481573620817522,133
33,19,16,3,0,0,0,16,3,0,0.07720200852107517,0.13428365288937497,0.00781705419508108,0.049434596198923056,0.014957444244674522,4.87890977618477e-19,0.0,1853300.2331762179,507263.16851169086,6.041462464177336e-18,141813.13333333336,0.6226766475148897,131
34,12,8,4,0,0,0,8,4,0,0.06783420929149704,0.08396333156751702,0.008283430872582022,0.03901433852952911,0.01675791537675506,1.3010426069826053e-18,0.0,2017491.0957856285,580858.4645730151,1.6810060172063802e-17,144214.4666666667,0.6162874004651272,129
35,19,18,1,0,0,0,18,1,0,0.0645845283262772,0.08455153418392138,0.00839637528499591,0.037264667439981566,0.015722137341143905,1.0601087908747155e-18,0.0,1948346.573744097,510551.0780495039,1.6011909595252225e-17,134467.13333333336,0.6422222092143159,132
36,13,11,2,0,0,0,11,2,0,0.07796537303854896,0.10588798349455267,0.007708628674667881,0.046380498065534376,0.019258990493741097,7.096596038086939e-19,0.0,1866803.7846144969,578300.9420728058,1.0598919754605403e-17,136213.80000000005,0.6375748390670706,132
37,19,17,2,0,0,0,17,2,0,0.07208198838808162,0.10829054846764763,0.0087007014270208,0.04383070931322805,0.015983966138133635,5.102127870520021e-20,0.0,2017612.8487331544,414245.0880483957,1.2691415841807052e-18,131974.80000000005,0.6488535807011391,134
38,29,25,4,0,0,0,25,4,0,0.06911518412216675,0.11378885707062257,0.007795244606804519,0.04390307182474909,0.013538898895286318,4.85722573273506e-19,0.0,1730790.8443427084,469183.0667116165,5.609204577522673e-18,107514.13333333336,0.7139362746219711,149
39,20,16,4,0,0,0,16,4,0,0.07226249078438726,0.10741103984634956,0.008246844641931069,0.04513163615508339,0.015115039208440553,2.710505431213761e-19,0.0,1860360.4520143778,360798.3090774183,3.3893193926625126e-18,119196.80000000003,0.6828521087974184,145
40,21,17,4,0,0,0,17,4,0,0.06732097100399559,0.10460984806366494,0.007909258966155838,0.03900976860994607,0.01590448882815521,7.908298199306032e-19,0.0,1947087.7993678926,548458.280108681,1.1052491132342053e-17,107680.13333333336,0.7134945970774427,151
41,26,23,3,1,0,0,22,4,1,0.06687783891764394,0.11019475836326839,0.007938430073619522,0.0408608994199571,0.014431480541571128,6.702340702637664e-19,0.0,1778423.841585655,457731.49886138417,9.128680897751492e-18,92629.80000000002,0.7535391408786403,158
42,26,22,4,0,0,0,22,4,0,0.06755083283663789,0.1009381641721576,0.008090462253563392,0.043699464767153126,0.01242328135110058,4.336808689942018e-19,0.0,1682397.965335984,366238.69315520866,7.208162635373108e-18,84980.80000000002,0.7738908971322356,162
43,19,14,5,0,0,0,14,5,0,0.06738454948672637,0.1190773442802144,0.008521235440775734,0.042942987616296446,0.012333244592549341,8.673617379884035e-19,0.0,1793110.4967604594,369555.3620401974,1.5085498261769902e-17,113794.80000000003,0.6972252539512845,146
44,22,18,4,0,0,0,18,4,0,0.06488858857078923,0.1056806596723231,0.008046713459374959,0.03960326066137618,0.013275605809105575,2.409338161078899e-19,0.0,1823738.3816861124,437117.21212822996,3.844579552723773e-18,104781.80000000003,0.7212062160526904,149
45,17,12,5,0,0,0,12,5,0,0.07329944798521047,0.11858287564330519,0.0075386409856030775,0.047004566212505976,0.01467908611574754,2.8912057932946783e-19,0.0,1757218.2376069336,372622.5051505722,3.5846805766673085e-18,110514.4666666667,0.7059532634205672,144
46,18,15,3,0,0,0,15,3,0,0.06866096971777232,0.1035013402658198,0.00801636160223038,0.04130953339122354,0.015127906014732413,2.312964634635743e-19,0.0,1878991.5679261773,549153.2029929332,2.2402168555190016e-18,92194.13333333336,0.754698322707352,153
47,24,19,5,0,0,0,19,5,0,0.07292290213786135,0.11373078128008286,0.008225031712371093,0.0443772712227461,0.016411612684113775,4.565061778886334e-19,0.0,1888456.088864515,462710.8211343614,4.7916158452152374e-18,101862.46666666669,0.7289737098980292,153
48,23,18,5,1,0,0,17,6,1,0.07346018205060996,0.11645822499072819,0.008187802512405995,0.04731033703512594,0.01437683145126011,1.0204255741040042e-19,0.0,1918389.9450408798,466185.24721074174,1.4074644432841939e-18,99657.13333333336,0.7348414581602765,155
49,17,12,5,0,0,0,12,5,0,0.07356844148752677,0.1322427420634972,0.007670533143814305,0.04971990313709012,0.013372589331569061,5.782411586589357e-19,0.0,1704769.5983897494,350438.3526733234,8.887098849833805e-18,107693.13333333336,0.7134600078721482,150
50,19,16,3,0,0,0,16,3,0,0.06847241125747508,0.0872370311544519,0.00804062244830728,0.04418663754760981,0.013402832413889464,2.710505431213761e-19,0.0,1641106.6894868226,414891.1730849438,3.693503909387746e-18,114940.13333333335,0.6941778562745794,146
51,28,23,5,0,0,0,23,5,0,0.07660487257203606,0.11380504488693716,0.008461919104019824,0.0468031710677004,0.01650869825774838,1.3387539868951446e-18,0.0,2125182.7139306264,561265.0401060706,1.6587801247498544e-17,99620.80000000002,0.7349381305545608,154
52,19,15,4,0,0,0,15,4,0,0.0701422553334663,0.09263936808655641,0.008364837641781765,0.04128862893219116,0.015782671563786124,1.0986582014519778e-18,0.0,2124549.932271652,665999.7175703135,1.5691497152884615e-17,101766.46666666669,0.7292291378755877,154
53,19,17,2,0,0,0,17,2,0,0.07242973135075469,0.11104339984148415,0.0076816453675713214,0.04240091173040311,0.016743667662654626,6.122553444624025e-19,0.0,1885505.1026588269,540062.4523877156,6.923744424981154e-18,94908.80000000003,0.7474753871197248,158
54,25,21,4,0,0,0,21,4,0,0.08513108217822414,0.11766641910903318,0.00806556459608719,0.0596543322905425,0.013841226145837934,4.543323389463066e-19,0.0,1808647.95273068,325588.99647245783,5.148599179526005e-18,92303.13333333336,0.7544083055244991,162
55,19,15,4,1,0,0,14,5,1,0.07308532808622392,0.10106763629926471,0.007741274328166641,0.0442502884100253,0.015599776513264472,6.195440985631454e-19,0.0,1742143.4256177973,403111.6340717656,7.066529320187317e-18,98437.80000000003,0.7380857482363496,156
56,24,18,6,0,0,0,18,6,0,0.06766550194451343,0.10023157326629341,0.008251980847488554,0.04385258131448454,0.013756061453668119,2.409338161078899e-19,0.0,1779038.5090698162,341573.6232196108,3.585285898868999e-18,99561.80000000003,0.7350951123324352,155
57,15,14,1,0,0,0,14,1,0,0.0697527966329299,0.10956978473027723,0.0075880672587598655,0.04116407739534037,0.01679731915515492,1.5488602464078635e-19,0.0,1888344.325091699,445510.367491818,2.6496412525387177e-18,110242.80000000002,0.7066760891209499,149
58,17,14,3,0,0,0,14,3,0,0.06300205115107396,0.09381431475064755,0.00810076738890589,0.03685076395547772,0.01532603421011033,4.956352788505163e-19,0.0,1830617.5884570403,334659.52341712994,7.099825623403627e-18,119747.80000000003,0.6813860586345565,142
59,21,19,2,0,0,0,19,2,0,0.0687766108691005,0.10188578062305867,0.008053196351900155,0.04391149045838501,0.013726922152382151,3.195543245220434e-19,0.0,1766401.8378825944,401680.43821903,4.859402600960024e-18,117615.13333333336,0.687060462108235,142
60,19,12,7,0,0,0,12,7,0,0.062171686082716116,0.08587805231192162,0.008606027914812686,0.03243928147082691,0.017096753805896404,3.6140072416183483e-19,0.0,2163173.655466301,568988.5510727487,7.266697565850154e-18,142527.46666666667,0.6207760150290984,125
61,13,9,4,0,0,0,9,4,0,0.08539932188173936,0.14533940064152892,0.008121026973819152,0.05805930639193554,0.015901373860348702,0.0,0.0,1726739.867498954,433674.76059701317,0.0,147219.4666666667,0.6082919726259255,123
62,21,14,7,0,0,0,14,7,0,0.07278521752821357,0.12518760026870013,0.008042228760227529,0.04379971593914368,0.016587481069401954,5.266124837786735e-19,0.0,1964876.0062041539,566726.6091198716,5.556200607707783e-18,135956.80000000002,0.6382586410486595,128
63,24,18,6,0,0,0,18,6,0,0.07247627025491299,0.11825660031214139,0.008259901157015007,0.04513055442491571,0.015196996106601536,7.468948299344587e-19,0.0,2005670.249687319,539923.2149838823,7.849476069012364e-18,144006.13333333336,0.6168417146525372,125
64,17,15,2,0,0,0,15,2,0,0.07376031583337696,0.12584854466538786,0.007879087129701546,0.04745258739819877,0.014016698706347903,5.782411586589357e-19,0.0,1734374.5925306568,360693.67895835167,6.022876222911172e-18,140797.80000000005,0.6253781531386511,127
65,11,10,1,0,0,0,10,1,0,0.06936796957064797,0.08367619665238651,0.008270878327312874,0.039799765770312204,0.016674314047314558,3.4694469519536144e-19,0.0,1992872.9941072478,605566.9903424822,4.9775418055145215e-18,147524.4666666667,0.6074804566555573,121
66,19,18,1,0,0,0,18,1,0,0.0717814599712893,0.10221981605571862,0.007262977557215725,0.045998855727072,0.016126815243439514,2.409338161078899e-19,0.0,1768296.984105462,509655.4157063148,3.7463713579345384e-18,139402.80000000005,0.6290898409375483,127
67,18,18,0,0,0,0,18,0,0,0.08095816418669372,0.12691043427989246,0.007843619948621212,0.049850639746105006,0.016995258383738873,8.1917497476682555e-19,0.0,1825049.9843693813,441652.02176426095,8.736551015793388e-18,135992.13333333336,0.6381646293624748,132
68,26,22,4,0,0,0,22,4,0,0.07771808074395621,0.1260541423441754,0.008225524586527495,0.04822588712249276,0.016269681867453742,1.1433404728028955e-18,0.0,2016928.8253866099,583825.771109195,1.3020260580509329e-17,123386.46666666669,0.6717046287629286,141
69,17,15,2,0,0,0,15,2,0,0.06760250143212936,0.10808385342099776,0.008812171819488374,0.03917312673379334,0.015393933376390298,3.4694469519536144e-19,0.0,2151200.2668420733,575199.7226729983,5.66974304864433e-18,123385.80000000005,0.6717064025683283,140
70,21,17,4,0,0,0,17,4,0,0.07157957862995543,0.11360408711751802,0.007567424019874895,0.04195606312625535,0.016013075672323566,1.938808590797608e-18,0.0,1881742.33209672,544891.5122494133,2.0372358347247653e-17,123225.46666666669,0.672133002766959,138
71,15,13,2,0,0,0,13,2,0,0.07012685907591722,0.10281497603956329,0.007965105016585757,0.04402342483256264,0.015086830880802711,1.3344026738283132e-19,0.0,1758034.6910507067,434815.5241519906,2.2776253542500927e-18,125707.13333333336,0.6655300121665312,135
