slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,10,8,2,0,0,0,8,2,0,0.07845892913895712,0.12320028776464825,0.008578925791403671,0.05170682297542399,0.011447857471109015,2.168404344971009e-19,0.0,1734039.3590583834,486464.454969947,2.4634571677276945e-18,159868.4,0.07717688457062633,8
1,10,8,2,0,0,0,8,2,0,0.05762201000064372,0.08811356840087196,0.00894109640877469,0.037234424884781375,0.009211584679104339,4.336808689942018e-19,0.0,1731372.7054188955,280955.47951213724,5.233274049139563e-18,146069.06666666668,0.15683204955329366,14
2,3,3,0,0,0,0,3,0,0,0.057029741087576524,0.065003105772086,0.00857857164626103,0.033003575450937725,0.009721980595249887,1.734723475976807e-18,0.0,1969755.8535562633,701415.2560053519,2.808297062153502e-17,141450.06666666668,0.18349472942103662,16
3,8,7,1,0,0,0,7,1,0,0.06981477838691172,0.10318957267299439,0.007993991018278699,0.04532573852966979,0.012232553362152466,6.814985084194599e-19,0.0,1970015.3853183575,546914.7533905318,9.40402122788929e-18,131925.40000000002,0.2384748416055561,21
4,15,10,5,0,0,0,10,5,0,0.06028612651852765,0.09524879801636749,0.007856841685935697,0.03833041360666476,0.010078680697631926,0.0,0.0,1458161.7294395796,317638.20619104884,0.0,122733.06666666668,0.29153659542764954,26
5,9,9,0,0,0,0,9,0,0,0.07287225378915543,0.12121693953239955,0.007927733307544958,0.04711492960947621,0.013178155495978646,2.8912057932946783e-19,0.0,1833999.7160976669,601345.9122349886,5.305234866936422e-18,117868.73333333334,0.3196154355308446,30
6,11,9,2,0,0,0,9,2,0,0.06940443116176956,0.11808741450035785,0.007826506370602233,0.0510870469689422,0.007101205115382832,5.782411586589357e-19,0.0,1349437.4549418404,140742.8914098111,8.997064393934116e-18,113928.4,0.34236058518203816,34
7,10,10,0,0,0,0,10,0,0,0.07485350979657288,0.10706740660932601,0.007581692863886537,0.046711681931272404,0.016911697931865595,1.474514954580286e-18,0.0,1828332.1806137867,478511.45030581095,1.5624925677732054e-17,102452.73333333334,0.4086026346737598,40
8,11,8,3,0,0,0,8,3,0,0.08162696820222147,0.13612957315761648,0.007708285128128379,0.06080272358458304,0.010645570287169448,2.168404344971009e-19,0.0,1529688.83822952,172295.05432221928,1.5166977020817807e-18,99185.73333333334,0.42746104020047904,44
9,9,7,2,0,0,0,7,2,0,0.07385832658408312,0.11164746523157504,0.008202401328343144,0.049409485076712875,0.011192397253900099,3.717264591378872e-19,0.0,1610360.667620802,516105.9032394136,4.667123863877762e-18,99483.73333333334,0.42574086730578586,43
10,10,9,1,0,0,0,9,1,0,0.0605823692175982,0.084299795906431,0.007153022735541234,0.03956395827082162,0.009798248480975448,2.409338161078899e-19,0.0,1540653.7022719309,253011.30765735585,3.3875546580028384e-18,93505.06666666667,0.46025207652191047,45
