slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,15,11,4,0,0,0,11,4,0,0.05399868441587439,0.071044306515557,0.007653970379621999,0.04122722256262913,0.005117491473623264,0.0,0.0,848572.4987243325,0.0,0.0,152182.80000000002,0.12611344122821921,11
1,6,3,3,0,0,0,3,3,0,0.08834590681718085,0.10872475882742073,0.007484859693131604,0.06987226687976542,0.010988780244283824,0.0,0.0,1170265.4820094358,0.0,0.0,149845.80000000002,0.13953330791387397,13
2,17,11,6,0,0,0,11,6,0,0.060547021848956974,0.08395543257401308,0.007760929611348554,0.048746118665856146,0.004039973571752286,0.0,0.0,880477.9318473078,0.0,0.0,138841.80000000002,0.20272210252617362,20
3,7,4,3,0,0,0,4,3,0,0.05904859925085185,0.09903338680935014,0.008760943139603829,0.044420064800188216,0.0058675913110598134,0.0,0.0,1273088.1435664855,0.0,0.0,136210.80000000002,0.2178302194495615,21
4,10,7,3,0,0,0,7,3,0,0.05302873319612123,0.08244601064767941,0.008026142579242725,0.03944958131231222,0.005553009304566282,0.0,0.0,1128173.3540458647,0.0,0.0,130837.80000000002,0.24868385389629777,23
5,8,8,0,1,0,0,7,1,1,0.05700700655094867,0.07333640735961632,0.00715451104825355,0.04392960860001211,0.005922886902683008,0.0,0.0,693011.4006718844,0.0,0.0,124326.80000000002,0.286072280079566,28
6,10,7,3,0,0,0,7,3,0,0.07770839615613735,0.11311191875318737,0.00731750986755904,0.06513603393477121,0.005254852353807096,0.0,0.0,785057.4728241584,0.0,0.0,117959.80000000002,0.32263380818720966,32
7,11,9,2,0,0,0,9,2,0,0.05728408763122475,0.09360486282762644,0.007598259532255985,0.04477193600182705,0.004913892097141716,0.0,0.0,794745.2121198807,0.0,0.0,110606.80000000002,0.36485729117378174,36
8,15,13,2,0,0,0,13,2,0,0.058488625863116456,0.102243050867438,0.007560700026455699,0.04522706119437676,0.005700864642284002,0.0,0.0,1152318.9275029243,0.0,0.0,95797.80000000002,0.4498957189649073,43
9,7,3,4,0,0,0,3,4,0,0.03994483278469233,0.05292342432809973,0.008269554518695403,0.02682333520780658,0.004851943058190342,0.0,0.0,1299411.8997699292,0.0,0.0,98855.80000000002,0.43233561955338307,41
