slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,10,4,6,0,0,0,4,6,0,0.05979025246637819,0.077998761206019,0.00810069919397731,0.04925600254407399,0.002433550728326896,0.0,0.0,663875.8989841073,0.0,0.0,371767.20000000007,0.016117199831047313,4
1,6,5,1,0,0,0,5,1,0,0.05525069610560207,0.07289992749589533,0.007780978160960022,0.04101836070206464,0.006451357242577405,0.0,0.0,1013662.7452738067,0.0,0.0,363772.20000000007,0.037275986801363015,7
2,8,7,1,0,0,0,7,1,0,0.0695630768469656,0.09667813186046081,0.007799124343873391,0.055859245039381486,0.005904707463710718,0.0,0.0,787331.9534826784,0.0,0.0,356681.20000000007,0.05604233557015714,12
3,6,5,1,0,0,0,5,1,0,0.06561842028066985,0.08226900449806886,0.009415796526606197,0.05039810576650698,0.005804517987556661,0.0,0.0,1054088.633650804,0.0,0.0,351222.20000000007,0.0704895923645229,15
4,12,7,5,0,0,0,7,5,0,0.0753525167708421,0.10582682105176788,0.008223622195448642,0.057992861068428,0.00913603350696546,0.0,0.0,1172977.013778283,0.0,0.0,342742.20000000007,0.0929319330159647,21
5,10,7,3,0,0,0,7,3,0,0.0602715141027627,0.1146425781502004,0.007510503027815383,0.04336277432935733,0.009398236745589988,0.0,0.0,1098167.4035872542,0.0,0.0,331575.20000000007,0.12248542571108867,26
6,14,10,4,0,0,0,10,4,0,0.05836697941579903,0.0698603559509822,0.008231551924962369,0.043337721275554096,0.006797706215282559,0.0,0.0,946399.9551810097,0.0,0.0,322796.20000000007,0.14571907059068878,31
7,12,10,2,0,0,0,10,2,0,0.07406500934674713,0.10652112460645782,0.008289428885909167,0.05851095540709632,0.007264625053741668,0.0,0.0,1146536.420358156,0.0,0.0,313486.20000000007,0.17035800826343916,35
8,4,2,2,0,0,0,2,2,0,0.05320361507640397,0.05835560183428555,0.009772601539765556,0.032806669026982566,0.01062434450965585,0.0,0.0,1313481.2523131017,0.0,0.0,316735.20000000007,0.16175952185111198,33
9,11,6,5,0,0,0,6,5,0,0.05691160339424492,0.07659172183406827,0.008489431452302227,0.03745267840004582,0.010969493541896878,0.0,0.0,1549299.002251222,0.0,0.0,310074.20000000007,0.1793878745727221,35
10,14,9,5,0,0,0,9,5,0,0.056296602723176874,0.07334523820407675,0.008833296867566238,0.03962341250345086,0.00783989335215978,0.0,0.0,1379029.1113472756,0.0,0.0,305179.20000000007,0.1923425039935721,38
11,10,8,2,0,0,0,8,2,0,0.05942639610033983,0.09414687860405782,0.007036960488553037,0.04273276794341785,0.009656667668368948,0.0,0.0,1136840.4512475245,0.0,0.0,297335.20000000007,0.2131016690961559,41
12,12,7,5,0,0,0,7,5,0,0.07670214383611659,0.1385170239668597,0.007364147411860039,0.06118335726602845,0.008154639158228113,0.0,0.0,1172613.9088378607,0.0,0.0,292090.20000000007,0.22698257436936486,44
13,6,3,3,0,0,0,3,3,0,0.06685488587430444,0.07604111284134092,0.008083137074192928,0.04845053232684224,0.01032121647326927,0.0,0.0,1519033.4325070449,0.0,0.0,299760.20000000007,0.20668390069052534,40
14,5,3,2,0,0,0,3,2,0,0.05864551875393632,0.06931174914515636,0.007909213307169793,0.04629873622197306,0.004437569224793471,0.0,0.0,680253.4817684441,0.0,0.0,301925.20000000007,0.20095422291807585,39
15,4,4,0,0,0,0,4,0,0,0.07032658440661194,0.1085147762191789,0.008230220299141566,0.05320025945874307,0.00889610464872731,0.0,0.0,1094340.2252366617,0.0,0.0,299298.20000000007,0.20790658481563928,40
16,13,11,2,0,0,0,11,2,0,0.07197158516239237,0.12358577421936431,0.0076192052786474805,0.05630814132088533,0.008044238562859561,0.0,0.0,1251332.2714721737,0.0,0.0,286501.20000000007,0.24177387648032111,48
17,15,13,2,0,0,0,13,2,0,0.06400643878802897,0.10200757326118698,0.0075538907613482325,0.04673515090232179,0.009717397124358946,0.0,0.0,1113681.05747732,0.0,0.0,267465.20000000007,0.29215269683891154,57
18,13,8,5,0,0,0,8,5,0,0.05817926320222405,0.09056897337808212,0.008870347534778892,0.04131045145998836,0.007998464207456807,0.0,0.0,1157655.9465940879,0.0,0.0,262535.20000000007,0.30519995384499743,60
19,11,9,2,0,0,0,9,2,0,0.06457191358415568,0.09989293821735634,0.007669970649943573,0.04837859824848117,0.008523344685730934,0.0,0.0,1204249.7544592125,0.0,0.0,259032.20000000007,0.31447065187589385,62
20,10,7,3,0,0,0,7,3,0,0.07219101411178455,0.1133362749062898,0.006754874958311824,0.05758616409035711,0.007849975063115622,0.0,0.0,845037.4560157435,0.0,0.0,265445.20000000007,0.2974986317582409,59
21,15,11,4,0,0,0,11,4,0,0.06428735878825628,0.09168228263857885,0.008558571263420566,0.04863477920820742,0.0070940083166283,0.0,0.0,1198356.1481702588,0.0,0.0,265151.20000000007,0.2982767034742225,60
22,5,3,2,0,0,0,3,2,0,0.07691742213239137,0.08063834961434221,0.008898076737133264,0.05603089814243572,0.011988447252822387,0.0,0.0,1662449.8788769841,0.0,0.0,274791.20000000007,0.2727644199978192,56
23,8,5,3,0,0,0,5,3,0,0.06300240726705812,0.09468572068650884,0.007800450571644929,0.04553572032016493,0.009666236375248266,0.0,0.0,1487732.6298739281,0.0,0.0,272506.20000000007,0.27881167806250606,57
24,11,7,4,0,0,0,7,4,0,0.06962280366451602,0.10874039217083381,0.008551755465221736,0.052387619956622014,0.008683428242672264,0.0,0.0,1382672.9195422374,0.0,0.0,268128.20000000007,0.29039806572430005,59
25,10,5,5,0,0,0,5,5,0,0.06016239697085315,0.07101835447980862,0.006557887167821105,0.04403161765867877,0.00957289214435326,0.0,0.0,952470.2002966681,0.0,0.0,268421.20000000007,0.2896226405107537,59
26,16,11,5,0,0,0,11,5,0,0.0608280667316041,0.09290743222870587,0.00740097670898671,0.04627760435972841,0.007149485662888983,0.0,0.0,1038006.4378181632,0.0,0.0,266043.20000000007,0.29591602330192457,60
27,11,7,4,1,0,0,6,5,1,0.07192618036414276,0.12223437327192492,0.007265197069065134,0.05591006368506227,0.008750919610015388,0.0,0.0,1222607.0678739224,0.0,0.0,269809.20000000007,0.28594929513054135,58
28,19,12,7,0,0,0,12,7,0,0.07040524192933892,0.12859248549369126,0.008503612439732333,0.05299360819850576,0.008908021291100824,0.0,0.0,1396236.9329593678,0.0,0.0,259325.20000000007,0.3136952266623475,63
29,11,6,5,0,0,0,6,5,0,0.05122042933119104,0.06977195093348375,0.006880041926843207,0.036388580065293503,0.007951807339054331,0.0,0.0,1002392.8153387345,0.0,0.0,261221.20000000007,0.3086774580449968,60
30,12,11,1,0,0,0,11,1,0,0.05776564139853418,0.0790986694244345,0.0077502696608411055,0.03995037111782706,0.010065000619866002,0.0,0.0,1385471.6907381548,0.0,0.0,252150.20000000007,0.33268388163570783,64
31,8,7,1,0,0,0,7,1,0,0.07929074176576842,0.11374049146574339,0.007666614599897655,0.06413179182116448,0.007492335344706289,0.0,0.0,1257159.6565632592,0.0,0.0,265286.20000000007,0.29791942564545537,57
32,11,8,3,0,0,0,8,3,0,0.0647388530509326,0.09699622585976861,0.007807567744153096,0.0473436761261459,0.009587609180633614,0.0,0.0,1182535.1514445725,0.0,0.0,254179.20000000007,0.3273141281944607,62
33,12,9,3,0,0,0,9,3,0,0.05616254347480863,0.08054323618038127,0.008335222881762024,0.039639895205622125,0.008187425387424487,0.0,0.0,1270424.710294821,0.0,0.0,256626.20000000007,0.3208381367352534,62
34,11,9,2,0,0,0,9,2,0,0.06213634610054803,0.0944982361249324,0.00842932622787977,0.046030690700159846,0.007676329172508414,0.0,0.0,1290526.4378867522,0.0,0.0,248704.20000000007,0.34180372902779144,67
35,8,7,1,0,0,0,7,1,0,0.09198114469256355,0.14594958846148598,0.0074784089037119176,0.07590467467542981,0.008598061113421806,0.0,0.0,1238359.6700687313,0.0,0.0,256884.20000000007,0.32015533910694294,65
36,10,5,5,0,0,0,5,5,0,0.05071165228889948,0.060104063342852405,0.008505662153731972,0.030750048407648983,0.011455941727518515,0.0,0.0,1615298.3242737274,0.0,0.0,259251.20000000007,0.3138910678425606,63
37,7,4,3,0,0,0,4,3,0,0.08292574062940028,0.12551919059806313,0.008499664398822729,0.06556735089384007,0.008858725336737483,0.0,0.0,1545202.9370340456,0.0,0.0,265844.20000000007,0.2964426772865516,60
38,10,8,2,0,0,0,8,2,0,0.07556453650779908,0.12101837212879193,0.007994899638930356,0.056270014821420036,0.011299622047448686,0.0,0.0,1460768.597646051,0.0,0.0,269497.20000000007,0.2867750038903585,60
39,4,4,0,0,0,0,4,0,0,0.0758993894188877,0.11684571818298715,0.006964016052983607,0.06196185728512461,0.0069735160807795,0.0,0.0,1024373.7176848026,0.0,0.0,275080.20000000007,0.2719995807940142,58
40,12,7,5,0,0,0,7,5,0,0.05925745973151529,0.09376769768384922,0.008356423885786229,0.04373535313628646,0.007165682709442609,0.0,0.0,1409798.1470326942,0.0,0.0,269573.20000000007,0.2865738697052749,60
41,9,4,5,0,0,0,4,5,0,0.05323580001145168,0.0717407817648895,0.007383665343015078,0.039599433910635105,0.006252700757801494,0.0,0.0,1261918.328019285,0.0,0.0,270665.20000000007,0.2836838890459147,59
42,7,6,1,1,0,0,5,2,1,0.06098863230155005,0.10617383293911142,0.008303292236859418,0.04528097936632066,0.007404360698369963,0.0,0.0,1219511.4714512457,0.0,0.0,273094.20000000007,0.27725553463054287,56
43,11,8,3,0,0,0,8,3,0,0.07213192094230526,0.1335705347518924,0.008135813955791237,0.054766873754016246,0.009229233232497785,0.0,0.0,1273981.0763869062,0.0,0.0,273611.20000000007,0.27588729287148683,56
44,13,7,6,0,0,0,7,6,0,0.05626927405414732,0.07909917832182292,0.007858574699157742,0.03938693550321724,0.009023763851772348,0.0,0.0,1440392.2945032667,0.0,0.0,268144.20000000007,0.2903557216853351,58
45,12,11,1,0,0,0,11,1,0,0.05774526027872151,0.07534127612406047,0.008259978844044237,0.040701086631767094,0.008784194802910183,0.0,0.0,1351146.4514568832,0.0,0.0,264311.20000000007,0.3004997655198842,61
46,11,7,4,0,0,0,7,4,0,0.056847992973682995,0.06712434326199143,0.007628147161076265,0.04020875728838463,0.009011088524222098,0.0,0.0,1212838.206800727,0.0,0.0,273511.20000000007,0.276151943115018,56
47,13,11,2,0,0,0,11,2,0,0.0807191767480338,0.13079966761488643,0.008864404607707222,0.06316107924237581,0.008693692897950777,0.0,0.0,1521805.966705035,0.0,0.0,269703.20000000007,0.2862298243886844,60
48,12,7,5,0,0,0,7,5,0,0.06624021220982185,0.09979925856289334,0.0076355464865325625,0.04965576946808476,0.008948896255204522,0.0,0.0,1253196.0103559028,0.0,0.0,263561.20000000007,0.30248464234636785,62
49,6,4,2,0,0,0,4,2,0,0.06421268799554142,0.07178333362285966,0.0070111082197759494,0.049510331508995045,0.007691248266770423,0.0,0.0,816235.0425462099,0.0,0.0,264486.20000000007,0.30003662759370464,61
50,6,4,2,0,0,0,4,2,0,0.0710996977246734,0.08582986501768278,0.008189152929205242,0.05400241452319825,0.00890813027226991,0.0,0.0,1380489.739879936,0.0,0.0,273269.20000000007,0.2767923967043634,56
51,11,4,7,0,0,0,4,7,0,0.06230611166093467,0.08860776867786622,0.008572675145640576,0.043736383068137034,0.009997053447157064,0.0,0.0,1651818.3266669312,0.0,0.0,282778.20000000007,0.251626805046986,50
52,16,8,8,0,0,0,8,8,0,0.05483131145867371,0.10093191376110666,0.006648680191584811,0.03857966110591322,0.009602970161175686,0.0,0.0,1277934.2362867892,0.0,0.0,281321.20000000007,0.2554827590952349,51
53,8,7,1,0,0,0,7,1,0,0.08009473969770764,0.10743050412263594,0.007525960721789858,0.061279256221687395,0.011289522754230393,0.0,0.0,1420395.8418219127,0.0,0.0,286634.20000000007,0.2414218916564247,50
