slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,51,40,11,0,0,0,40,11,0,0.06533506561008386,0.10915190798289899,0.007753264080444977,0.04027778160574812,0.012984423748666879,8.348356728138384e-19,0.0,1397028.7143570718,372777.013905048,1.0974752464322422e-17,302481.13333333336,0.19374871502628055,40
1,40,32,8,0,0,0,32,8,0,0.07133442865683581,0.10615931656251361,0.0074992492780604336,0.04582388873621211,0.013388195065543038,6.2341624917916505e-19,0.0,1454823.7053635602,405584.91401369683,9.857899510719506e-18,263959.80000000005,0.29642577840753703,63
2,59,49,10,2,0,0,47,12,2,0.07142390024468358,0.11481945233917878,0.008284495378669933,0.046889889254156734,0.012036657835153132,9.596342633063189e-19,0.0,1522768.9987301938,274758.70570886414,1.0560503388282818e-17,203578.80000000005,0.45736890336055824,97
3,56,46,10,1,0,0,45,11,1,0.06937105669224052,0.11466581199975023,0.007573761688865944,0.0393754994023784,0.01643678350819099,9.05911148565666e-19,0.0,1703554.4199543602,525656.6256396661,1.1751106320697936e-17,140569.13333333333,0.6253186335005287,127
4,53,40,13,0,0,0,40,13,0,0.06635727515521564,0.1150791953372981,0.008012930846010255,0.042262783708608975,0.012528945916409923,4.445228907190568e-19,0.0,1612055.3297936278,336116.6504586821,6.765427847096786e-18,93851.80000000002,0.7498418049640456,151
5,58,52,6,0,0,0,52,6,0,0.07364631516533594,0.13090305833531984,0.008063683246407875,0.04846636366126497,0.01250014832516688,1.0174820387940888e-18,0.0,1495949.2608852668,341669.08939958684,1.2584913203068666e-17,45188.466666666696,0.8795519610942387,183
6,48,39,9,2,1,0,37,11,1,0.07180736038802524,0.12031240903001367,0.0074942906624945425,0.043443675019114926,0.015842504180046665,1.2307159795781401e-18,0.0,1576875.452572296,372964.93887348234,1.5571511166931867e-17,9101.13333333336,0.9757412954525302,201
7,53,43,10,12,12,0,31,22,0,0.06651921057578024,0.10111800519358474,0.008467480659783203,0.041076845065711944,0.012791375539624346,6.435264507655897e-19,0.0,1761168.4938557728,495904.7706102313,9.881744874900875e-18,10830.466666666694,0.9711318270642608,200
8,68,58,10,26,26,0,32,36,0,0.07985987763391675,0.117568596806297,0.008077043031007758,0.052268712877706305,0.014825271841543546,1.0977546996415732e-18,0.0,1802929.047641309,408833.6663445883,1.3148134693677824e-17,9200.800000000028,0.9754756379644629,209
9,52,41,11,14,14,0,27,25,0,0.07676090228700566,0.12154925210633932,0.008003645965498664,0.05104773371741663,0.013720470573667556,4.818676322157798e-19,0.0,1560884.8088518216,358171.8944990892,6.167194549323023e-18,10631.466666666694,0.971662253553813,208
10,50,37,13,11,10,0,26,24,1,0.08148687524756916,0.1314726700345312,0.007489482272473835,0.053036656121288835,0.016218852521633086,1.0675221390626506e-18,0.0,1624071.635267566,449419.4540943829,1.221438592699479e-17,12368.800000000028,0.9670314614875717,210
11,53,43,10,13,13,0,30,23,0,0.07665131560371337,0.11260600987329071,0.008218324436123052,0.04794690830614567,0.016117165392735933,8.384496800554568e-19,0.0,1870664.3429492027,442925.90324826766,1.227392331537149e-17,10795.466666666694,0.971225118155388,214
12,53,41,12,10,10,0,31,22,0,0.0791232469541853,0.13324429897803436,0.008033598894418232,0.049717890269166454,0.01524291452027286,6.994852725712931e-19,0.0,1841932.728570729,518150.2144726957,7.928055890017446e-18,9700.466666666694,0.9741437965777984,220
13,52,40,12,16,16,0,24,28,0,0.08013499437812306,0.11691291751110221,0.00810168366492473,0.05192673334729112,0.015319888796707143,7.950815931560366e-19,0.0,1876305.1327989781,490421.6274761629,8.424844234122509e-18,8718.800000000028,0.9767603895622728,223
14,60,45,15,19,19,0,26,34,0,0.07919468987710764,0.11706769864193135,0.008165591658440207,0.053529338718256575,0.012976294962906445,5.337610695313253e-19,0.0,1727684.297855481,417760.43218903214,6.6841121688464516e-18,8849.133333333362,0.9764129913086464,227
15,57,50,7,21,21,0,29,28,0,0.07166392382097737,0.10895535313783199,0.007850612755717655,0.04496328712190555,0.014915095068674836,8.823162507123415e-19,0.0,1782195.736909306,475276.1066732282,1.1205680360555447e-17,9076.800000000028,0.9758061549730281,228
16,55,38,17,9,8,0,29,26,1,0.07239038493380488,0.0912960058217258,0.008485632465278661,0.0418136318953785,0.01812701441175357,9.271797888841554e-19,0.0,2097269.1422950244,618000.1211991253,1.2059002497344987e-17,8604.133333333362,0.9770660289465374,230
17,43,36,7,13,13,0,23,20,0,0.081541876297517,0.1251463386544496,0.008111878033075977,0.055682837206833674,0.0144447897684431,1.5084551965015713e-19,0.0,1673470.20609462,349518.4548282829,1.9806146264971633e-18,10127.466666666696,0.9730056452660457,232
18,53,44,9,18,17,0,26,27,1,0.06903214697244911,0.09967723381265733,0.007687596975115165,0.045432835180154355,0.01257417712213892,2.8356056818851655e-19,0.0,1540640.1845124455,292877.96549081284,5.1105575729892315e-18,9640.800000000032,0.9743028356760058,231
19,55,42,13,16,14,0,26,29,2,0.0762179074845145,0.11084201643783086,0.00794756028651572,0.04934896528686246,0.014396406435049717,1.2676825401368974e-18,0.0,1847517.6978019422,451921.5177409977,1.3791894279572594e-17,11669.133333333364,0.968896394823535,227
20,47,42,5,15,15,0,27,20,0,0.08333545709199734,0.13915853101086878,0.008135642977731304,0.05399981777034579,0.01542563762576389,7.388637027308623e-19,0.0,1913527.5815816699,487485.3413179543,8.417646863916093e-18,11881.466666666696,0.9683304288706962,228
21,62,52,10,21,20,0,31,31,1,0.079642087922699,0.11511303215111836,0.0081666627606598,0.054036032461447066,0.01446432332818304,1.231094079725476e-18,0.0,1809478.2143032465,470557.12271153415,1.4769791530651305e-17,9612.80000000003,0.9743774685489076,233
22,41,35,6,9,9,0,26,15,0,0.08094742872403927,0.12507860668290657,0.007671964509208123,0.05306382772177376,0.013856996210513582,4.503609024170557e-19,0.0,1784714.5980026335,477276.75696551113,5.51351498659286e-18,11135.133333333364,0.9703197503281624,234
23,49,38,11,10,8,0,28,21,2,0.07957683408376617,0.12175367043712014,0.0077589294045740985,0.048901500481295886,0.016674961435126923,1.146156582341819e-18,0.0,1908158.425395353,598735.1308264572,1.3409383623229663e-17,10006.800000000032,0.9733272774087892,236
24,58,51,7,16,15,1,35,23,0,0.07584700816036487,0.11193679297789122,0.008154365605521999,0.05060830538221448,0.013766201486435451,4.956352788505163e-19,0.0,1752098.035010516,400864.256050561,7.060572321739372e-18,9368.133333333364,0.9750296177002163,236
25,53,40,13,8,8,0,32,21,0,0.07219543592009293,0.1079022134153033,0.00798643797254092,0.04244802772490218,0.017292014879980413,6.640738306473715e-19,0.0,2000180.6886695847,596090.5953020668,8.521403431746154e-18,11363.466666666696,0.9697111370193797,234
26,56,42,14,14,14,0,28,28,0,0.07023849667875069,0.1053287079342987,0.008304968403266113,0.04012781788984972,0.01700386655699002,5.11123881314595e-19,0.0,2086822.3157749714,551481.5229675064,6.26663166723598e-18,12957.133333333364,0.9654632826700513,232
27,53,37,16,7,7,0,30,23,0,0.07311307749839721,0.10796714381198341,0.00835359841844247,0.04630183854647384,0.014642646116079095,6.216092455583559e-19,0.0,1894357.8086639654,432057.5701291472,1.0025757623638932e-17,12045.466666666696,0.9678932934722713,233
28,54,43,11,17,17,0,26,28,0,0.07278200192163548,0.09740885219055301,0.007854264096668378,0.04776947565862051,0.012943285095409377,7.005614037598644e-19,0.0,1559101.8194500534,379238.15524575266,8.620896685273272e-18,10883.133333333362,0.9709914461842788,235
29,55,46,9,17,17,0,29,26,0,0.08190181656817419,0.11401234002643537,0.008715713999194607,0.05657752452157054,0.012787138921039005,1.1664519924671634e-18,0.0,1940938.6107879842,438459.82006482204,1.478806025652886e-17,7754.133333333364,0.9793316697310568,239
30,33,26,7,3,2,0,23,10,1,0.0739096857555135,0.12606801491615852,0.008375573976453676,0.04576446979349861,0.015360990088658067,1.3953210567639536e-18,0.0,1948756.143381354,518659.45946239744,1.5329705703576048e-17,10279.133333333364,0.9726013838711608,234
31,60,49,11,26,26,0,23,37,0,0.08069309744216888,0.12170500116002667,0.008122033162343861,0.05101227441782751,0.015489168653679974,7.542275982507857e-19,0.0,1971015.7281420538,510491.77312854014,6.924133504519212e-18,10090.800000000032,0.9731033787900838,235
32,53,46,7,26,26,0,20,33,0,0.07798265275614805,0.11381357927239831,0.00826919859779464,0.050515183622198576,0.01425204122494616,2.6020852139652105e-19,0.0,1890320.4956000627,431952.99900626624,4.0267275675596795e-18,12128.133333333362,0.9676729487998944,235
33,53,44,9,10,10,0,34,19,0,0.07587803840812932,0.11794055050304289,0.007620821759109727,0.050674330226443486,0.013942226507642123,6.122553444624025e-19,0.0,1733014.3952439507,390209.82747660304,6.523995262523032e-18,9524.466666666698,0.9746129174931812,236
34,40,37,3,10,9,0,27,13,1,0.0750496708555297,0.10279752056995203,0.008031665836723705,0.04667709073469943,0.015703158049618023,6.10365667473321e-19,0.0,1907894.221981634,482497.7561724988,7.893006491953391e-18,13014.466666666698,0.9653104629779191,232
35,46,41,5,13,13,0,28,18,0,0.07588182352706037,0.10893979279014947,0.00830941767916682,0.04483121153362848,0.017561074359268434,1.3010426069826053e-18,0.0,2095355.9457893826,594411.3876142887,1.618357938020065e-17,12168.133333333364,0.9675663304100347,232
36,48,40,8,11,11,0,29,19,0,0.07213066388827312,0.1127340888982095,0.008279424439199786,0.04546243826178708,0.014364661516862583,2.3927220358300787e-19,0.0,1929659.9613438467,510662.7336364014,3.7137546995000696e-18,10563.466666666696,0.9718435048165746,233
37,37,26,11,7,7,0,19,18,0,0.06971913209483467,0.1125251766051369,0.007966785884067932,0.04520427340138618,0.01309451550326614,2.282530889443167e-19,0.0,1728637.9566988088,372799.63655801286,3.7244479908159786e-18,13808.800000000032,0.963193199452621,228
38,55,52,3,18,17,0,34,21,1,0.08600906914920381,0.12786846405010102,0.007960290255368024,0.05707089834343408,0.015693824241158515,1.1224681315144046e-18,0.0,1824194.756567021,492505.90613693604,1.0612163305424279e-17,11069.133333333364,0.970495670671431,234
39,46,40,6,5,5,0,35,11,0,0.07340377245721508,0.12623199889498637,0.008083969335023361,0.0463450408625454,0.014982150064606617,5.699805706780938e-19,0.0,1913983.6031389667,510853.84146865434,7.172666814653848e-18,9419.466666666698,0.974892790766563,236
40,46,43,3,16,16,0,27,19,0,0.08301338265722247,0.13017375635745093,0.0080049694788538,0.05387577438166673,0.016137384081963305,4.818676322157798e-19,0.0,1916759.6361375735,471105.5501858403,7.061371163733334e-18,8866.800000000032,0.9763659015197917,239
41,54,44,10,22,22,0,22,32,0,0.07878974020025432,0.10555510496872612,0.0086641439324071,0.05079901187239241,0.015662071094803963,7.885106708985487e-19,0.0,1959123.415855398,475015.14027254755,9.354193742878247e-18,9752.133333333364,0.9740060811575629,240
42,52,42,10,8,8,0,34,18,0,0.07566795235069046,0.13112822667318147,0.007930856764573571,0.046980747520594036,0.01514940961224625,6.377659838150027e-19,0.0,1901628.3687668315,549047.5605586888,7.6837246213756e-18,10275.133333333364,0.9726120457101468,240
