Unnamed: 0,Disk (GB),Memory (GB),CPU (Core),Bandwidth (MB/s),Region,Latitude,Longitude
140,9170,42,16,1600,Arizona,31.37429098919769,109.37006921900796
142,8922,34,16,1600,Arizona,34.26556259106799,111.99795024222176
155,6746,34,16,1279,Arizona,34.54553741806957,112.59460186604444
156,6674,34,15,1279,Arizona,35.53274751913924,112.89268545323102
161,5948,34,12,1151,Arizona,31.85167737942024,114.7475361705347
168,5452,27,12,958,Arizona,35.55586281542105,110.4033148959479
169,5236,26,12,958,Arizona,31.982755771370947,113.80596038837268
173,4956,26,12,958,Arizona,32.04035377749963,110.86664343828684
179,4461,21,12,958,Arizona,34.834945780425286,111.45467099756944
184,3965,16,12,958,Arizona,34.09783016528957,111.4874751702492
190,3717,16,12,894,Arizona,32.720507605433035,111.91007765923374
194,3222,16,12,851,Arizona,31.942625560567286,112.16137449256578
198,2974,16,12,800,Arizona,34.727683768132906,114.2410470584438
204,2726,16,12,766,Arizona,32.45400666467417,112.98689721017678
210,2478,16,12,717,Arizona,36.57790129373291,113.44916689215997
221,2230,16,12,638,Arizona,34.39521530868642,111.9076702932908
222,2230,16,12,638,Arizona,33.260614498399384,113.62862162518812
223,2230,16,12,638,Arizona,31.524591043258752,110.50606083338498
224,2230,16,12,638,Arizona,31.422967591290487,113.05111292560176
245,1982,16,12,638,Arizona,32.26575622518737,114.1884149041176
251,1846,16,12,622,Arizona,36.05307258270668,111.96590009835636
257,1734,16,12,592,Arizona,32.94026703836725,110.9673481814612
271,1487,16,12,526,Arizona,33.18739485441102,110.34309801074042
274,1487,16,12,521,Arizona,35.38578421345363,109.59974552172756
276,1487,16,12,514,Arizona,35.774658764573495,112.32495275125513
284,1487,16,12,495,Arizona,34.664572598703586,112.00840364600091
291,1487,16,12,479,Arizona,33.48180320637259,114.12950605751072
295,1487,16,12,460,Arizona,36.64449363106137,113.3696320538712
298,1487,16,9,454,Arizona,31.48418444546435,113.95294285635374
309,1239,16,9,413,Arizona,31.560551971044923,112.52268541521508
328,991,16,9,367,Arizona,36.84395327290537,112.95603450275183
349,991,13,9,317,Arizona,35.69973613299169,111.77704852244266
354,991,13,9,317,Arizona,33.55171407735957,112.55246390391564
359,991,11,9,317,Arizona,32.45250222072263,111.5293963660632
363,991,10,9,317,Arizona,34.429675451731484,111.14457413192878
367,991,9,9,317,Arizona,31.94618807165594,111.2905424290758
381,743,8,9,305,Arizona,31.78431473273844,114.6531804730392
384,743,8,6,301,Arizona,31.60787780042041,114.28355775666978
397,743,8,6,285,Arizona,31.526159327311984,110.6209918823642
403,743,8,6,275,Arizona,34.664215640208,109.5382045984656
405,743,8,6,275,Arizona,35.85380968282467,113.64835523219338
406,589,8,6,273,Arizona,35.75093451952559,113.81379691770576
429,495,8,6,238,Arizona,33.19165009985761,113.6811051818558
430,495,8,6,238,Arizona,36.16420035396085,110.13110082663944
431,495,8,6,238,Arizona,32.003384224389954,110.69216883073284
433,495,6,6,238,Arizona,35.23613389158041,111.0010294228304
435,495,6,6,237,Arizona,35.96323603331444,113.1762323303676
439,495,5,3,235,Arizona,32.50448327537463,109.87104066382796
444,495,5,3,233,Arizona,34.03235417891415,109.76147372174644
447,304,5,3,230,Arizona,35.82848834479771,114.66009818227322
