experiment,region,x_name,x_value,method,seed,edge_csv_used,out_dir,status,command,total_runtime_s,avg_runtime_per_slot_s,avg_runtime_per_arrival_ms,algo,time_slots,arrival_rate,mean_service_time,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,split_recovery_coverage,split_workload_shares,mechanism,fixed_sfc_len,fixed_reliability,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,backhaul_knn_k,backhaul_use_device_bw,backhaul_bw_scale,fiber_speed_mps,switch_delay_s,region_cloudlet_count,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio
k_sweep,Arizona,cloudlet_count,50.0,MDCA,1,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed1,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 1 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed1 --max_backup_level 2,1.9606616999953985,0.016338847499961656,0.5499752314152591,mdca,120,30.0,9.0,11720802870195743146,3737587677167370884,fea02cd201bea47b82e2d1a35870ef39b4bb376236c75a82ae07fd01e985f43b,"[35, 35, 29, 31, 33, 27, 28, 30, 33, 45, 19, 31, 29, 32, 30, 32, 31, 23, 29, 23, 28, 23, 25, 31, 37, 31, 27, 24, 35, 36, 26, 27, 25, 37, 27, 17, 28, 30, 33, 32, 26, 22, 32, 24, 25, 33, 25, 37, 38, 23, 35, 22, 31, 24, 31, 37, 34, 30, 33, 22, 23, 35, 26, 34, 31, 31, 30, 30, 21, 21, 39, 24, 39, 26, 24, 31, 24, 34, 22, 36, 19, 40, 25, 24, 36, 21, 33, 25, 36, 35, 35, 43, 31, 30, 37, 34, 21, 31, 22, 30, 34, 36, 22, 34, 38, 24, 29, 30, 26, 19, 30, 37, 28, 24, 29, 45, 34, 29, 34, 26]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3565,684,2881,0.1918653576,11.2172431167,39989.4717110785,28522.4717110784,58.4641399285,0.950376163,0.9575268089,2633.1,3076.4,0.8,830.0,61.528,0.0797991471,0.1262584371,0.0081287373,0.0663566127,0.0053137972,0.0,0.0,793858986.4938326,1160612.5533535564,0.0,0.0,0.0,0.0,2347,1218,0.341654979,1663,1660,0,3,0.4664796634,0.4656381487,0.0,3,0.0008415147
k_sweep,Arizona,cloudlet_count,50.0,MDCA,2,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed2,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 2 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed2 --max_backup_level 2,2.2152304999763146,0.01846025416646929,0.6119421270652803,mdca,120,30.0,9.0,2078140298270422794,12017847392608320075,1978d7d7315efefde510f708b5be072babc238d8d63870e6f0f812fa17c34fdc,"[27, 22, 31, 28, 33, 39, 27, 26, 29, 38, 23, 38, 31, 42, 28, 20, 32, 28, 26, 30, 29, 31, 21, 22, 37, 24, 25, 27, 27, 33, 30, 25, 31, 33, 29, 21, 27, 33, 32, 29, 34, 30, 25, 23, 27, 35, 34, 26, 38, 29, 37, 28, 29, 25, 30, 39, 20, 27, 34, 35, 23, 33, 24, 34, 35, 25, 25, 29, 41, 27, 40, 23, 26, 44, 29, 45, 33, 31, 26, 39, 28, 35, 29, 33, 29, 35, 34, 27, 24, 31, 33, 32, 31, 27, 22, 31, 28, 36, 34, 41, 45, 29, 34, 23, 25, 36, 31, 19, 24, 33, 30, 28, 22, 37, 35, 34, 29, 27, 34, 24]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3620,700,2920,0.1933701657,10.8299172786,39204.3005486754,27456.3005486754,56.006143641,0.9468481235,0.9575616684,2509.6416666667,3143.2,1.8,305.8,62.864,0.0803433692,0.1311374844,0.0080930788,0.0670942409,0.0051560495,0.0,0.0,816872025.050483,1166960.0357864043,0.0,0.0,0.0,0.0,2363,1257,0.3472375691,1663,1655,0,8,0.4593922652,0.4571823204,0.0,8,0.0022099448
k_sweep,Arizona,cloudlet_count,50.0,MDCA,3,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed3,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 3 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed3 --max_backup_level 2,2.4093552000122145,0.02007796000010179,0.687994060540324,mdca,120,30.0,9.0,2554000953140563104,18185845460186161846,d5ae2e06086087790d876c4b9d954428d4cf73c5dfee6861837da142b903277f,"[37, 33, 27, 33, 22, 21, 26, 38, 26, 28, 29, 27, 29, 26, 32, 32, 27, 30, 30, 33, 26, 33, 32, 24, 15, 31, 35, 40, 36, 27, 25, 27, 22, 29, 27, 22, 29, 32, 32, 28, 33, 31, 31, 25, 30, 36, 30, 32, 37, 30, 31, 36, 26, 29, 21, 27, 31, 25, 27, 38, 28, 30, 27, 29, 31, 27, 25, 26, 35, 27, 30, 26, 33, 18, 43, 33, 25, 27, 24, 38, 31, 34, 32, 24, 25, 41, 30, 27, 34, 29, 26, 31, 28, 34, 32, 23, 28, 26, 33, 35, 21, 26, 28, 27, 23, 32, 32, 40, 32, 18, 24, 31, 15, 27, 33, 26, 31, 31, 25, 31]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3502,690,2812,0.1970302684,10.9500319721,38347.0119663453,26870.0119663453,55.5753796614,0.9664951008,0.9555610799,2690.35,2028.4,0.0,210.0,40.568,0.078618341,0.1254940986,0.0079962333,0.0655690746,0.0050530331,0.0,0.0,790172469.7001429,1145177.4923190477,0.0,0.0,0.0,0.0,2286,1216,0.3472301542,1596,1590,0,6,0.4557395774,0.4540262707,0.0,6,0.0017133067
k_sweep,Arizona,cloudlet_count,50.0,MDCA,4,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed4,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 4 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed4 --max_backup_level 2,2.372077099978924,0.019767309166491033,0.6545466611420871,mdca,120,30.0,9.0,6882654327104606599,14420759781778004277,b4b9694901c30df22d783df588c2ee6476233afa44542711d079118e04b0c2c8,"[32, 33, 29, 41, 26, 34, 36, 30, 25, 35, 36, 20, 31, 31, 34, 35, 30, 36, 35, 19, 34, 22, 29, 30, 26, 38, 30, 28, 18, 24, 31, 41, 22, 35, 33, 31, 29, 21, 23, 20, 33, 24, 20, 27, 25, 34, 38, 29, 31, 34, 34, 22, 35, 35, 31, 38, 24, 29, 29, 27, 21, 28, 29, 25, 27, 25, 30, 33, 30, 30, 34, 22, 34, 40, 24, 28, 21, 27, 30, 34, 38, 40, 31, 36, 40, 37, 29, 49, 24, 27, 34, 26, 23, 26, 32, 28, 27, 38, 35, 37, 32, 30, 23, 32, 28, 31, 39, 26, 35, 29, 36, 29, 31, 26, 26, 31, 25, 27, 30, 37]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3624,679,2945,0.1873620309,10.7516748088,38964.0695072334,27509.0695072334,57.3844911741,0.9599279232,0.9578321568,2550.775,2424.0,0.4,384.4,48.48,0.0791304618,0.1232859238,0.0080248573,0.0660566848,0.0050489197,0.0,0.0,792552091.8497338,1167234.3031660293,0.0,0.0,0.0,0.0,2389,1235,0.3407836645,1710,1706,0,4,0.4718543046,0.4707505519,0.0,4,0.0011037528
k_sweep,Arizona,cloudlet_count,50.0,MDCA,5,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed5,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 5 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\MDCA\seed5 --max_backup_level 2,2.2961889000143856,0.01913490750011988,0.6453594435116317,mdca,120,30.0,9.0,8998836626455823192,8179750290924396156,0eec6b95703ec34565afe1f4606c72d4d83ddd2f5bd77a1133649c784593cf69,"[33, 29, 34, 24, 30, 35, 28, 24, 32, 30, 24, 36, 35, 35, 30, 26, 25, 27, 29, 23, 32, 27, 32, 29, 33, 40, 21, 26, 27, 28, 36, 42, 23, 28, 31, 26, 34, 24, 24, 38, 26, 32, 25, 32, 39, 27, 26, 28, 29, 23, 27, 33, 29, 28, 40, 26, 23, 27, 35, 33, 28, 30, 32, 24, 35, 25, 28, 19, 41, 28, 31, 28, 38, 26, 30, 37, 31, 31, 26, 19, 44, 30, 32, 28, 24, 39, 30, 28, 27, 34, 30, 31, 33, 31, 36, 22, 30, 31, 25, 28, 34, 31, 31, 20, 36, 33, 21, 30, 22, 33, 28, 34, 31, 26, 27, 38, 37, 20, 27, 21]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3558,648,2910,0.1821247892,10.3425894365,36798.9332152334,25805.9332152334,56.788477184,0.9558271649,0.9576033463,2541.9083333333,2648.4,0.6,503.8,52.968,0.0794815776,0.123575565,0.0080843261,0.0664455571,0.0049516945,0.0,0.0,755145865.8550737,1165348.5584183235,0.0,0.0,0.0,0.0,2377,1181,0.3319280495,1729,1723,0,6,0.4859471613,0.4842608207,0.0,6,0.0016863406
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,1,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed1,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 1 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed1 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,2.5334916000138037,0.02111243000011503,0.7106568302984022,mdca,120,30.0,9.0,11720802870195743146,9475761514817476165,fea02cd201bea47b82e2d1a35870ef39b4bb376236c75a82ae07fd01e985f43b,"[35, 35, 29, 31, 33, 27, 28, 30, 33, 45, 19, 31, 29, 32, 30, 32, 31, 23, 29, 23, 28, 23, 25, 31, 37, 31, 27, 24, 35, 36, 26, 27, 25, 37, 27, 17, 28, 30, 33, 32, 26, 22, 32, 24, 25, 33, 25, 37, 38, 23, 35, 22, 31, 24, 31, 37, 34, 30, 33, 22, 23, 35, 26, 34, 31, 31, 30, 30, 21, 21, 39, 24, 39, 26, 24, 31, 24, 34, 22, 36, 19, 40, 25, 24, 36, 21, 33, 25, 36, 35, 35, 43, 31, 30, 37, 34, 21, 31, 22, 30, 34, 36, 22, 34, 38, 24, 29, 30, 26, 19, 30, 37, 28, 24, 29, 45, 34, 29, 34, 26]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3565,731,2834,0.2050490884,11.0737297441,39477.8465376461,26967.8465376461,54.0052620214,0.9639741654,0.9656961847,2126.6444444445,2233.4,0.1333333333,320.0,44.668,0.0849832921,0.1316117775,0.0081113516,0.0612424895,0.0094543912,1.05127565e-18,0.0,1297212625.687696,1774572.6753593653,359745305.81735086,492127.6413370053,1.168062243e-17,6.935107422e-17,2909,656,0.1840112202,2178,2171,2,5,0.6109396914,0.6089761571,0.0005610098,5,0.0014025245
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,2,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed2,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 2 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed2 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,2.6456937000039034,0.022047447500032527,0.7308546132607467,mdca,120,30.0,9.0,2078140298270422794,4836232127056779440,1978d7d7315efefde510f708b5be072babc238d8d63870e6f0f812fa17c34fdc,"[27, 22, 31, 28, 33, 39, 27, 26, 29, 38, 23, 38, 31, 42, 28, 20, 32, 28, 26, 30, 29, 31, 21, 22, 37, 24, 25, 27, 27, 33, 30, 25, 31, 33, 29, 21, 27, 33, 32, 29, 34, 30, 25, 23, 27, 35, 34, 26, 38, 29, 37, 28, 29, 25, 30, 39, 20, 27, 34, 35, 23, 33, 24, 34, 35, 25, 25, 29, 41, 27, 40, 23, 26, 44, 29, 45, 33, 31, 26, 39, 28, 35, 29, 33, 29, 35, 34, 27, 24, 31, 33, 32, 31, 27, 22, 31, 28, 36, 34, 41, 45, 29, 34, 23, 25, 36, 31, 19, 24, 33, 30, 28, 22, 37, 35, 34, 29, 27, 34, 24]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3620,752,2868,0.2077348066,10.7113240058,38774.9929008634,26014.9929008634,51.5624905597,0.9677884838,0.9626969888,2205.9583333333,1904.8666666667,0.0666666667,316.2666666667,38.0973333333,0.0856781849,0.1361982464,0.0080805825,0.061789096,0.009602872,1.013844372e-18,0.0,1344172207.736876,1787463.0422032925,366059545.0144969,486781.3098597034,1.142803173e-17,6.811175697e-17,2932,688,0.1900552486,2180,2168,2,10,0.6022099448,0.5988950276,0.0005524862,10,0.0027624309
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,3,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed3,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 3 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed3 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,2.5724088000133634,0.02143674000011136,0.7345541976051866,mdca,120,30.0,9.0,2554000953140563104,18087234375462464239,d5ae2e06086087790d876c4b9d954428d4cf73c5dfee6861837da142b903277f,"[37, 33, 27, 33, 22, 21, 26, 38, 26, 28, 29, 27, 29, 26, 32, 32, 27, 30, 30, 33, 26, 33, 32, 24, 15, 31, 35, 40, 36, 27, 25, 27, 22, 29, 27, 22, 29, 32, 32, 28, 33, 31, 31, 25, 30, 36, 30, 32, 37, 30, 31, 36, 26, 29, 21, 27, 31, 25, 27, 38, 28, 30, 27, 29, 31, 27, 25, 26, 35, 27, 30, 26, 33, 18, 43, 33, 25, 27, 24, 38, 31, 34, 32, 24, 25, 41, 30, 27, 34, 29, 26, 31, 28, 34, 32, 23, 28, 26, 33, 35, 21, 26, 28, 27, 23, 32, 32, 40, 32, 18, 24, 31, 15, 27, 33, 26, 31, 31, 25, 31]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3502,752,2750,0.2147344375,11.3570968815,39772.5532790554,27043.5532790554,52.8890336158,0.9608735104,0.9628867665,2246.85,2368.7333333333,0.7333333333,424.6,47.3746666667,0.0838000788,0.1304528663,0.0079374314,0.0602584662,0.0094568972,9.850092078e-19,0.0,1335805088.5193682,1776336.5538821386,352548718.88219345,468814.7857475977,1.165919455e-17,6.601649511e-17,2808,694,0.1981724729,2056,2046,2,8,0.5870930897,0.5842375785,0.0005711022,8,0.0022844089
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,4,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed4,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 4 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed4 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,2.652119800040964,0.0221009983336747,0.7318211368766457,mdca,120,30.0,9.0,6882654327104606599,9982702643186365209,b4b9694901c30df22d783df588c2ee6476233afa44542711d079118e04b0c2c8,"[32, 33, 29, 41, 26, 34, 36, 30, 25, 35, 36, 20, 31, 31, 34, 35, 30, 36, 35, 19, 34, 22, 29, 30, 26, 38, 30, 28, 18, 24, 31, 41, 22, 35, 33, 31, 29, 21, 23, 20, 33, 24, 20, 27, 25, 34, 38, 29, 31, 34, 34, 22, 35, 35, 31, 38, 24, 29, 29, 27, 21, 28, 29, 25, 27, 25, 30, 33, 30, 30, 34, 22, 34, 40, 24, 28, 21, 27, 30, 34, 38, 40, 31, 36, 40, 37, 29, 49, 24, 27, 34, 26, 23, 26, 32, 28, 27, 38, 35, 37, 32, 30, 23, 32, 28, 31, 39, 26, 35, 29, 36, 29, 31, 26, 26, 31, 25, 27, 30, 37]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3624,728,2896,0.2008830022,10.7340417779,38900.167403171,26390.1674031711,53.4342958835,0.9645787528,0.9629579423,2240.7111111111,2142.6666666667,1.6,302.2,42.8533333333,0.0849385567,0.1301396842,0.0079890884,0.0614295403,0.0097003573,9.120403989e-19,0.0,1271468883.340908,1746523.1914023461,337174536.2016461,463151.8354418215,1.054519977e-17,5.655183605e-17,2919,705,0.1945364238,2191,2178,5,8,0.604580574,0.6009933775,0.0013796909,8,0.0022075055
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,5,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed5,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime_lambda30\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 30.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 5 --out_dir D:\Study\Code_1\paper_data\scalability_runtime_lambda30\runs\k_sweep\Arizona\K_50\DMDCA\seed5 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,2.7539346999838017,0.022949455833198348,0.7740120011196745,mdca,120,30.0,9.0,8998836626455823192,8713146723775295805,0eec6b95703ec34565afe1f4606c72d4d83ddd2f5bd77a1133649c784593cf69,"[33, 29, 34, 24, 30, 35, 28, 24, 32, 30, 24, 36, 35, 35, 30, 26, 25, 27, 29, 23, 32, 27, 32, 29, 33, 40, 21, 26, 27, 28, 36, 42, 23, 28, 31, 26, 34, 24, 24, 38, 26, 32, 25, 32, 39, 27, 26, 28, 29, 23, 27, 33, 29, 28, 40, 26, 23, 27, 35, 33, 28, 30, 32, 24, 35, 25, 28, 19, 41, 28, 31, 28, 38, 26, 30, 37, 31, 31, 26, 19, 44, 30, 32, 28, 24, 39, 30, 28, 27, 34, 30, 31, 33, 31, 36, 22, 30, 31, 25, 28, 34, 31, 31, 20, 36, 33, 21, 30, 22, 33, 28, 34, 31, 26, 27, 38, 37, 20, 27, 21]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,3558,709,2849,0.1992692524,10.5631045647,37583.526041235,25325.526041235,53.0092045716,0.9643557266,0.963760562,2172.75,2137.0666666667,0.4,373.8,42.7413333333,0.0859773589,0.1321506538,0.0080910156,0.0618762947,0.0096987976,1.074109458e-18,0.0,1283100085.2791882,1809732.1372061893,351239840.985808,495401.7503325924,1.255710276e-17,7.027380653e-17,2876,682,0.1916807195,2167,2149,11,7,0.6090500281,0.6039910062,0.0030916245,7,0.0019673974
