slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,26,23,3,0,0,0,23,3,0,0.06940850659225513,0.10255089742903263,0.007907588465461956,0.03968809947212929,0.015947707580522528,4.525365589504714e-19,0.0,1524075.419889545,413305.360798616,6.4086352120277744e-18,337600.0,0.10683341226146292,23
1,24,23,1,0,0,0,23,1,0,0.08176304508150607,0.138599905029311,0.008115052858626112,0.05318052333321608,0.014585967250513612,1.5084551965015713e-18,0.0,1655937.1304107008,472737.4679748379,1.5227182322445624e-17,305880.3333333334,0.1907520924773114,43
2,24,19,5,0,0,0,19,5,0,0.06419412027520131,0.09513545085781909,0.008627747105178236,0.04018490269407504,0.013257076892927041,4.336808689942018e-19,0.0,1686300.0343900789,340248.66173838894,6.684865412645387e-18,278076.0,0.26431222733417814,58
3,27,20,7,0,0,0,20,7,0,0.06790592047651993,0.11330579708199047,0.00789488827112574,0.04301832173003507,0.013279913453301003,2.6020852139652105e-19,0.0,1700134.8378202647,445488.9636053137,4.6390709023973045e-18,255009.33333333337,0.3253382224679723,71
4,41,31,10,1,0,0,30,11,1,0.06478592625573458,0.09747733668864318,0.008091464277132813,0.03897794528782988,0.015091803574202535,2.7466455036299444e-19,0.0,1752514.5484568467,375560.194847613,4.4346697773099136e-18,220176.66666666672,0.4174927663912559,89
5,28,25,3,0,0,0,25,3,0,0.06663078376000137,0.09989888471895232,0.007644683783111128,0.03919451897458351,0.014928505629692968,1.4051260155412138e-18,0.0,1663315.6296634316,444175.0225810556,1.6445713031473677e-17,187855.33333333334,0.5030032373761291,105
6,19,15,4,0,0,0,15,4,0,0.06627172936345972,0.1197238031456544,0.007472859444322517,0.04537735744496801,0.01145745490033805,3.758567531283082e-19,0.0,1353752.706317207,315638.73829258024,5.4533842532080695e-18,165134.33333333337,0.5631147244614587,116
7,27,21,6,0,0,0,21,6,0,0.061972682537877105,0.07807747753714343,0.007627688510080404,0.03683203152735224,0.014210469342137856,6.60847038467355e-19,0.0,1741723.1914711825,478742.3687999093,1.0618739450410417e-17,147207.6666666667,0.6105421524715087,125
8,34,26,8,0,0,0,26,8,0,0.06496702189894381,0.0969585497849415,0.007926916786809377,0.03911356860330117,0.014111082335629816,8.006416042969879e-19,0.0,1615540.3751218112,367965.80631759565,1.163532136367166e-17,125343.33333333336,0.668387211702881,136
9,25,20,5,0,0,0,20,5,0,0.07514997175643891,0.128126622369914,0.008171009462052351,0.04756158766517299,0.01417893333555872,8.673617379884035e-19,0.0,1726473.949280262,384483.46147861605,1.0836518052711656e-17,121423.66666666669,0.6787572214829141,139
