slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,32,23,9,0,0,0,23,9,0,0.058182012716159616,0.10276177454001378,0.00812085424745761,0.04630961777753331,0.003751540691168694,0.0,0.0,782745.9490688684,0.0,0.0,18919.000000000004,0.6872427303235191,23
1,33,23,10,8,8,0,15,18,0,0.06370125036508768,0.11075400110762533,0.009044378508081872,0.049913965018514764,0.004742906838491033,0.0,0.0,1077323.7157667284,0.0,0.0,3251.000000000003,0.9462564679043163,31
2,29,22,7,16,16,0,6,23,0,0.09006740923738138,0.11292315811702705,0.00808688978878899,0.07699105225244175,0.00498946719615065,0.0,0.0,1003376.5875480009,0.0,0.0,2022.000000000003,0.9665735398654345,34
3,41,32,9,24,24,0,8,33,0,0.08112387899397948,0.0942015509569585,0.008112679495371325,0.06827072148169314,0.004740478016915027,0.0,0.0,948182.9323391079,0.0,0.0,2011.000000000003,0.9667553850986097,37
4,26,18,8,12,12,0,6,20,0,0.07890252426821608,0.13598448915885822,0.006064429555900231,0.06875034046917687,0.004087754243138977,0.0,0.0,553726.6639375079,0.0,0.0,1301.000000000003,0.978492668330826,39
5,34,16,18,12,12,0,4,30,0,0.06441070828982298,0.08050625401701952,0.008070901833762809,0.05505176871524259,0.0012880377408175784,0.0,0.0,452795.4319588202,0.0,0.0,1998.000000000003,0.9669702931014531,38
6,36,24,12,17,17,0,7,29,0,0.08089362952817343,0.11070417393085046,0.008341300798321311,0.06799900971403279,0.0045533190158193165,0.0,0.0,1084638.5774499557,0.0,0.0,2953.000000000003,0.9511828205848804,38
7,30,15,15,9,9,0,6,24,0,0.05150478587830471,0.08707649006736766,0.008671113037360722,0.03824021090197086,0.004593461938973136,0.0,0.0,1079481.5976565194,0.0,0.0,3244.000000000003,0.946372187598155,37
8,25,14,11,7,7,0,7,18,0,0.07530346835187747,0.11966595408784395,0.008646928470670298,0.0645123347295312,0.0021442051516759675,0.0,0.0,694185.826011113,0.0,0.0,3519.000000000003,0.9418260567687755,38
9,35,22,13,16,16,0,6,29,0,0.09432226521722702,0.1269156877710707,0.007874813529324882,0.0805981122476697,0.005849339440232452,0.0,0.0,1358712.1911932882,0.0,0.0,1619.000000000003,0.9732356879535798,41
10,36,21,15,11,11,0,10,26,0,0.09195963951186309,0.14471314026606866,0.007623112543335546,0.07846438799081028,0.0058721389777172785,0.0,0.0,1160030.0718757543,0.0,0.0,1828.000000000003,0.9697806285232513,42
11,20,13,7,7,7,0,6,14,0,0.07394218377620836,0.09091005489142197,0.008130800086638119,0.061133722295702915,0.004677661393867314,0.0,0.0,1067986.000239347,0.0,0.0,2702.000000000003,0.9553321981782413,43
12,31,21,10,12,12,0,9,22,0,0.06545605154590356,0.10011869063009762,0.007473606841818668,0.0541989119838732,0.0037835327202116998,0.0,0.0,835276.0438758217,0.0,0.0,1477.000000000003,0.975583144600023,43
13,31,22,9,13,13,0,9,22,0,0.07922747966010399,0.11526697967389443,0.008342183316415262,0.06497863372688523,0.005906662616803524,0.0,0.0,1466719.0679478676,0.0,0.0,2195.0000000000027,0.9637136102891338,42
14,34,24,10,19,19,0,5,29,0,0.10314460461030209,0.12173508886816034,0.008465500592540679,0.09056830806383502,0.004110795953926379,0.0,0.0,1010391.0856713115,0.0,0.0,2699.000000000003,0.9553817923327437,43
15,35,26,9,20,20,0,6,29,0,0.07500013733832378,0.08261674104192135,0.007383233710070364,0.06306977852002825,0.004547125108225163,0.0,0.0,1158379.0482930422,0.0,0.0,2663.000000000003,0.9559769221867715,43
16,30,20,10,15,15,0,5,25,0,0.0822142265470722,0.10332998550786583,0.008779278953358094,0.06958285006529877,0.003852097528415324,0.0,0.0,1366784.2947157552,0.0,0.0,2721.000000000003,0.9550181018663932,44
17,36,22,14,13,12,0,9,27,1,0.0758636487457809,0.0961063340674514,0.00842980784421623,0.06226843448339327,0.0051654064181714185,0.0,0.0,1104950.4706012593,0.0,0.0,2319.000000000003,0.9616637185697046,43
18,35,23,12,15,15,0,8,27,0,0.08234356844706289,0.12248352754817862,0.007930625069549717,0.06901375344115472,0.005399189936358457,0.0,0.0,1164918.2798377983,0.0,0.0,3664.000000000003,0.9394290059678299,43
19,19,13,6,8,8,0,5,14,0,0.07066554291118422,0.09457759511367722,0.009583008108624586,0.054024115691035914,0.007058419111523715,0.0,0.0,1607612.250137408,0.0,0.0,3385.000000000003,0.9440412623365458,43
20,34,21,13,15,15,0,6,28,0,0.08239307983269216,0.11620189838057143,0.007329351866779218,0.06964681042982632,0.005416917536086624,0.0,0.0,1030402.5147986001,0.0,0.0,1676.000000000003,0.9722933990180357,45
21,22,11,11,5,5,0,6,16,0,0.06805476034096224,0.10354335404898607,0.007930427854789453,0.054747336948266556,0.005376995537906226,0.0,0.0,1373304.8270561288,0.0,0.0,2580.000000000003,0.9573490271280025,43
22,29,20,9,14,14,0,6,23,0,0.086249525203263,0.12860356122706104,0.007754432671545463,0.07324558148945239,0.005249511042265145,0.0,0.0,914062.5524674325,0.0,0.0,2203.000000000003,0.963581359210461,44
23,30,19,11,12,12,0,7,23,0,0.062019691747365414,0.08229542017942579,0.007122855637413059,0.04914735544388244,0.005749480666069908,0.0,0.0,1140108.4962496178,0.0,0.0,3091.000000000003,0.9489014894777735,42
24,26,18,8,12,12,0,6,20,0,0.06773493229793835,0.09047554722660767,0.0072792102460272935,0.05587843355776365,0.004577288494147403,0.0,0.0,860643.2096940605,0.0,0.0,2634.000000000003,0.9564563323469607,42
25,38,23,15,18,18,0,5,33,0,0.09852243597814117,0.1387614028030157,0.008593484217004708,0.08660771650317374,0.0033212352579627346,0.0,0.0,922135.2531558231,0.0,0.0,2659.000000000003,0.9560430477261079,43
26,30,16,14,11,11,0,5,25,0,0.08133208452893763,0.09968109255222878,0.007973333728926913,0.06710843930269453,0.006250311497316187,0.0,0.0,1203150.05166318,0.0,0.0,1765.000000000003,0.9708221057678001,44
27,28,22,6,21,21,0,1,27,0,0.05631021050704502,0.05631021050704502,0.0064749121881439945,0.04772282001681931,0.0021124783020817243,0.0,0.0,631443.4509733613,0.0,0.0,3083.000000000003,0.9490337405564464,43
28,18,15,3,9,9,0,6,12,0,0.08097631365000867,0.1270883329028258,0.007539638158770547,0.06815272070043889,0.0052839547907992295,0.0,0.0,1395003.849640425,0.0,0.0,3286.000000000003,0.9456778694351226,42
29,24,15,9,9,9,0,6,18,0,0.061877625519139834,0.06934439215996256,0.008290916755405343,0.04666345888638837,0.006923249877346108,0.0,0.0,1172174.0445256776,0.0,0.0,3155.000000000003,0.9478434808483907,42
30,31,20,11,16,16,0,4,27,0,0.07831910781560794,0.10343859933433236,0.00788433969113874,0.06533483612329707,0.005099932001172129,0.0,0.0,929287.1795144321,0.0,0.0,3169.000000000003,0.9476120414607131,42
31,41,30,11,25,25,0,5,36,0,0.07688720222855641,0.10037536632527465,0.009406218015025189,0.06058950484746915,0.006891479366062071,0.0,0.0,1588100.787921038,0.0,0.0,1747.000000000003,0.9711196706948141,44
32,22,18,4,12,12,0,6,16,0,0.07562058663304855,0.09559233582375706,0.008349505497331723,0.0632865525954678,0.003984528540249016,0.0,0.0,876837.176354685,0.0,0.0,2700.000000000003,0.9553652609479095,43
33,35,24,11,20,20,0,4,31,0,0.07746291108181384,0.08960904544585171,0.006406813404949792,0.06743680899226791,0.003619288684596137,0.0,0.0,1081344.06012994,0.0,0.0,2080.000000000003,0.9656147195450563,44
34,33,23,10,16,16,0,7,26,0,0.07730328338361306,0.09602974515494564,0.0084267782083609,0.0620898677580646,0.00678663741718756,0.0,0.0,1331741.5200240382,0.0,0.0,2154.0000000000027,0.9643913970673322,43
35,31,17,14,11,11,0,6,25,0,0.07906513264266923,0.11619923204644353,0.007302114309214039,0.06619673632784605,0.005566282005609151,0.0,0.0,1152234.2525626083,0.0,0.0,2861.000000000003,0.9527037079896182,43
36,29,17,12,11,11,0,6,23,0,0.08529675903725566,0.10427436138543576,0.008693248271293603,0.07138863689990846,0.005214873866053585,0.0,0.0,1376455.6442885534,0.0,0.0,2631.000000000003,0.9565059265014629,44
37,21,15,6,12,12,0,3,18,0,0.10143492896735239,0.11592156493874285,0.00828298949365776,0.08805458784142785,0.005097351632266777,0.0,0.0,1294459.7247747448,0.0,0.0,2209.0000000000027,0.9634821709014564,44
38,23,16,7,12,12,0,4,19,0,0.07694672041134354,0.10896953252439089,0.008147720958749712,0.06434084766658602,0.004458151786007811,0.0,0.0,1423861.125260191,0.0,0.0,2730.000000000003,0.9548693194028863,44
39,20,12,8,8,8,0,4,16,0,0.09142768707072414,0.1054715830532115,0.007010865755722095,0.08044364138713443,0.003973179927867607,0.0,0.0,920602.041372843,0.0,0.0,2058.0000000000027,0.9659784100114066,45
40,33,24,9,21,21,0,3,30,0,0.09330691748336843,0.11528825256740553,0.007544394284063667,0.07703763948432908,0.008724883714975686,0.0,0.0,1392667.366412515,0.0,0.0,1580.000000000003,0.9738804119621101,46
41,24,18,6,14,14,0,4,20,0,0.10366253257778307,0.16837481894010342,0.008233958415299376,0.09324939398656719,0.0021791801759165072,0.0,0.0,863470.4169667047,0.0,0.0,3303.000000000003,0.9453968358929427,45
42,20,14,6,8,8,0,6,14,0,0.0711461368566726,0.09749567572119758,0.009039036349386104,0.05615180158570305,0.005955298921583449,0.0,0.0,1666574.1831244065,0.0,0.0,1868.000000000003,0.969119373129887,45
43,27,17,10,11,11,0,6,21,0,0.07803173364726941,0.10530240018372243,0.008100677295278283,0.0638181729941668,0.006112883357824328,0.0,0.0,1340157.252323245,0.0,0.0,2115.000000000003,0.9650361210758625,44
44,25,15,10,12,12,0,3,22,0,0.06831344644920667,0.07841464675133174,0.007629581636847314,0.05611283422522088,0.004571030587138484,0.0,0.0,1011661.9883057749,0.0,0.0,2659.000000000003,0.9560430477261079,43
