slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,27,27,0,0,0,0,27,0,0,0.024612445122370444,0.04456226248669608,0.0076570984801765055,0.011527083129390561,0.003801765095669774,6.424901762877063e-20,0.0,371066.7166700455,371066.7166700455,3.55911092800256e-18,360366.4,0.04258044907269898,27
1,30,30,0,0,0,0,30,0,0,0.030466200769721542,0.060647176314822276,0.007895156289052975,0.01715695064903926,0.0034569126123872086,2.8912057932946783e-19,0.0,290280.1619054949,290280.1619054949,9.770058298304754e-18,347599.7333333334,0.07649886174057952,52
2,29,29,0,0,0,0,29,0,0,0.02583393527202489,0.045513162524908383,0.008220472351689257,0.013822808062177463,0.0027486138512312587,2.8413574175482184e-19,0.0,259288.06220805223,259288.06220805223,9.985824953697695e-18,334957.4,0.11008694626420124,73
3,34,34,0,0,0,0,34,0,0,0.027544025248912758,0.051387158014548594,0.007871203785641741,0.015072820788901601,0.0031649800718681932,2.5510639352600105e-19,0.0,271471.04777789937,271471.04777789937,8.833373634992072e-18,321093.4,0.14692074834468405,99
4,43,43,0,0,0,0,43,0,0,0.0255529772766024,0.05730194541619021,0.007880053736815404,0.014785303429199217,0.002091575363567996,4.034240641806528e-20,0.0,135185.1969780464,135185.1969780464,1.1085200376935282e-18,302928.06666666665,0.19518231013969256,131
5,31,31,0,0,0,0,31,0,0,0.021870217890308713,0.035497045488776593,0.008192117625481716,0.011042921030302796,0.0020671160196035284,0.0,0.0,168511.98913165714,168511.98913165714,0.0,293607.73333333334,0.21994452258372932,143
6,32,32,0,0,0,0,32,0,0,0.0277596363280466,0.05017274351310112,0.008935939140470212,0.013666902749910602,0.003767280781192257,5.149960319306146e-19,0.0,321851.85302509187,321851.85302509187,1.2622542511650071e-17,291474.73333333334,0.22561146573416713,152
7,29,29,0,0,0,0,29,0,0,0.0245591235041955,0.04315004898189853,0.008015023115942299,0.013327163782575308,0.0022776079862662463,5.981805089575197e-20,0.0,203996.35649138366,203996.35649138366,1.7576375164878762e-18,280660.4,0.2543429294987638,166
8,31,31,0,0,0,0,31,0,0,0.029527366672622728,0.06384423779168157,0.008177509210204707,0.018108859300845798,0.0023685883045388347,2.7979410902851727e-20,0.0,234673.17321044955,234673.17321044955,1.1632595532766483e-18,276131.0666666667,0.2663764384108045,177
9,32,32,0,0,0,0,32,0,0,0.02917811150473188,0.07075924671587872,0.007612620890438325,0.018156604993594342,0.002026761652545994,1.0842021724855044e-19,0.0,219076.778712433,219076.778712433,5.688054696929444e-18,269554.0666666667,0.28385017732333595,192
10,33,33,0,0,0,0,33,0,0,0.025568021445580087,0.04902347550342166,0.008104375890486615,0.013717409315339105,0.002134803810636549,5.782411586589357e-19,0.0,213650.67969938798,213650.67969938798,9.583740378044298e-18,260509.0666666667,0.3078808856194962,204
11,27,27,0,0,0,0,27,0,0,0.0265256621473168,0.05828698464463091,0.008410654830892672,0.017209085308721513,0.0006453328455720587,6.424901762877063e-20,0.0,77875.34426902862,77875.34426902862,2.937630119114133e-18,259650.40000000002,0.31016218669083995,210
12,35,35,0,0,0,0,35,0,0,0.030179493536085417,0.058263339626808436,0.00817420546173639,0.017683538329001196,0.0031956963097129025,2.973811673103098e-19,0.0,272611.5927299951,272611.5927299951,5.159173214556566e-18,254373.40000000002,0.3241820924596446,219
13,29,29,0,0,0,0,29,0,0,0.026327786587656377,0.046585242719281994,0.008516421891684858,0.01368970032572186,0.0029686110856581684,1.794541526872559e-19,0.0,240826.5052242461,240826.5052242461,6.451051646224599e-18,252639.73333333337,0.32878808891618894,224
14,35,35,0,0,0,0,35,0,0,0.03047993439385275,0.06438771293799905,0.007943226260682367,0.019899327965941772,0.0017826171402005818,9.912705577010326e-20,0.0,129822.3185938709,129822.3185938709,1.9693442948528684e-18,246334.0666666667,0.34554095085974756,234
15,23,23,0,0,0,0,23,0,0,0.0281819105968103,0.05169927342956229,0.008025387009808389,0.0165459083885589,0.0024674636206551384,0.0,0.0,191746.50687504612,191746.50687504612,0.0,249222.73333333337,0.3378663564947384,228
16,30,30,0,0,0,0,30,0,0,0.026147134546446696,0.05837824734898028,0.00793784133506165,0.014876222216320642,0.002148060952117362,5.782411586589357e-20,0.0,222924.8307576355,222924.8307576355,2.091850509292711e-18,254482.40000000002,0.3238925018345168,222
17,39,39,0,0,0,0,39,0,0,0.029829007834216048,0.06685269316736604,0.008033310444948306,0.01660021126786018,0.0035290624848576704,4.448008912761043e-19,0.0,269423.5795754567,269423.5795754567,1.0812139608788283e-17,246794.40000000002,0.3443179396875715,236
18,19,19,0,0,0,0,19,0,0,0.027019454309827252,0.056087708337820015,0.007251927147026596,0.016151485947222204,0.0021934910497917307,4.565061778886334e-19,0.0,197793.10634406883,197793.10634406883,9.87676961305796e-18,247181.73333333337,0.34328887453038937,235
19,27,27,0,0,0,0,27,0,0,0.027485867512991927,0.046038590579383726,0.008131867485561552,0.01591318210915011,0.002194434998958621,6.424901762877063e-19,0.0,176860.26762867873,176860.26762867873,9.492132919232813e-18,242832.40000000002,0.35484416039176025,242
20,25,25,0,0,0,0,25,0,0,0.02554384461557751,0.04515741186063069,0.008007309017031594,0.013742521549437708,0.0027158309120001918,2.7755575615628914e-19,0.0,215629.22922451005,215629.22922451005,5.273481805618056e-18,239392.73333333334,0.3639826486507646,245
21,23,23,0,0,0,0,23,0,0,0.030027308310865482,0.06434770444655673,0.007976746323151276,0.014862307890053142,0.004381996434010641,3.0169103930031427e-19,0.0,397052.276718853,397052.276718853,5.337766733968909e-18,239041.73333333337,0.36491518359957065,240
22,32,32,0,0,0,0,32,0,0,0.030626122077223393,0.05386571858034681,0.008299043947954169,0.018688432625963723,0.0024544477208680205,1.6263032587282567e-19,0.0,202916.29188044387,202916.29188044387,5.1146281625637545e-18,241049.40000000002,0.3595812253881179,246
23,40,40,0,0,0,0,40,0,0,0.026761751019566703,0.0499830998483221,0.007696395304462334,0.01561964187357101,0.002189862282261806,2.168404344971009e-20,0.0,211666.1810242868,211666.1810242868,8.423952229386383e-19,243146.73333333334,0.3540090412495721,249
24,32,32,0,0,0,0,32,0,0,0.02541309119597919,0.04679556746346067,0.008032280224715797,0.01281737974688375,0.003178396932497624,2.168404344971009e-19,0.0,283464.14636615984,283464.14636615984,7.548665400555832e-18,237072.73333333337,0.3701464124149537,259
25,37,37,0,0,0,0,37,0,0,0.031060062746805412,0.07405001132244929,0.008310672446707043,0.019440810712172057,0.0019395871675276506,3.0474871875268234e-19,0.0,201552.88293855538,201552.88293855538,7.358255445572554e-18,230061.4,0.38877408583678674,270
26,42,42,0,0,0,0,42,0,0,0.03395604345057558,0.06757059142603902,0.007766154707155657,0.02113602212691216,0.00269201386029305,4.543323389463066e-19,0.0,277784.2414500055,277784.2414500055,1.0920623874150152e-17,224345.06666666665,0.4039612100885227,281
27,32,32,0,0,0,0,32,0,0,0.03007596373356268,0.06967923303502095,0.007891825402614848,0.017180846986270232,0.0038716672309173964,1.0842021724855044e-19,0.0,291735.5712840085,291735.5712840085,3.917085882805391e-18,224182.06666666668,0.40439426762885144,282
28,27,27,0,0,0,0,27,0,0,0.020745945689991108,0.028846852270656923,0.008014804212502285,0.01019196413461386,0.0016067122471251551,0.0,0.0,191974.31501068285,191974.31501068285,0.0,218462.73333333334,0.4195893622647652,285
29,29,29,0,0,0,0,29,0,0,0.03182405650930132,0.06173183202273959,0.008646939587543711,0.016604082446455032,0.004049266606053592,1.4954512723937993e-19,0.0,436044.60039800504,436044.60039800504,5.905579186958411e-18,216623.73333333334,0.42447520776577563,291
30,25,25,0,0,0,0,25,0,0,0.0345731476100933,0.07037424624169712,0.008386027993594385,0.0206623625746914,0.0035380654229840956,2.7755575615628914e-19,0.0,282440.89274551044,282440.89274551044,9.580940046916578e-18,217118.06666666668,0.42316186557291746,291
31,25,25,0,0,0,0,25,0,0,0.02685998075582778,0.05130170409951077,0.008054616514131247,0.014068173485037862,0.0039670568245036095,6.938893903907229e-20,0.0,255168.13365037143,255168.13365037143,2.1202898208175848e-18,222545.0666666667,0.40874344059522116,277
32,25,25,0,0,0,0,25,0,0,0.023645808122782414,0.04116595790927674,0.00725647555584756,0.012842155502352038,0.0025663426397387556,2.42861286636753e-19,0.0,202236.67941233286,202236.67941233286,6.642129156483193e-18,226373.0666666667,0.3985732303843088,269
33,22,22,0,0,0,0,22,0,0,0.02278264452742057,0.036250915903917956,0.007831595390697542,0.012692721330275623,0.0018021351578618907,7.885106708985487e-20,0.0,128815.4818927931,128815.4818927931,2.6901824531942565e-18,225066.0666666667,0.40204566109111717,268
34,25,25,0,0,0,0,25,0,0,0.025749890943168503,0.048894154239770865,0.008093705918585808,0.012826898107628593,0.0037111145774275365,2.42861286636753e-19,0.0,251723.83075669696,251723.83075669696,5.947136590432706e-18,227778.40000000002,0.3948395481961161,262
35,35,35,0,0,0,0,35,0,0,0.025201754578145313,0.046505062270404615,0.008523965012271238,0.0137709726159298,0.0017631699707514297,6.195440985631454e-19,0.0,190310.11467018485,190310.11467018485,1.1016152133703565e-17,217042.0666666667,0.423363781972089,278
36,28,28,0,0,0,0,28,0,0,0.027276705640309068,0.055836192526820594,0.007927124726930008,0.01672724302399087,0.0017967262582087304,1.858632295689436e-19,0.0,189391.3995519239,189391.3995519239,7.131625769386578e-18,212492.73333333337,0.43545042677864876,283
37,20,20,0,0,0,0,20,0,0,0.02267313298217466,0.03259533729746109,0.008352764755149652,0.011475792583182454,0.00236016181612883,1.3010426069826053e-19,0.0,236119.42925709905,236119.42925709905,4.2813469444240835e-18,221277.73333333334,0.4121104851112338,270
38,32,32,0,0,0,0,32,0,0,0.02366398858554308,0.044199007702470566,0.008210121383958883,0.012366480755092283,0.001965314379435709,1.6263032587282567e-19,0.0,202097.77022635646,202097.77022635646,4.3347930221726935e-18,221403.73333333334,0.411775728975765,274
39,25,25,0,0,0,0,25,0,0,0.030456489054558143,0.04772135019619528,0.007876001764930786,0.017984527041920103,0.0030733895086279186,0.0,0.0,289719.6885404099,289719.6885404099,0.0,236115.06666666665,0.3726907361641659,258
40,36,36,0,0,0,0,36,0,0,0.02632879692343694,0.062236912525313215,0.007813492201753218,0.014749899847636583,0.001974825890730252,1.2046690805394494e-19,0.0,208386.61816406876,208386.61816406876,4.253507386301935e-18,229734.40000000002,0.3896428577121702,267
41,37,37,0,0,0,0,37,0,0,0.029554425015543225,0.06465920356377242,0.008246296756983768,0.01622713442991345,0.003836117204701773,6.329396466401864e-19,0.0,310583.4948756405,310583.4948756405,1.758232192055358e-17,225014.73333333337,0.4021820432203823,280
