slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,29,29,0,0,0,0,29,0,0,0.024711477230268945,0.05167700009814377,0.008102506173632965,0.016608971056635977,0.0,0.0,0.0,0.0,0.0,0.0,354006.0,0.04983197878530865,29
1,22,22,0,0,0,0,22,0,0,0.021707137982256132,0.034972590503696034,0.008195889535664634,0.013511248446591502,0.0,0.0,0.0,0.0,0.0,0.0,341990.0,0.08208346306217318,45
2,32,32,0,0,0,0,32,0,0,0.022740112713241077,0.04004028943760806,0.008207460787098959,0.014532651926142117,0.0,0.0,0.0,0.0,0.0,0.0,326949.0,0.12245418335247948,72
3,39,39,0,0,0,0,39,0,0,0.024500848004511987,0.05112723797318412,0.0077254247229604795,0.016775423281551505,0.0,0.0,0.0,0.0,0.0,0.0,312810.0,0.16040389508605046,99
4,29,29,0,0,0,0,29,0,0,0.028059882079297476,0.06371303785939789,0.008352871723145243,0.01970701035615223,0.0,0.0,0.0,0.0,0.0,0.0,305285.0,0.18060133343353768,115
5,30,30,0,0,0,0,30,0,0,0.02224246416039812,0.045693500433381065,0.007660289597302732,0.01458217456309539,0.0,0.0,0.0,0.0,0.0,0.0,294753.0,0.20886969498513042,132
6,39,39,0,0,0,0,39,0,0,0.024301504477283527,0.061134810925594994,0.0077708468102198405,0.016530657667063693,0.0,0.0,0.0,0.0,0.0,0.0,282399.0,0.24202838645952995,157
7,26,26,0,0,0,0,26,0,0,0.02841932079466302,0.06478588932546449,0.008130723543771711,0.02028859725089131,0.0,0.0,0.0,0.0,0.0,0.0,273174.0,0.2667887012443232,173
8,33,33,0,0,0,0,33,0,0,0.025015960697393706,0.05918041101726639,0.008301854492586368,0.016714106204807344,0.0,0.0,0.0,0.0,0.0,0.0,269492.0,0.27667135479853555,183
9,27,27,0,0,0,0,27,0,0,0.026036040075813234,0.04883778250065686,0.008384229935510969,0.017651810140302263,0.0,0.0,0.0,0.0,0.0,0.0,266364.0,0.2850670474431788,191
10,25,25,0,0,0,0,25,0,0,0.020358677846017182,0.03270446335452549,0.00863683857871491,0.011721839267302272,0.0,0.0,0.0,0.0,0.0,0.0,264366.0,0.29042976927949493,192
11,30,30,0,0,0,0,30,0,0,0.024071671870928013,0.03441859667051858,0.007959654830218228,0.016112017040709786,0.0,0.0,0.0,0.0,0.0,0.0,256420.0,0.31175719055645623,207
12,27,27,0,0,0,0,27,0,0,0.02407881818755433,0.054436116056654625,0.008151676914571039,0.01592714127298329,0.0,0.0,0.0,0.0,0.0,0.0,251323.0,0.3254377677334851,211
13,30,30,0,0,0,0,30,0,0,0.025885488988790263,0.05014372575676624,0.008677977382256572,0.017207511606533697,0.0,0.0,0.0,0.0,0.0,0.0,249997.0,0.3289968113545838,215
14,34,34,0,0,0,0,34,0,0,0.02376695878476625,0.05447955862921341,0.007657888984452753,0.0161090698003135,0.0,0.0,0.0,0.0,0.0,0.0,244048.0,0.3449641948401919,225
15,30,30,0,0,0,0,30,0,0,0.02602613704450657,0.053561078770887394,0.00813699659115096,0.01788914045335561,0.0,0.0,0.0,0.0,0.0,0.0,240567.0,0.3543073553568169,228
16,21,21,0,0,0,0,21,0,0,0.02577539281925759,0.05416294549323702,0.00810505882742394,0.017670333991833646,0.0,0.0,0.0,0.0,0.0,0.0,242067.0,0.3502812879121351,223
17,25,25,0,0,0,0,25,0,0,0.019431438125589978,0.02992863016461026,0.008546438222162197,0.010884999903427778,0.0,0.0,0.0,0.0,0.0,0.0,238887.00000000003,0.35881655089486053,224
18,32,32,0,0,0,0,32,0,0,0.017913733756470356,0.027404873197331255,0.008047112964745364,0.00986662079172499,0.0,0.0,0.0,0.0,0.0,0.0,233481.00000000003,0.3733264979654939,227
