slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,20,16,4,0,0,0,16,4,0,0.06391587375337919,0.09474775505181503,0.008005873530399802,0.038262364108245926,0.01327292648701196,5.692061405548898e-19,0.0,1474266.177137996,527242.948462807,1.0491745173567215e-17,143888.33333333334,0.1642805008141036,16
1,9,7,2,0,0,0,7,2,0,0.06059497841229541,0.09886558231922825,0.008142977624501512,0.04357659043671796,0.007165449164886313,1.2390881971262907e-19,0.0,1212983.4604531755,226273.95063570794,3.267549208527454e-18,135451.6666666667,0.21328160241927197,21
2,11,10,1,0,0,0,10,1,0,0.060189329673530065,0.08695925012072724,0.007522808913530877,0.035336026423472125,0.014692174575895625,4.336808689942018e-19,0.0,1638566.3649143216,346742.3807742244,8.230598438158052e-18,120625.66666666667,0.29939266512945306,28
3,16,12,4,1,0,0,11,5,1,0.06520363755704343,0.09393730564371197,0.008042176545599331,0.03863527601774163,0.014640026344268435,0.0,0.0,1706636.605981125,603614.1834727419,0.0,107678.0,0.374594158201344,35
4,11,10,1,0,0,0,10,1,0,0.05774518891343727,0.07590739683859972,0.008722281912562427,0.03254983164746552,0.0121803264038187,6.071532165918824e-19,0.0,2042636.7450761856,718550.1704049892,8.971065649445884e-18,94288.33333333334,0.4523628366042681,43
5,8,6,2,0,0,0,6,2,0,0.07718478780502332,0.103008041380527,0.006815084118716184,0.05385982845387202,0.014947898325992045,2.8912057932946783e-19,0.0,1308374.6219538897,185276.30850022312,3.658412973725053e-18,92690.33333333334,0.46164419895492703,44
6,12,11,1,1,0,0,10,2,1,0.06179392889892079,0.08648089838360148,0.00900558957123825,0.040016614330710194,0.010672985174579869,2.6020852139652105e-19,0.0,1310394.7240055087,285156.98359733255,5.75824597207421e-18,81809.0,0.5248441974060973,49
7,7,6,1,0,0,0,6,1,0,0.04908869330040192,0.07424661063909278,0.00846372579868104,0.0317141698025653,0.006837294401300765,0.0,0.0,1775639.1431968582,475964.7237920247,0.0,84665.0,0.5082562306517282,46
8,14,10,4,0,0,0,10,4,0,0.07585774128433122,0.10939691254675019,0.008853136597256474,0.04654210039729738,0.015490990094928958,1.7347234759768072e-19,0.0,1858501.4202387948,357455.59242756845,2.860941730725757e-18,70505.33333333334,0.5904971549933302,53
9,6,5,1,0,0,0,5,1,0,0.06136495976485464,0.08088664642296853,0.008617626307055388,0.04080691335937198,0.009758268401016562,1.2143064331837649e-18,0.0,1526145.8377639404,247046.03882335554,1.789475943667583e-17,76761.0,0.5541635448066771,50
10,11,7,4,0,0,0,7,4,0,0.05543815383520089,0.07733300381272215,0.008203703871094778,0.034891895071772996,0.010233644823096907,4.956352788505163e-19,0.0,1629450.9711007539,456241.245938501,6.344488783296445e-18,77804.0,0.5481056843988314,49
11,5,4,1,0,0,0,4,1,0,0.06768264347225665,0.09113446237449038,0.009205928235513344,0.03762045238868404,0.01641702333278218,8.673617379884035e-19,0.0,1906127.848500761,570365.1112669513,1.5413133360683915e-17,76917.0,0.5532574793957241,50
12,6,6,0,0,0,0,6,0,0,0.059930744224826915,0.08464576195951408,0.007384971986235433,0.035065138196640123,0.013484913722096765,7.228014483236697e-19,0.0,1663687.0505807141,359618.4177031299,1.3595975415031289e-17,75678.66666666669,0.5604498576044636,51
13,9,7,2,0,0,0,7,2,0,0.07285816249646007,0.10567038781334752,0.009065852354729216,0.042831635555931495,0.01427533603866324,1.858632295689436e-18,0.0,1717409.7242841641,283544.17175769125,2.0771333430881152e-17,74107.66666666667,0.5695744009416885,53
14,8,8,0,0,0,0,8,0,0,0.07127914816926373,0.09407220798854037,0.007921342542189319,0.045231559967008055,0.013180698954185983,3.2526065174565133e-19,0.0,1923484.471954816,461631.06930662715,4.746003802350061e-18,68258.00000000001,0.6035499178152206,56
15,10,8,2,0,0,0,8,2,0,0.0696722047500336,0.0946952187070993,0.00785728090188165,0.041120522649549116,0.016430546213591232,1.0842021724855044e-18,0.0,1811089.1526417518,408109.3125287085,1.4773949262543874e-17,66573.00000000001,0.6133365858758342,58
16,14,14,0,0,0,0,14,0,0,0.062065418038546774,0.08535552232704652,0.008247647935620047,0.04111741195974224,0.010448729033425284,0.0,0.0,1462720.8639743582,232780.4572463001,0.0,50395.00000000001,0.7073002154809407,66
17,9,9,0,0,0,0,9,0,0,0.0534937176683587,0.07115236177490744,0.008028174170429574,0.03051302570784363,0.012108758428695599,5.782411586589357e-19,0.0,1650363.6801676499,237563.3355936628,8.816523619804787e-18,60272.66666666667,0.6499296250476749,60
18,3,2,1,0,0,0,2,1,0,0.0837544354375497,0.11413899602714203,0.008409709827794914,0.06042181466791155,0.014208586062790341,0.0,0.0,1783730.609519286,231356.23756593646,0.0,70917.0,0.5881061490477602,56
19,16,14,2,0,0,0,14,2,0,0.07598323473411153,0.12142886077925041,0.008087450835742239,0.05045039501137864,0.01255001512097649,1.1771337872699763e-18,0.0,1676174.6826942363,383895.41174441756,1.7632803816011354e-17,54720.33333333334,0.6821781967362284,67
20,9,7,2,0,0,0,7,2,0,0.07603787027250362,0.10095528870893349,0.007492130780633695,0.04918297483709046,0.01359904139089886,1.2390881971262908e-18,0.0,1916904.7913914963,574202.6897607569,1.2068614139950542e-17,57248.66666666667,0.667493354552301,65
21,16,13,3,0,0,0,13,3,0,0.06686340790485444,0.08394068075743621,0.008249695766829648,0.03982089295045025,0.014792869464401222,4.0032080214849397e-19,0.0,1826543.4821719793,343484.5420537236,6.15454849586534e-18,49655.33333333334,0.7115962820341555,70
22,15,11,4,1,0,0,10,5,1,0.06105582466556071,0.08596840539507902,0.007942229612269555,0.03785326669092069,0.012245996386464463,2.6020852139652105e-19,0.0,1764489.0352079682,343586.1504416269,4.701280274905718e-18,47963.66666666667,0.7214216708388268,69
23,12,8,4,0,0,0,8,4,0,0.08493342160567655,0.15841002886466682,0.008196014004955478,0.0557745275619206,0.015661326877083354,1.1384122811097797e-18,0.0,1473013.6915795743,580795.1324754427,9.93250058607187e-18,53935.66666666667,0.6867356283118335,67
24,11,9,2,0,0,0,9,2,0,0.05757705170886213,0.08315990341665248,0.007142895695372151,0.03728223419614642,0.011222039885294318,0.0,0.0,1281212.8768026931,183156.00115572807,0.0,55239.000000000015,0.6791657228485302,66
25,11,11,0,0,0,0,11,0,0,0.060762582870741544,0.09885608626639258,0.008734471200044338,0.03806929898948977,0.011477335901793211,0.0,0.0,1867649.9548670584,471450.08248314937,0.0,47551.00000000001,0.7238184848960056,70
26,11,8,3,0,0,0,8,3,0,0.07831264694149036,0.11574262305257485,0.008577400149658007,0.046437464688122244,0.017764848545523577,1.3010426069826053e-18,0.0,1963461.6699965545,580319.5265385987,1.5954759588767382e-17,50452.00000000001,0.7069691531192464,70
