slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,49,30,19,0,0,0,30,19,0,0.05812958098619501,0.10069344751602266,0.00831011028820912,0.04571635950330454,0.004103111194681345,0.0,0.0,820224.8964554963,0.0,0.0,115254.80000000002,0.3382124614140819,30
1,56,41,15,0,0,0,41,15,0,0.06261844585051764,0.10438536727215751,0.007873350558699055,0.04914014738686509,0.005604947904953492,0.0,0.0,901380.7634226945,0.0,0.0,56933.80000000001,0.6730888486697044,61
2,45,31,14,1,0,0,30,15,1,0.07008798098045924,0.12663276772047954,0.008077157174233178,0.055558221641270604,0.006452602164955459,0.0,0.0,1084170.447080039,0.0,0.0,29789.800000000007,0.8289483959282669,78
3,56,35,21,9,9,0,26,30,0,0.0675162385809494,0.11011730192663828,0.008238065814347044,0.05329630093503895,0.005981871831563416,0.0,0.0,1181005.2512568522,0.0,0.0,5375.8000000000075,0.9691324140085256,93
4,43,32,11,17,17,0,15,28,0,0.08391475938252822,0.12406902254893196,0.008182047292150137,0.06971668596297707,0.0060160261274010115,0.0,0.0,937775.0171096391,0.0,0.0,4802.8000000000075,0.9724225525503454,96
5,42,27,15,10,10,0,17,25,0,0.07100148213695125,0.10349544913412169,0.007791348750783248,0.05711436755802922,0.0060957658281387914,0.0,0.0,1075682.8520479933,0.0,0.0,5404.800000000007,0.9689658973982066,97
6,54,33,21,18,18,0,15,39,0,0.07139833087322091,0.11026988455623118,0.007784810635579998,0.055007747219597634,0.00860577301804329,0.0,0.0,1244251.1712273923,0.0,0.0,5462.8000000000075,0.9686328641775687,99
7,51,36,15,21,21,0,15,36,0,0.07861774509955805,0.09870706077848607,0.007829963302488537,0.06409358303172157,0.006694198765347933,0.0,0.0,1145545.6364281513,0.0,0.0,3581.8000000000075,0.9794334760399823,104
8,49,29,20,18,18,0,11,38,0,0.07543441478379943,0.1067738306726614,0.007570197014441421,0.06121967410847919,0.006644543660878813,0.0,0.0,943022.5458320804,0.0,0.0,3639.8000000000075,0.9791004428193444,107
9,56,40,16,25,25,0,15,41,0,0.06769894358957815,0.1095665830016569,0.0074966430894558254,0.053953937508756086,0.006248362991366262,0.0,0.0,1137144.3316843244,0.0,0.0,3338.8000000000075,0.9808287703954137,109
10,41,32,9,18,18,0,14,27,0,0.06896591525379278,0.09597687192400937,0.008129858512716871,0.051632420669472365,0.009203636071603561,0.0,0.0,1320466.3946020624,0.0,0.0,4823.800000000007,0.9723019715566661,110
11,49,31,18,18,18,0,13,36,0,0.08205710020655414,0.10677554393728125,0.00843129381968709,0.0681639092310525,0.005461897155814549,0.0,0.0,1001119.6169157409,0.0,0.0,4366.8000000000075,0.97492604365721,113
12,59,42,17,28,28,0,14,45,0,0.07777873926199401,0.10634428424782019,0.008029910823848003,0.06229732415805443,0.007451504280091595,0.0,0.0,1178250.6607573233,0.0,0.0,4907.8000000000075,0.971819647581949,114
13,63,42,21,28,28,0,14,49,0,0.0784928844051519,0.12369158435278152,0.007580943445335782,0.06337935832048443,0.007532582639331688,0.0,0.0,1102077.4253397686,0.0,0.0,3316.8000000000075,0.9809550933411729,117
