slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,10,5,5,0,0,0,5,5,0,0.06773578930084144,0.10431701398731762,0.009598826788645081,0.05048949932422421,0.007647463187972149,0.0,0.0,916585.0393055227,0.0,0.0,367682.00000000006,0.023029156447871513,5
1,7,5,2,0,0,0,5,2,0,0.05998007320796585,0.0853370179966927,0.009448170380744499,0.04176305736752881,0.008768845459692537,0.0,0.0,1504252.0558290011,0.0,0.0,360265.00000000006,0.04273692769211557,9
2,14,7,7,0,0,0,7,7,0,0.08326292234154567,0.14471437387929423,0.008348333797143106,0.07052281341335725,0.004391775131045322,0.0,0.0,621727.2797008777,0.0,0.0,354480.00000000006,0.0581082984145036,13
3,10,7,3,0,0,0,7,3,0,0.06314199068196506,0.10295215174256672,0.007503310171995439,0.04913538413652315,0.006503296373446476,0.0,0.0,689329.3854467954,0.0,0.0,345308.0,0.08247929448464075,18
4,12,6,6,0,0,0,6,6,0,0.06291017653010789,0.09153356261152967,0.007938933827185001,0.04777815926199084,0.0071930834409320585,0.0,0.0,1079663.809106868,0.0,0.0,336728.0,0.10527728252233981,22
5,7,3,4,0,0,0,3,4,0,0.0470679610144445,0.05323069883800206,0.008030020684399576,0.029631884606282594,0.00940605572376233,0.0,0.0,1294461.498310713,0.0,0.0,336426.0,0.10607972918753616,22
6,8,4,4,0,0,0,4,4,0,0.0711359032644634,0.08130221481972509,0.00811199888777776,0.05392577965019012,0.009098124726495517,0.0,0.0,1380805.3768312435,0.0,0.0,332654.0,0.11610234117800244,23
7,10,7,3,0,0,0,7,3,0,0.07909087573429663,0.1163647169183087,0.007487188898928794,0.06446856588726191,0.007135120948105927,0.0,0.0,1199478.9323494418,0.0,0.0,324730.0,0.1371572662608378,28
8,14,11,3,0,0,0,11,3,0,0.06902053766915359,0.11682366025870622,0.008486839746315016,0.053321725601403844,0.00721197232143472,0.0,0.0,1084796.9516683815,0.0,0.0,308977.0,0.17901469115103286,37
9,15,11,4,0,0,0,11,4,0,0.0543657710781124,0.0786521512175965,0.007400888890980294,0.040731705998779226,0.006233176188352873,0.0,0.0,977440.3168546706,0.0,0.0,295212.0,0.21558978501337867,44
10,7,6,1,0,0,0,6,1,0,0.07162060912865534,0.09556122307536619,0.008105913185913407,0.058813060570429204,0.004701635372312729,0.0,0.0,1006485.8816728052,0.0,0.0,296583.0,0.21194688972204,44
11,15,9,6,0,0,0,9,6,0,0.0645023556978789,0.10466111046878951,0.008115742519549425,0.047726981733396734,0.008659631444932732,0.0,0.0,1186489.8966622225,0.0,0.0,289898.0,0.2297096577910398,49
12,11,7,4,0,0,0,7,4,0,0.059138575501107016,0.09432347831857875,0.008218829234591768,0.04214834638242904,0.008771399884086201,0.0,0.0,1219761.419502353,0.0,0.0,287578.0,0.2358741487289724,50
13,6,4,2,0,0,0,4,2,0,0.04957705256409381,0.05841868425720708,0.0075074804298279965,0.0351819010180109,0.006887671116254913,0.0,0.0,1060758.562292466,0.0,0.0,291608.0,0.22516600283247745,47
14,4,4,0,0,0,0,4,0,0,0.06441067468102535,0.08872645550463082,0.008214166713847686,0.04886510751027576,0.007331400456901908,0.0,0.0,1331339.2128184314,0.0,0.0,297004.0,0.21082824718545834,44
15,12,7,5,1,0,0,6,6,1,0.07027228430849154,0.11815692425907567,0.007749717457845007,0.05252704719370852,0.009995519656938031,0.0,0.0,1172857.768133321,0.0,0.0,304599.0,0.19064751068821773,40
16,16,11,5,0,0,0,11,5,0,0.05538076733977426,0.08264029764723557,0.008312253140785477,0.040849303866280835,0.006219210332707945,0.0,0.0,1120587.769581808,0.0,0.0,286636.0,0.23837714461842607,48
17,9,8,1,0,0,0,8,1,0,0.06013023057924572,0.08111530787795405,0.008293325101317386,0.04207802857261517,0.009758876905313173,0.0,0.0,1415051.3002982733,0.0,0.0,284490.0,0.24407929873601375,49
18,12,7,5,0,0,0,7,5,0,0.064085312559392,0.11350163108640249,0.007495934525710562,0.049978832577808156,0.006610545455873278,0.0,0.0,1099753.9854164722,0.0,0.0,277327.0,0.2631121645068807,52
19,5,3,2,0,0,0,3,2,0,0.062113769552882094,0.06664977725782122,0.008680884952967701,0.04080347242463874,0.012629412175275653,0.0,0.0,1250925.6437433467,0.0,0.0,279081.0,0.25845159678915064,50
20,10,4,6,0,0,0,4,6,0,0.08800762584965822,0.13540806560931348,0.0093730715640367,0.07238417218982929,0.006250382095792225,0.0,0.0,1128464.7867961652,0.0,0.0,280318.0,0.25516475399164085,50
21,17,9,8,0,0,0,9,8,0,0.06281409381260294,0.0789340161165594,0.008310931638849791,0.046002749997065724,0.00850041217668744,0.0,0.0,1191654.562016992,0.0,0.0,277528.0,0.2625780857661374,53
22,13,10,3,0,0,0,10,3,0,0.06685077774017788,0.12697271804070448,0.008286676819077594,0.04912194359774772,0.009442157323352553,0.0,0.0,1326425.090149116,0.0,0.0,273666.0,0.27283983749126484,55
23,7,6,1,0,0,0,6,1,0,0.06820047996406403,0.0981665346116179,0.008296522342489785,0.05049583275768512,0.009408124863889129,0.0,0.0,1580888.2509120654,0.0,0.0,273769.0,0.272566155350486,56
24,9,9,0,0,0,0,9,0,0,0.05043757364220677,0.06946600938708228,0.007245507329041855,0.03591734420054873,0.00727472211261619,0.0,0.0,840883.0825145036,0.0,0.0,261946.00000000003,0.30398114516047603,61
25,10,8,2,0,0,0,8,2,0,0.05776936232694736,0.07410544254594796,0.008996495681099153,0.0412039281610484,0.0075689384847998035,0.0,0.0,1113192.98520265,0.0,0.0,253417.00000000003,0.32664362068186714,65
26,9,5,4,0,0,0,5,4,0,0.10185057111184503,0.12460896129429423,0.00874615265268556,0.08144992103735166,0.011654497421807814,0.0,0.0,1480104.40107963,0.0,0.0,267343.0,0.2896407324052941,59
27,6,4,2,0,0,0,4,2,0,0.046493785951315036,0.06248435680666119,0.007272487302482092,0.03330272688399584,0.005918571764837108,0.0,0.0,1185014.96359347,0.0,0.0,264399.0,0.29746325883687763,59
28,11,8,3,0,0,0,8,3,0,0.07124528989366424,0.09708802819142529,0.009460761262609137,0.05451257242509515,0.007271956205959968,0.0,0.0,1222301.329348177,0.0,0.0,257171.00000000003,0.3166688366383331,64
29,9,6,3,0,0,0,6,3,0,0.05121161563896465,0.05658777119066556,0.007149621536961383,0.03618142978950769,0.007880564312495572,0.0,0.0,1189096.9276238086,0.0,0.0,253793.00000000003,0.325644548012616,65
30,6,4,2,0,0,0,4,2,0,0.08045949866052571,0.10763288817151107,0.007111327349449055,0.06385576010675305,0.009492411204323606,0.0,0.0,1325005.7197902687,0.0,0.0,256675.00000000003,0.3179867622871324,63
31,10,8,2,0,0,0,8,2,0,0.06561037466956224,0.08970198689196164,0.008512819910774995,0.04650110483440066,0.010596449924386585,0.0,0.0,1525972.9733928682,0.0,0.0,250118.00000000003,0.33540942051128075,67
32,15,9,6,0,0,0,9,6,0,0.06256153288973305,0.10866695652407157,0.00829030081351669,0.04647294629250188,0.007798285783714488,0.0,0.0,1296091.145557483,0.0,0.0,237184.00000000003,0.3697764574902551,74
33,6,3,3,0,0,0,3,3,0,0.04467150761579778,0.04678510078511408,0.008005316246083109,0.029726454986277646,0.006939736383437028,0.0,0.0,1275359.5520809877,0.0,0.0,245617.00000000003,0.3473690643525026,68
34,11,8,3,0,0,0,8,3,0,0.06199406686019354,0.11307769957493924,0.0075465623918661365,0.044192189788355415,0.010255314679971997,0.0,0.0,1187270.6735317572,0.0,0.0,246298.00000000003,0.3455595736935664,68
35,7,7,0,0,0,0,7,0,0,0.06497417477268803,0.09453678703004124,0.0089914538278686,0.04560961077804201,0.010373110166777421,0.0,0.0,1335918.0536210947,0.0,0.0,244065.00000000003,0.3514928962213265,69
36,16,9,7,0,0,0,9,7,0,0.0584140255829714,0.0799418724431555,0.00834227891796247,0.04216081954149617,0.007910927123512768,0.0,0.0,1174245.519709152,0.0,0.0,229338.00000000003,0.39062412813638403,75
37,11,6,5,0,0,0,6,5,0,0.0740591724813368,0.1047189805130805,0.009129482314559713,0.05533061598117713,0.009599074185599956,0.0,0.0,1358933.801450388,0.0,0.0,233896.00000000003,0.37851302912987683,74
38,13,10,3,0,0,0,10,3,0,0.05984317438171518,0.08685851820426507,0.007679718165490091,0.04305670027265829,0.009106755943566806,0.0,0.0,1118888.167839535,0.0,0.0,232940.00000000003,0.3810532245336111,74
39,10,10,0,0,0,0,10,0,0,0.08146566541443087,0.13792633039100283,0.0077155708810564775,0.062099311864280415,0.011650782669093987,0.0,0.0,1222279.554948038,0.0,0.0,236739.00000000003,0.37095887062274646,73
40,12,8,4,0,0,0,8,4,0,0.0647330682527664,0.11234102763275294,0.007325650920583936,0.05010662080264376,0.007300796529538692,0.0,0.0,1033521.1280781124,0.0,0.0,236019.00000000003,0.3728719885000359,73
41,13,6,7,0,0,0,6,7,0,0.04934880678137404,0.061884655755356885,0.00860685714746121,0.03370904545951516,0.007032904174397673,0.0,0.0,1228140.1453792246,0.0,0.0,233857.00000000003,0.37861665634822994,75
42,7,3,4,0,0,0,3,4,0,0.05249719207955078,0.05850250403972061,0.007179899768463983,0.037283425216168536,0.008033867094918254,0.0,0.0,1032963.9385479502,0.0,0.0,247301.00000000003,0.3428944942061757,69
43,13,10,3,0,0,0,10,3,0,0.052698103346631456,0.07971479547823242,0.008484293932489968,0.03751110510236523,0.00670270431177625,0.0,0.0,1335576.083171622,0.0,0.0,245649.00000000003,0.3472840368912897,69
