slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,47,41,6,0,0,0,41,6,0,0.07165257899616237,0.1013542038531637,0.007795231461222754,0.04511707191201035,0.014048006002239048,9.731375596943065e-19,0.0,1347134.453183104,375204.3396286055,1.314684799720436e-17,310607.0,0.17939335656483735,41
1,43,36,7,0,0,0,36,7,0,0.07579537408065423,0.15059840224827842,0.007973886192427986,0.04900586166415818,0.014552790952412055,6.625679942966971e-19,0.0,1594224.8051669828,389122.22478513,9.265091608632794e-18,266615.3333333334,0.29561692500486547,69
2,57,47,10,1,0,0,46,11,1,0.07087473171127072,0.12674833193524848,0.007843437351792704,0.04546497850435285,0.013305049751010075,2.262682794752357e-19,0.0,1497453.2714880093,377185.08749757067,3.0940356741554083e-18,211870.00000000006,0.44025109046284217,100
3,52,43,9,0,0,0,43,9,0,0.07281210490085539,0.1213791843075493,0.007774026581510818,0.04641803326285182,0.013924845219165238,7.463345187342077e-19,0.0,1592688.2618491836,473980.9271114784,9.364002767051113e-18,161766.6666666667,0.572621346740324,128
4,48,40,8,0,0,0,40,8,0,0.07280450085345704,0.11818934138892878,0.007763941165939044,0.043891588400307456,0.016375553319174847,6.505213034913027e-19,0.0,1595352.6917148815,470523.1316321677,9.053533329498804e-18,118492.00000000003,0.6869506405395909,152
5,66,53,13,0,0,0,53,13,0,0.0751166656911691,0.13444735839186156,0.008153078320630301,0.048508938293683586,0.014491606044849219,8.755443958939546e-19,0.0,1795180.4777581128,448607.74179953715,1.0998767141462122e-17,63317.6666666667,0.8327182004478977,181
6,50,40,10,0,0,0,40,10,0,0.07347471606155129,0.11209038661370122,0.008300232497333198,0.04444757725717682,0.015522982260852723,1.1492543028346347e-18,0.0,1826297.7574574426,487221.00491763727,1.3036383436958463e-17,32107.33333333336,0.9151741878440582,196
7,52,43,9,0,0,0,43,9,0,0.07238797901679925,0.13453108195554328,0.007896712627823512,0.04710745934327779,0.012616552007278514,9.581321524290504e-19,0.0,1630241.8991437447,451660.15362987114,1.1446401974775436e-17,8842.666666666697,0.9766381600789764,214
8,52,41,11,18,17,0,23,29,1,0.09871345535998009,0.15740629377394702,0.008192468176495714,0.06616794585161576,0.015906578281352095,9.804958777260213e-19,0.0,2011701.9943389252,558381.3736016658,1.2093785653781115e-17,8127.00000000003,0.9785289121262638,219
9,38,33,5,9,9,0,24,14,0,0.07313026756424108,0.1195494064581017,0.007707269672618443,0.0460031121883531,0.014585753607720915,4.336808689942018e-19,0.0,1750034.2872116852,446838.444478126,6.213617163140942e-18,8997.00000000003,0.9762304198843356,221
