Unnamed: 0,Disk (GB),Memory (GB),CPU (Core),Bandwidth (MB/s),Region,Latitude,Longitude
137,9990,72,19,1920,Arizona,34.068051448352854,109.6779690417541
138,9473,72,19,1636,Arizona,34.50293741147144,110.72357387637418
139,9418,43,16,1636,Arizona,35.299791072614376,109.36161109672872
140,9170,42,16,1600,Arizona,31.37429098919769,109.37006921900796
141,8922,34,16,1600,Arizona,35.63127325249368,109.7749873065805
142,8922,34,16,1600,Arizona,34.26556259106799,111.99795024222176
143,8922,34,16,1600,Arizona,35.92460813236189,111.61131075895662
144,8674,34,16,1600,Arizona,36.839357279157184,109.63215351897428
145,8426,34,16,1600,Arizona,34.811087172177416,111.07671400436844
146,8178,34,16,1600,Arizona,31.824207956422,111.8779171429205
147,8112,34,16,1600,Arizona,33.464218770917206,110.02287417831415
148,7931,34,16,1600,Arizona,31.58306473207069,113.8844512256891
149,7435,34,16,1536,Arizona,33.63263583677771,114.25551598296197
150,7435,34,16,1536,Arizona,34.69028406829951,109.06703807546808
151,7150,34,16,1458,Arizona,34.1054643773705,112.62714338578893
152,6939,34,16,1438,Arizona,36.74314998932197,110.77545876737432
153,6939,34,16,1279,Arizona,31.81852012048158,113.01038043556842
154,6932,34,16,1279,Arizona,33.78086065011725,109.53151897875442
155,6746,34,16,1279,Arizona,34.54553741806957,112.59460186604444
156,6674,34,15,1279,Arizona,35.53274751913924,112.89268545323102
157,6444,34,14,1279,Arizona,33.124603723451955,109.1949844729629
158,6244,34,12,1279,Arizona,36.99597325056927,113.55711382338438
159,6196,34,12,1279,Arizona,35.71777543628296,111.79364505664914
160,5948,34,12,1197,Arizona,35.02676337532547,112.0665289798202
161,5948,34,12,1151,Arizona,31.85167737942024,114.7475361705347
162,5948,34,12,1151,Arizona,36.41809682698574,111.86123974262355
163,5825,34,12,1120,Arizona,34.45817328882164,114.39587646811678
164,5700,34,12,1023,Arizona,33.92188918537782,109.54240858018666
165,5583,34,12,1002,Arizona,34.0727829807082,111.38947232351777
166,5454,30,12,983,Arizona,32.21202553780416,109.08073463790365
167,5452,29,12,958,Arizona,34.0269391876539,111.8754424295448
168,5452,27,12,958,Arizona,35.55586281542105,110.4033148959479
169,5236,26,12,958,Arizona,31.982755771370947,113.80596038837268
170,5204,26,12,958,Arizona,33.79107203379488,110.54382760282364
171,5204,26,12,958,Arizona,32.330484804191826,113.43596546582168
172,4995,26,12,958,Arizona,33.45418222948699,109.20220419091312
173,4956,26,12,958,Arizona,32.04035377749963,110.86664343828684
174,4956,26,12,958,Arizona,36.48962867377807,114.72322923175888
175,4709,26,12,958,Arizona,35.75872058839476,111.02502795674609
176,4662,26,12,958,Arizona,34.52879156244474,112.949434881233
177,4470,26,12,958,Arizona,34.87036160728072,112.0965733269493
178,4461,21,12,958,Arizona,32.29097591391412,109.96651942550764
179,4461,21,12,958,Arizona,34.834945780425286,111.45467099756944
180,4461,18,12,958,Arizona,35.45137779018834,113.99926810882988
181,4456,16,12,958,Arizona,33.21943270242931,109.83512035802563
182,4213,16,12,958,Arizona,36.66697755809046,114.23812549295694
183,4009,16,12,958,Arizona,33.380234117596174,110.6592307207115
184,3965,16,12,958,Arizona,34.09783016528957,111.4874751702492
185,3965,16,12,958,Arizona,32.05541761039901,113.7617055726733
186,3965,16,12,958,Arizona,33.54086332349575,110.32230082660666
187,3961,16,12,955,Arizona,33.890295978407124,110.20634295475914
188,3825,16,12,950,Arizona,33.42003154364129,109.74330629362684
189,3717,16,12,895,Arizona,36.06564520222764,109.35910787074316
190,3717,16,12,894,Arizona,32.720507605433035,111.91007765923374
191,3552,16,12,878,Arizona,31.78628421250019,112.97826476922924
192,3469,16,12,876,Arizona,31.38507654515535,113.03684469622348
193,3469,16,12,864,Arizona,33.70879983263178,112.84621915064596
194,3222,16,12,851,Arizona,31.942625560567286,112.16137449256578
195,3222,16,12,800,Arizona,33.15180344913274,110.83772643473144
196,3048,16,12,800,Arizona,36.66601982085727,110.88743650317709
197,2974,16,12,800,Arizona,32.0949816307086,109.97818341598784
198,2974,16,12,800,Arizona,34.727683768132906,114.2410470584438
199,2974,16,12,788,Arizona,34.562107507001585,110.6980862091502
200,2974,16,12,766,Arizona,35.534521682003685,113.4868837042268
201,2974,16,12,766,Arizona,32.905850811524566,110.68773293332907
202,2971,16,12,766,Arizona,34.721653254336495,109.4045177827396
203,2899,16,12,766,Arizona,34.07324671390206,110.69879106988118
204,2726,16,12,766,Arizona,32.45400666467417,112.98689721017678
205,2726,16,12,766,Arizona,32.942683901039544,114.79173012838255
206,2726,16,12,752,Arizona,36.03224034893204,114.38835503957512
