slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,9,9,0,0,0,0,9,0,0,0.0643898359706016,0.12091430952588926,0.007482079391930884,0.033973060752663126,0.015518588109737018,0.0,0.0,1464660.5889876457,583240.0272611417,0.0,158702.0,0.07504458613575171,9
1,10,10,0,0,0,0,10,0,0,0.07755346659305393,0.11417406326422236,0.007716099222824023,0.05173156384408366,0.012224774015001997,1.7347234759768072e-19,0.0,1478561.2430050059,442037.00734162796,2.449256032277604e-18,145833.00000000003,0.15004837450022712,16
2,9,9,0,0,0,0,9,0,0,0.0978981490080289,0.14307027471905648,0.007860799930118699,0.06456069828642973,0.016273942274393164,0.0,0.0,2137845.5516939294,663127.1190817417,0.0,135926.50000000003,0.20778596323537968,22
3,11,11,0,1,0,0,10,1,1,0.07861162727942254,0.11861861163284484,0.008719786725276808,0.049311371900694075,0.015583741288892472,0.0,0.0,2299895.0285843816,859157.4211058229,0.0,128287.5,0.2523079882036159,27
4,11,11,0,0,0,0,11,0,0,0.06132850716674292,0.11922308815343734,0.00792577988550944,0.038017860617556534,0.013540850476799092,7.885106708985487e-20,0.0,1551471.4832218385,445647.35765122843,1.6382044446083002e-18,113222.5,0.34011062024268846,34
5,16,16,0,0,0,0,16,0,0,0.07208087556691714,0.14718258861968836,0.00796368264364555,0.046993311494748,0.012504737020006283,5.421010862427522e-19,0.0,1709293.3885109397,557229.5239633254,9.80453075798671e-18,97046.5,0.43438844140857225,46
6,11,11,0,0,0,0,11,0,0,0.08730766872965569,0.1715837350385031,0.008510063824780428,0.058140486518324,0.013100765070045694,0.0,0.0,1979885.0613058582,402512.0628284262,0.0,74691.0,0.5646819522316381,55
7,4,4,0,0,0,0,4,0,0,0.06265017553938325,0.11264757214722246,0.008520195059392222,0.03804650204455859,0.010731329313718029,0.0,0.0,1658814.2197051928,646060.215243749,0.0,81013.5,0.5278328223898169,52
8,6,6,0,1,0,0,5,1,1,0.0769961605488096,0.13042617808015322,0.008332311508199996,0.03977635599286315,0.0171764965116778,3.4694469519536144e-19,0.0,2262837.9737331974,943759.4242142315,2.5436645118381904e-18,89435.5,0.478747275291704,50
9,15,15,0,0,0,0,15,0,0,0.07498175060931703,0.15429351574013955,0.008541838569889848,0.051369297575300996,0.009903088424842983,1.1564823173178714e-19,0.0,1672308.12695468,503367.1647729369,9.03617133448307e-19,81937.5,0.5224475165813799,59
