slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,17,15,2,0,0,0,15,2,0,0.06295427760829769,0.10724575739983457,0.008182600722568132,0.050516687887631986,0.004254988998097573,0.0,0.0,838818.2341440368,0.0,0.0,147958.6,0.15423037436921072,15
1,14,12,2,0,0,0,12,2,0,0.05225471053528696,0.08608538547571015,0.007882751625390117,0.040169756191867724,0.004202202718029126,0.0,0.0,682316.8948184814,0.0,0.0,136201.6,0.22143642720115952,25
2,14,14,0,0,0,0,14,0,0,0.06758623719273789,0.15276205148768432,0.00813996929171759,0.052810089899930454,0.006636178001089847,0.0,0.0,997935.5715349203,0.0,0.0,122651.6,0.2988917317748524,33
3,14,14,0,0,0,0,14,0,0,0.07048622607052978,0.11473143872975658,0.007884622307692385,0.05282914188117223,0.009772461881665171,0.0,0.0,1446059.0563963105,0.0,0.0,98319.6,0.4379797370063724,42
4,14,13,1,0,0,0,13,1,0,0.06260537666702513,0.11920236390020068,0.008131109130512662,0.05008150996599748,0.0043927575705149996,0.0,0.0,1109508.2557199267,0.0,0.0,78361.6,0.5520648269459858,52
5,16,16,0,0,0,0,16,0,0,0.06306770915631789,0.11328383480517137,0.008680987794857428,0.04930854951159431,0.0050781718498661465,0.0,0.0,849520.6931678024,0.0,0.0,58158.60000000001,0.6675504002524298,66
6,9,7,2,0,0,0,7,2,0,0.056585518896281016,0.08591918688909919,0.008670655862452867,0.03663299657934987,0.011281866454478278,0.0,0.0,1425926.1765640357,0.0,0.0,51497.600000000006,0.7056263990543021,68
7,16,16,0,0,0,0,16,0,0,0.06203256523509296,0.14711617084762557,0.007947779232910051,0.04923630301626913,0.004848482985913782,0.0,0.0,1162454.115512122,0.0,0.0,33534.600000000006,0.8083075530068663,75
8,9,9,0,0,0,0,9,0,0,0.0845440399027423,0.13768297372883656,0.007545514869777725,0.0686091533692666,0.008389371663697971,0.0,0.0,1391545.3443562323,0.0,0.0,38413.600000000006,0.7804179271016968,75
9,6,5,1,0,0,0,5,1,0,0.048314818832935744,0.06455151745369547,0.00843915128105244,0.034176280408838196,0.005699387143045109,0.0,0.0,1209208.9590421983,0.0,0.0,41908.60000000001,0.76043960315446,72
10,20,20,0,0,0,0,20,0,0,0.058740953998891975,0.1101481032938642,0.008251817413089335,0.044640078534446,0.005849058051356637,0.0,0.0,1087044.0991240265,0.0,0.0,22441.60000000001,0.8717180101017722,85
11,8,7,1,0,0,0,7,1,0,0.055241391873893694,0.09332942165605435,0.007213221315339151,0.04144213017072521,0.006586040387829342,0.0,0.0,1022632.733898975,0.0,0.0,38076.600000000006,0.7823443062634189,77
12,9,9,0,0,0,0,9,0,0,0.04876836404925703,0.08959564977842707,0.007629977576249201,0.03393844794831478,0.007199938524693052,0.0,0.0,1136472.6786034715,0.0,0.0,32427.60000000001,0.8146354513214846,80
13,10,10,0,0,0,0,10,0,0,0.06694746111613943,0.15516764048677414,0.008459395227896124,0.049755481548841574,0.008732584339401724,0.0,0.0,1383681.7046401945,0.0,0.0,28480.60000000001,0.8371975241740577,82
14,20,19,1,1,1,0,18,2,0,0.08426328699711294,0.16149723254680604,0.008194451863889108,0.0659863748147141,0.010082460318509715,0.0,0.0,1530118.74881353,0.0,0.0,5949.600000000008,0.9659905475947126,93
15,7,7,0,0,0,0,7,0,0,0.07521155221371596,0.1425734290809938,0.00889690544351277,0.059928315449684244,0.006386331320518942,0.0,0.0,1447351.4683133005,0.0,0.0,20939.60000000001,0.8803038305792399,89
