slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,19,18,1,0,0,0,18,1,0,0.07254521482146142,0.12035041573132892,0.007868720323888165,0.04800598137559235,0.011780184792855378,5.541477770481467e-19,0.0,1379063.6337823109,282393.2706460872,7.313635644812048e-18,348912.4666666667,0.08273814656456668,18
1,16,15,1,0,0,0,15,1,0,0.06958834812069871,0.14296485584394814,0.007951450436927902,0.04582514403509166,0.012402739127153858,5.204170427930421e-19,0.0,1797132.3256628676,346134.6119521642,7.180493151581463e-18,324151.80000000005,0.14783187971759126,32
2,10,10,0,0,0,0,10,0,0,0.058601166325339585,0.09601779183565608,0.007511204337929104,0.03895208134421459,0.009988952330263822,2.6020852139652105e-19,0.0,1104140.3843973514,250422.63014394016,2.7423007018875672e-18,317006.13333333336,0.16661724303039105,35
3,8,8,0,0,0,0,8,0,0,0.06425502094365354,0.08864164242756858,0.00888610560870893,0.03650895834544352,0.012710588684400077,1.3552527156068805e-18,0.0,1562759.8294306612,565273.4572583042,1.62562882562579e-17,318269.1333333334,0.16329692108272098,37
4,15,15,0,1,0,0,14,1,1,0.06521742957470332,0.09868210685413346,0.00843289587222518,0.03924199496125127,0.013488175731308925,4.336808689942018e-19,0.0,1609962.0571959522,383527.22964451235,4.6463757821343114e-18,302081.80000000005,0.20585207400506011,47
5,11,11,0,0,0,0,11,0,0,0.06674769003341884,0.11243627366792525,0.008278438235388179,0.04228768979043017,0.01418298484503515,1.5770213417970974e-19,0.0,1665776.6437065913,135229.82670633946,3.183442296268151e-18,287561.1333333334,0.24402569888877423,51
6,13,13,0,0,0,0,13,0,0,0.06394634576041379,0.09964091410104893,0.008792934142347063,0.03923076122760413,0.011324103709985715,4.0032080214849397e-19,0.0,1551614.1124247073,442270.07274559035,4.099907478953401e-18,280530.13333333336,0.26250961307251675,59
7,8,8,0,0,0,0,8,0,0,0.06924795036008963,0.1542218150303931,0.008183652158586713,0.0482520047283323,0.00991146178822757,8.673617379884035e-19,0.0,1295115.6528470868,500964.85757462715,1.0097710257155324e-17,286269.4666666667,0.24742138311870865,57
8,10,10,0,0,0,0,10,0,0,0.04334496523710893,0.06295440225094254,0.007451184373006932,0.025831052013627082,0.00854790684972907,3.4694469519536144e-19,0.0,1159709.6867812297,209537.30919720363,8.615441283124622e-18,284899.4666666667,0.2510229991664582,58
9,7,6,1,0,0,0,6,1,0,0.05208780820630546,0.08724749988773428,0.007520589679954787,0.03515201026382154,0.007275794942766906,5.782411586589357e-19,0.0,1070509.5731115928,364460.81554423034,1.081989875665098e-17,287702.46666666673,0.24365414531109897,59
10,11,11,0,0,0,0,11,0,0,0.07175187587599409,0.1230221444506716,0.008205542622669256,0.04932311970618572,0.011861774474708053,9.462128050782583e-19,0.0,1351970.4127907332,244786.30566334416,8.678825716694739e-18,279391.4666666667,0.2655030730285053,63
11,11,11,0,0,0,0,11,0,0,0.07594798209275629,0.1348044906881369,0.00812791298110237,0.048946393048034914,0.014631276254646287,7.885106708985487e-19,0.0,2140071.380147333,336857.25072454184,8.810940801114555e-18,265243.13333333336,0.30269786454839065,69
12,15,15,0,0,0,0,15,0,0,0.06520335626769175,0.14227315583889483,0.008508554074350683,0.04184044670021345,0.011213012385941029,1.1564823173178714e-19,0.0,1344140.6829509514,330444.4705080335,1.5790408044386977e-18,244693.4666666667,0.356721228959026,80
13,13,13,0,0,0,0,13,0,0,0.07190614775703298,0.14490541467923793,0.008252014487734525,0.04715664624856199,0.013034702572079478,7.339214706055722e-19,0.0,1791310.0685651554,498590.8766181823,9.890824083007432e-18,238993.4666666667,0.3717060548511226,86
14,6,6,0,0,0,0,6,0,0,0.05603868709072659,0.09009819237029648,0.008024248779538773,0.03310144925006791,0.0141548085231445,2.8912057932946783e-19,0.0,1967445.6848593366,190754.93035473945,8.868010949961487e-18,244120.4666666667,0.3582275982987052,80
15,7,7,0,0,0,0,7,0,0,0.06975268256364145,0.13566613708874198,0.00833876766294587,0.03484995292096755,0.021506928222077035,1.2390881971262907e-19,0.0,2034481.2458924237,556976.8230025921,2.1501437204045358e-18,248199.46666666667,0.3475042465769751,77
16,10,10,0,1,0,0,9,1,1,0.06573184998675358,0.09580647670154085,0.00827560244943907,0.0393676167203201,0.013886501048283123,9.637352644315594e-20,0.0,1798712.2162154817,514710.84552693303,2.149501148018847e-18,258512.46666666667,0.32039222737957285,72
17,17,17,0,0,0,0,17,0,0,0.07361857908797616,0.13368606233176564,0.00853599330145535,0.04176954436706983,0.019306898194020695,6.122553444624025e-19,0.0,2331511.330110154,595225.7628318878,7.277363931357945e-18,237635.8,0.37527524759138653,80
18,16,15,1,0,0,0,15,1,0,0.06350530928569662,0.11426395468413712,0.007640646524578364,0.04177265212079153,0.01134346382974485,5.782411586589357e-20,0.0,1081525.9250565409,186914.58484718975,9.293491777948428e-19,231683.13333333336,0.39092431313413856,87
19,14,14,0,1,0,0,13,1,1,0.060651290214095314,0.11763309490100181,0.008058197897359735,0.04008218104868384,0.010027044888388462,2.6688053476566264e-19,0.0,1392199.6812061828,415866.8223770029,5.562154852197991e-18,225468.46666666667,0.4072621548845625,92
20,14,14,0,0,0,0,14,0,0,0.06678964830722754,0.09486757846119474,0.008841556330844555,0.04248202709072129,0.012826065153572897,6.195440985631454e-19,0.0,1709926.5622643929,347643.7465758767,8.011974050312087e-18,213439.80000000005,0.438884519044925,99
21,11,11,0,0,0,0,11,0,0,0.06250039898538153,0.08477741592412237,0.008554271129502668,0.03669247135534826,0.014477050790563344,3.154042683594195e-19,0.0,2122136.397299591,677806.682989254,5.4494246866622365e-18,209653.46666666667,0.4488384744430728,101
