slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,21,17,4,0,0,0,17,4,0,0.06290820050251568,0.09865690905472635,0.00850877880897442,0.049094443029749975,0.005304978663791277,0.0,0.0,867205.203832769,0.0,0.0,337024.60000000003,0.09213240646009746,17
1,18,7,11,0,0,0,7,11,0,0.06109580130910589,0.10910995574300356,0.00844293879950933,0.04368638756606035,0.008966474943536204,0.0,0.0,1549347.9195412477,0.0,0.0,324596.60000000003,0.12561061087756098,22
2,16,11,5,0,0,0,11,5,0,0.05441446735488125,0.10099560838689098,0.00799665749893855,0.04131203117865933,0.00510577867728337,0.0,0.0,804778.523982912,0.0,0.0,316978.60000000003,0.14613176965228247,29
3,16,12,4,1,0,0,11,5,1,0.06710471489492839,0.12551643117873115,0.006760252856823282,0.050827534870838555,0.00951692716726656,0.0,0.0,1103284.3771955057,0.0,0.0,303275.60000000003,0.18304453398544174,37
4,6,3,3,0,0,0,3,3,0,0.051572249314348916,0.05754347172412904,0.007961437029480462,0.035436170772258406,0.008174641512610048,0.0,0.0,925175.8396933827,0.0,0.0,308825.60000000003,0.16809409670535458,35
5,17,13,4,0,0,0,13,4,0,0.05052014153826407,0.08549468696153353,0.007714860302041687,0.035092785154562184,0.0077124960816601935,0.0,0.0,989618.4832069145,0.0,0.0,288079.60000000003,0.2239791006355687,46
6,14,8,6,0,0,0,8,6,0,0.05747999015980054,0.0984239341271238,0.00816312653568265,0.04523713314120875,0.004079730482909135,0.0,0.0,974156.0340409254,0.0,0.0,298224.60000000003,0.19665077879656256,43
7,10,7,3,0,0,0,7,3,0,0.05131092440412753,0.11677364452408769,0.008895429958253749,0.03819207828851578,0.004223416157358007,0.0,0.0,776637.7069076377,0.0,0.0,303915.60000000003,0.18132051959638662,44
8,11,8,3,0,0,0,8,3,0,0.06050915063520915,0.10726010412822201,0.008876191652234529,0.04243979394443814,0.009193165038536464,0.0,0.0,1367606.217575969,0.0,0.0,300829.60000000003,0.1896335014786117,44
9,8,6,2,0,0,0,6,2,0,0.04727698636454389,0.075934900740389,0.008032977998234941,0.03148361693704591,0.00776039142926303,0.0,0.0,1046806.8117777937,0.0,0.0,293658.60000000003,0.20895054395347745,47
10,9,7,2,0,0,0,7,2,0,0.06082640087326346,0.09174762696159257,0.007259327091177975,0.04558312777783865,0.00798394600424682,0.0,0.0,1080859.0779207468,0.0,0.0,289365.60000000003,0.22051490922256112,49
11,18,11,7,0,0,0,11,7,0,0.041607047174231776,0.08246322679264184,0.008259938477256432,0.029185209738592118,0.004161898958383226,0.0,0.0,723550.3107481883,0.0,0.0,281860.60000000003,0.24073167170671494,55
12,14,8,6,0,0,0,8,6,0,0.03867286030327893,0.06829587251373785,0.0083745118436927,0.02542139775224206,0.004876950707344168,0.0,0.0,584643.1632441358,0.0,0.0,286790.60000000003,0.22745137336602494,56
13,13,8,5,0,0,0,8,5,0,0.06198640759274894,0.12108888349437176,0.007396792918640758,0.0479205948806175,0.006669019793490674,0.0,0.0,908326.7306257564,0.0,0.0,287234.60000000003,0.226255338383618,55
14,12,8,4,0,0,0,8,4,0,0.06657146187568579,0.11589752627026112,0.007843834128646147,0.05168298056119964,0.007044647185840001,0.0,0.0,1238998.973017769,0.0,0.0,280426.60000000003,0.2445945414471915,59
15,10,8,2,0,0,0,8,2,0,0.057596264909995386,0.10024278464569078,0.008246135445458552,0.039728291135186514,0.009621838329350325,0.0,0.0,1607618.0067699817,0.0,0.0,277778.60000000003,0.25172765098190697,55
16,13,9,4,0,0,0,9,4,0,0.031719846024635324,0.056772901522775164,0.0078321418730029,0.02080683872339855,0.003080865428233877,0.0,0.0,544588.1469567304,0.0,0.0,284486.60000000003,0.23365782516662326,55
17,12,9,3,0,0,0,9,3,0,0.045234485104126185,0.0937152741118968,0.00879968947817142,0.031506173393529485,0.0049286222324252905,0.0,0.0,831872.5903650661,0.0,0.0,280034.60000000003,0.24565050026048774,58
18,13,9,4,0,0,0,9,4,0,0.05556693740961684,0.11917173981915091,0.008512810884756463,0.03910335339031357,0.00795077313454682,0.0,0.0,1084057.1225304594,0.0,0.0,273737.60000000003,0.2626131855853001,61
19,9,8,1,0,0,0,8,1,0,0.07708850350043381,0.12427388432665368,0.007711607657989471,0.06179468489442859,0.007582210948015767,0.0,0.0,1022697.9424945571,0.0,0.0,275321.60000000003,0.25834624997238875,63
20,15,7,8,0,0,0,7,8,0,0.056217127564790914,0.11470522601424091,0.007656608095126844,0.04205439162475231,0.006506127844911772,0.0,0.0,775339.9948824708,0.0,0.0,272293.60000000003,0.26650299305060576,65
21,10,6,4,0,0,0,6,4,0,0.06760217936551242,0.1223645146039661,0.00804622376248091,0.0468122858295375,0.01274366977349401,0.0,0.0,1760420.4113172265,0.0,0.0,270670.60000000003,0.2708749857903501,64
22,9,3,6,0,0,0,3,6,0,0.027488349709727827,0.037915009739843186,0.007279600394377708,0.017259851740367198,0.0029488975749829235,0.0,0.0,431462.94998400216,0.0,0.0,276502.60000000003,0.25516490467008557,57
23,12,9,3,0,0,0,9,3,0,0.0486633144876145,0.11077936329268367,0.007915000539936953,0.03648913813571049,0.004259175811967063,0.0,0.0,1008662.2488432718,0.0,0.0,264809.60000000003,0.2866631863126188,61
24,9,5,4,0,0,0,5,4,0,0.04482345972031982,0.06110497884690584,0.007409470005090768,0.0309724482706139,0.006441541444615145,0.0,0.0,1195248.546573371,0.0,0.0,272564.60000000003,0.26577298070774025,56
25,17,12,5,0,0,0,12,5,0,0.05594685587922809,0.09312690673477997,0.007734988717765386,0.03964548756737511,0.008566379594087587,0.0,0.0,1258646.61611674,0.0,0.0,257896.60000000003,0.3052852354868967,65
26,15,10,5,0,0,0,10,5,0,0.04961889801235946,0.09315540480503451,0.008204633062522785,0.03556596897957977,0.005848295970256911,0.0,0.0,844249.527389038,0.0,0.0,260553.60000000003,0.2981278819998351,67
27,10,7,3,0,0,0,7,3,0,0.06848487704718503,0.09046806292671865,0.007133102763884336,0.048341229332642656,0.013010544950658039,0.0,0.0,1561399.2800711042,0.0,0.0,249372.60000000003,0.3282469521311242,70
28,9,6,3,0,0,0,6,3,0,0.0441988702050689,0.08290184139134105,0.007755209029898162,0.03056471363906367,0.00587894753610706,0.0,0.0,671416.1977136694,0.0,0.0,253597.60000000003,0.3168657633908777,71
29,11,7,4,0,0,0,7,4,0,0.04246503266586902,0.08683516539016085,0.008964455583066354,0.02978916653894707,0.0037114105438555986,0.0,0.0,406158.98379900784,0.0,0.0,255979.60000000003,0.31044919733661325,71
