region,method,base_method,seed,fixed_reliability,split_replica_count,out_dir,cmd,algo,time_slots,arrival_rate,mean_service_time,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,mechanism,fixed_sfc_len,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio,arrivals_per_slot_key
Alabama,MDCA,MDCA,1,0.996,0,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\MDCA\seed1,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 1 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\MDCA\seed1,mdca,120,12.0,9.0,4151998564921826748,14880128096359974019,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",False,,,,,2,False,False,False,1.0,500,700,0.2,1436,1374,62,0.9568245125,59.3551784735,85234.0362879681,64325.0362879682,62.0335053042,0.7747830888,0.83584614,28780.3083333333,39486.2,0.0,1865.6,288.2204379562,0.0630365659,0.1226818883,0.0080528865,0.0474423024,0.007541377,0.0,0.0,1765540531.2722547,1284963.9965591372,0.0,0.0,0.0,0.0,1436,0,0.0,62,53,0,9,0.0431754875,0.036908078,0.0,9,0.0062674095,75eaf020d8128452b7daf36d720eab8e575a310542f6c94fc0e5da8a1d79fefe
Alabama,DMDCA_V2,DMDCA,1,0.996,2,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V2\seed1,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 1 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V2\seed1 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,4151998564921826748,1274429512653363058,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",True,0.3,identical_active_pool,,,2,True,False,False,1.0,500,700,0.2,1436,1408,28,0.9805013928,57.0065977485,81861.4743668708,60113.4743668708,58.140251681,0.7210581632,0.8032890531,34488.3861111111,48905.5333333333,0.4666666667,2028.0,356.9746958637,0.0680425788,0.1297932622,0.008043833,0.0438750447,0.0123837106,5.886108953e-19,0.0,2491385237.197332,1769449.7423276505,596745240.7096256,423824.7448221773,7.775305314e-18,5.077126015e-17,1436,0,0.0,28,17,0,11,0.0194986072,0.0118384401,0.0,11,0.0076601671,75eaf020d8128452b7daf36d720eab8e575a310542f6c94fc0e5da8a1d79fefe
Alabama,DMDCA_V3,DMDCA,1,0.996,3,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V3\seed1,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 1 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V3\seed1 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 3 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,4151998564921826748,17059429142797075702,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",True,0.3,identical_active_pool,,,2,True,False,False,1.0,500,700,0.2,1436,1421,15,0.9895543175,56.0809251423,80532.2085043933,57547.2085043933,56.6729123887,0.6795942625,0.7781363337,38898.2916666667,56175.2,0.0,2028.0,410.0379562044,0.0696368427,0.1322129868,0.0080388356,0.0431036659,0.0137050085,1.516814862e-19,0.0,2721487854.675739,1915192.0159575925,790410898.0060561,556235.6776960281,1.813999968e-18,1.096279351e-17,1436,0,0.0,15,5,0,10,0.0104456825,0.0034818942,0.0,10,0.0069637883,75eaf020d8128452b7daf36d720eab8e575a310542f6c94fc0e5da8a1d79fefe
Alabama,DMDCA_V4,DMDCA,1,0.996,4,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V4\seed1,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 1 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V4\seed1 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 4 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,4151998564921826748,8295117724144168462,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",True,0.3,identical_active_pool,,,2,True,False,False,1.0,500,700,0.2,1436,1425,11,0.9923398329,58.6302781795,84193.0794657953,58696.0794657953,59.082862783,0.6909240657,0.7805611515,38473.16,54188.8,0.0,2028.0,395.5386861314,0.0705644154,0.1333359075,0.0080450948,0.0427299657,0.0146402531,3.652049423e-19,0.0,2815513436.769762,1975798.9029963242,866198980.2028353,607858.9334756739,4.447186947e-18,3.480821278e-17,1436,0,0.0,11,1,0,10,0.0076601671,0.0006963788,0.0,10,0.0069637883,75eaf020d8128452b7daf36d720eab8e575a310542f6c94fc0e5da8a1d79fefe
Alabama,DMDCA_V5,DMDCA,1,0.996,5,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V5\seed1,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 1 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V5\seed1 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 5 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,4151998564921826748,11122682627349638330,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",True,0.3,identical_active_pool,,,2,True,False,False,1.0,500,700,0.2,1436,1417,19,0.9867688022,59.9805455506,86132.0634106681,58410.0634106681,60.7848012778,0.6886612231,0.7876675109,37227.2361111111,54585.5333333333,0.0,2028.0,398.4345498783,0.0707492462,0.1330466709,0.0080465453,0.0419865258,0.0150788568,7.265761348e-19,0.0,2925057701.0651793,2064260.904068581,979390867.4450428,691172.1012315052,8.935726133e-18,5.482940678e-17,1436,0,0.0,19,5,0,14,0.0132311978,0.0034818942,0.0,14,0.0097493036,75eaf020d8128452b7daf36d720eab8e575a310542f6c94fc0e5da8a1d79fefe
Alabama,MDCA,MDCA,2,0.996,0,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\MDCA\seed2,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 2 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\MDCA\seed2,mdca,120,12.0,9.0,2442432397383401356,16121394405342853155,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",False,,,,,2,False,False,False,1.0,500,700,0.2,1441,1347,94,0.9347675226,57.3141181449,82589.6442468723,62459.6442468723,61.3137670727,0.9330680833,0.8727201689,21932.275,11533.4,0.0,1601.6,84.1854014599,0.062409096,0.1230579148,0.0080299585,0.046930321,0.0074488166,0.0,0.0,1692462655.0345256,1256468.1923047702,0.0,0.0,0.0,0.0,1441,0,0.0,94,83,0,11,0.0652324774,0.0575988897,0.0,11,0.0076335878,8fc4f01d27d24209561869cebbe17c1886c401cb75a961f27acf2ca622755f65
Alabama,DMDCA_V2,DMDCA,2,0.996,2,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V2\seed2,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 2 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V2\seed2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,2442432397383401356,1988428424119012433,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",True,0.3,identical_active_pool,,,2,True,False,False,1.0,500,700,0.2,1441,1383,58,0.9597501735,55.3681871517,79785.5576856387,58739.5576856387,57.6902080156,0.8857594852,0.8393046188,27690.2888888889,19685.4,0.0,1601.6,143.6890510949,0.0677883597,0.1285358317,0.008037159,0.0436060798,0.0126297367,5.475103379e-19,0.0,2416920643.000196,1747592.6558208214,571840528.7137659,413478.3287879724,7.346775924e-18,4.764810996e-17,1441,0,0.0,58,44,0,14,0.0402498265,0.0305343511,0.0,14,0.0097154754,8fc4f01d27d24209561869cebbe17c1886c401cb75a961f27acf2ca622755f65
Alabama,DMDCA_V3,DMDCA,2,0.996,3,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V3\seed2,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 2 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V3\seed2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 3 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,2442432397383401356,17192373401130589057,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",True,0.3,identical_active_pool,,,2,True,False,False,1.0,500,700,0.2,1441,1398,43,0.9701596114,53.7950745843,77518.7024760367,55281.7024760367,55.4497156481,0.850898991,0.8035912393,33844.2541666667,25692.4,0.0,1932.8,187.5357664234,0.0692800136,0.1329182115,0.0080230623,0.0422669786,0.014244631,1.343231876e-19,0.0,2658996048.682715,1902000.0348231152,782330469.3203793,559606.9165381825,1.662527e-18,6.793668759e-18,1441,0,0.0,43,26,0,17,0.0298403886,0.0180430257,0.0,17,0.0117973629,8fc4f01d27d24209561869cebbe17c1886c401cb75a961f27acf2ca622755f65
Alabama,DMDCA_V4,DMDCA,2,0.996,4,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V4\seed2,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 2 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V4\seed2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 4 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,2442432397383401356,11669654172036368971,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",True,0.3,identical_active_pool,,,2,True,False,False,1.0,500,700,0.2,1441,1397,44,0.9694656489,56.0778458908,80808.1759286343,56322.1759286343,57.8440772574,0.8387480167,0.8197883552,31053.2416666667,27786.2,0.2,2272.0,202.8189781022,0.0698277695,0.1342677003,0.008022038,0.0418514767,0.0146616139,3.641429201e-19,0.0,2770086340.975437,1982882.1338406852,873914782.3112104,625565.3416687262,4.395280909e-18,3.559308809e-17,1441,0,0.0,44,31,0,13,0.0305343511,0.0215128383,0.0,13,0.0090215128,8fc4f01d27d24209561869cebbe17c1886c401cb75a961f27acf2ca622755f65
Alabama,DMDCA_V5,DMDCA,2,0.996,5,D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V5\seed2,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --max_backup_level 2 --region Alabama --seed 2 --fixed_reliability 0.996 --out_dir D:\Study\Code_1\paper_data\split_count_sensitivity\Alabama\R0p996\DMDCA_V5\seed2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 5 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,2442432397383401356,9454931305527635803,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",True,0.3,identical_active_pool,,,2,True,False,False,1.0,500,700,0.2,1441,1393,48,0.9666897988,57.4143884006,82734.1336852917,55891.1336852917,59.3927736434,0.8751800477,0.811105843,32549.3722222222,21508.4,0.3333333333,1932.8,156.995620438,0.0698531441,0.1342059763,0.0080182302,0.0416755788,0.014770902,6.84923124e-19,0.0,2774940622.0527344,1992060.7480637003,921149813.9698431,661270.5053624143,8.490645918e-18,5.696826133e-17,1441,0,0.0,48,30,2,16,0.0333102012,0.0208188758,0.0013879251,16,0.0111034004,8fc4f01d27d24209561869cebbe17c1886c401cb75a961f27acf2ca622755f65
