slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,11,11,0,0,0,0,11,0,0,0.06445402245035085,0.10380153674477081,0.007373817091153834,0.04942787711104408,0.007652328248152937,0.0,0.0,1190384.1004377936,0.0,0.0,157812.6,0.09373729438437628,11
1,15,15,0,0,0,0,15,0,0,0.05479066053158863,0.08762585180563459,0.008567132350725848,0.042585475986935545,0.0036380521939272446,0.0,0.0,672380.638603835,0.0,0.0,151777.6,0.12839419395000218,22
2,11,11,0,1,0,0,10,1,1,0.060860501331787574,0.09010984165340262,0.008102192189233148,0.047312634859156696,0.005445674283397731,0.0,0.0,924680.2017071958,0.0,0.0,147539.6,0.1527315494361865,25
3,7,7,0,0,0,0,7,0,0,0.08206501963151311,0.17236499315189988,0.007733781821422245,0.06743762375312014,0.006893614056970718,0.0,0.0,1024149.9152983649,0.0,0.0,142397.6,0.182260261543303,30
4,14,14,0,0,0,0,14,0,0,0.07171536334349733,0.15604341198062188,0.007767819280821653,0.057743504108637975,0.006204039954037698,0.0,0.0,1002540.9251762497,0.0,0.0,126123.6,0.27571616602234117,42
5,9,9,0,0,0,0,9,0,0,0.06398423068012093,0.12825014998458406,0.0076118150641981824,0.04873895773168143,0.007633457884241314,0.0,0.0,1224534.4117554869,0.0,0.0,123958.6,0.28814900571738344,44
6,19,19,0,0,0,0,19,0,0,0.06647711802166593,0.12364315100139048,0.00789445803478521,0.053805804240645363,0.0047768557462353626,0.0,0.0,920114.1015358415,0.0,0.0,113142.6,0.35026152033243063,56
7,12,12,0,0,0,0,12,0,0,0.05665142851980578,0.10461079796961437,0.007392028572931336,0.042611293864127174,0.006648106082747261,0.0,0.0,1216256.5221521666,0.0,0.0,103996.6,0.4027838075614636,63
8,19,19,0,0,0,0,19,0,0,0.068266703200029,0.14044289300111928,0.008302014610204907,0.05318453553829721,0.006780153051526892,0.0,0.0,1139595.9250706553,0.0,0.0,87615.6,0.49685417571134216,73
9,6,6,0,0,0,0,6,0,0,0.06926326193692041,0.0977940135393553,0.00770621788498399,0.05436654405444694,0.007190499997489476,0.0,0.0,951741.2873897284,0.0,0.0,93393.6,0.4636731374859592,67
