slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,8,5,3,0,0,0,5,3,0,0.08549183260614754,0.12118457706013018,0.007762158215753534,0.060869003357956385,0.011073464192625504,6.938893903907229e-19,0.0,1844867.7331279195,583495.6374087362,1.3584769583829833e-17,162762.13333333336,0.05613294843052341,5
1,14,10,4,0,0,0,10,4,0,0.07301592738859597,0.15816143884177652,0.007819698703386467,0.04693273592074581,0.011698232846852716,1.474514954580286e-18,0.0,1537848.002989269,449019.91349120496,1.519271951009479e-17,147533.8,0.14444293668936414,15
2,13,12,1,0,0,0,12,1,0,0.07527097699931783,0.11540017066312126,0.006898538643499991,0.04892368081430722,0.012150803073584395,1.807003620809174e-18,0.0,1606956.9325063752,454146.4936567441,1.8100397045868665e-17,133160.80000000002,0.22779279733800029,23
3,10,8,2,0,0,0,8,2,0,0.060133221759168395,0.08913857446900357,0.008467647262996885,0.03600174208611296,0.01226066766922051,6.505213034913027e-19,0.0,1936065.8808012293,471105.1384058101,9.828195167561473e-18,126926.46666666667,0.26394605793568215,25
4,13,10,3,0,0,0,10,3,0,0.06283336620921989,0.10052046111547584,0.007487605375154737,0.036632946388592304,0.01179437159668764,4.336808689942018e-19,0.0,1692888.579364602,490001.87634704466,7.947109843717809e-18,123002.46666666667,0.28670156153167803,29
5,9,7,2,0,0,0,7,2,0,0.081570783061077,0.13515103593288721,0.007561537955622025,0.05213681054356672,0.0151825494209779,1.1151793774136618e-18,0.0,1967413.5412317005,446270.25775036745,1.2857171269823723e-17,118733.80000000002,0.3114558071186915,31
6,17,15,2,1,0,0,14,3,1,0.07455769841123147,0.12435164130108291,0.008518443235296675,0.05341709627997377,0.009646436970933018,7.434529182757744e-19,0.0,1382588.2513021093,378851.02496688516,7.610683730758691e-18,100913.80000000002,0.4147950206968378,41
7,9,7,2,0,0,0,7,2,0,0.07300440400214925,0.11373640094549857,0.00858679340340507,0.047652754058749226,0.011787813111721748,2.4781763942525814e-19,0.0,1444425.7357271088,435259.2217653875,3.516687259645809e-18,93899.13333333333,0.4554734795546478,45
8,15,11,4,0,0,0,11,4,0,0.0914218270509894,0.16520468479481365,0.008484743353158629,0.06514094856950368,0.013925536013704972,0.0,0.0,1696670.0215324715,390884.22453286784,0.0,82398.13333333333,0.5221684456243594,49
9,15,14,1,0,0,0,14,1,0,0.06650799018008587,0.0960001589841711,0.0075322024622399165,0.044564658417325695,0.011338957500085243,5.575896887068309e-19,0.0,1454542.5911987158,339958.9558154577,6.773358734388395e-18,78840.46666666667,0.5427995609726488,52
10,12,9,3,0,0,0,9,3,0,0.04882834852535284,0.08036764715280625,0.00797662601860021,0.03178857622527,0.007596142399460491,2.8912057932946783e-19,0.0,1163196.4931312858,296766.82923537533,4.330256252338581e-18,89754.46666666667,0.479508641949535,51
11,10,7,3,0,0,0,7,3,0,0.08189619648704057,0.13517943591069098,0.008039733629707646,0.056583713067066436,0.009548873076249432,2.7259940336778397e-18,0.0,1769971.9108992268,490128.9383913349,2.6007149446031052e-17,96095.80000000002,0.4427348821457441,49
12,12,11,1,1,0,0,10,2,1,0.06297366877042049,0.09707480890220384,0.007781347659299299,0.040001010296719555,0.011293909152174694,8.673617379884036e-20,0.0,1407296.206341513,335640.5076728272,3.1355082293433188e-18,93895.80000000002,0.45549280974798445,50
13,12,12,0,0,0,0,12,0,0,0.05913265014849973,0.11897179366257152,0.00804648590280945,0.038239253648332035,0.00820631597927196,1.807003620809174e-18,0.0,1389532.5372410393,352516.1920844316,1.5423641037562677e-17,87055.13333333335,0.495162232513617,54
14,15,13,2,0,0,0,13,2,0,0.06618275873013785,0.10544793675129462,0.00888938182848459,0.038207824727125576,0.013596503863880569,1.2009624064454818e-18,0.0,1801460.5387792273,620340.0994446875,1.063546975455959e-17,81402.46666666667,0.5279423743740399,58
