slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,18,18,0,0,0,0,18,0,0,0.05641277739461375,0.10498024190587298,0.007846156487610008,0.042957690737505855,0.005608930169497902,0.0,0.0,825369.8196417163,0.0,0.0,351131.60000000003,0.06045360674678624,18
1,8,8,0,0,0,0,8,0,0,0.07127444660087942,0.12897380016707985,0.007986077552522603,0.057386667299895174,0.0059017017484616395,0.0,0.0,1083308.7577483933,0.0,0.0,345108.60000000003,0.07656975216509698,24
2,12,12,0,0,0,0,12,0,0,0.07466776315861572,0.14637592244632727,0.007984071422336035,0.05897562454434299,0.007708067191936706,0.0,0.0,1069513.8145422114,0.0,0.0,332316.60000000003,0.11079816527999498,34
3,8,8,0,0,0,0,8,0,0,0.06650187160782474,0.11760709209037411,0.008205762078606387,0.051747677578026986,0.006548431951191369,0.0,0.0,973455.1873276264,0.0,0.0,333823.60000000003,0.10676578421650595,35
4,10,10,0,0,0,0,10,0,0,0.06786568391873543,0.11367498257126336,0.008529975540174565,0.054471463281110924,0.00486424509744995,0.0,0.0,900722.0969457846,0.0,0.0,334595.60000000003,0.10470009199287389,37
5,13,13,0,0,0,0,13,0,0,0.06868143115977522,0.13752635731297436,0.008325657524672365,0.05206453300186743,0.008291240633235417,0.0,0.0,1204483.889177378,0.0,0.0,320523.60000000003,0.1423534870329649,48
6,10,10,0,0,0,0,10,0,0,0.07505724799292922,0.12515140685869305,0.007796630590905908,0.0590415576510168,0.008219059751006516,0.0,0.0,985079.9077004509,0.0,0.0,317835.60000000003,0.14954594907587027,52
7,4,4,0,0,0,0,4,0,0,0.06752666843537754,0.13508399531911386,0.00845249120633278,0.051504908689000525,0.007569268540044232,0.0,0.0,1079822.900961453,0.0,0.0,322874.60000000003,0.13606275851255178,47
8,19,19,0,0,0,0,19,0,0,0.052915004648216954,0.11149055222561667,0.008564817248226173,0.03755272559401934,0.006797461805971436,0.0,0.0,1037393.5760733004,0.0,0.0,310031.60000000003,0.1704276357510316,61
9,10,10,0,0,0,0,10,0,0,0.05192134464621906,0.0830687317231836,0.007408426508305727,0.03756585251577617,0.006947065622137161,0.0,0.0,1020927.5100477034,0.0,0.0,309176.60000000003,0.17271541664637546,63
10,8,8,0,0,0,0,8,0,0,0.06528637685111119,0.10433320045656856,0.008955659393871981,0.04894066074973498,0.007390056707504224,0.0,0.0,1517333.1653647383,0.0,0.0,307106.60000000003,0.1782542546035235,62
11,11,11,0,0,0,0,11,0,0,0.05054844220711016,0.09700949684497095,0.0074077090355949195,0.03713815010203269,0.006002583069482558,0.0,0.0,966978.7609169093,0.0,0.0,315007.60000000003,0.15711301851684367,56
12,17,17,0,0,0,0,17,0,0,0.055504791520358,0.09540584043835873,0.008421009985874073,0.038599594811408525,0.0084841867230754,0.0,0.0,1358515.1801035092,0.0,0.0,298613.60000000003,0.2009795448306052,69
13,9,9,0,0,0,0,9,0,0,0.07784283888024535,0.17450354272024401,0.006925377230028368,0.06330792235776599,0.007609539292450991,0.0,0.0,1164168.7421975643,0.0,0.0,297933.60000000003,0.202799066478364,72
14,5,5,0,0,0,0,5,0,0,0.060520665987119006,0.08874407527300832,0.007750563158840257,0.04821811528108041,0.004551987547198331,0.0,0.0,907535.3822322307,0.0,0.0,302257.60000000003,0.19122904941232122,69
15,13,13,0,0,0,0,13,0,0,0.07143791030526406,0.11700315813804829,0.007935122764911125,0.05389427014600115,0.009608517394351786,0.0,0.0,1511358.530150925,0.0,0.0,297220.60000000003,0.20470688844138163,71
16,15,15,0,0,0,0,15,0,0,0.06922410554398105,0.11375693166826543,0.007308202181966076,0.052792572834091264,0.0091233305279237,0.0,0.0,1339094.763144309,0.0,0.0,291709.60000000003,0.21945304108961516,76
17,7,7,0,0,0,0,7,0,0,0.06131404810350904,0.09445323115380817,0.00861129925308994,0.047522661635831555,0.0051800872145875325,0.0,0.0,1125610.9541336165,0.0,0.0,293250.60000000003,0.2153296839437382,74
18,16,16,0,1,0,0,15,1,1,0.06648151451439073,0.1131800542814361,0.008386756353630434,0.0476980264667259,0.010396731694034411,0.0,0.0,1406607.8196774179,0.0,0.0,279584.60000000003,0.2518967175294321,84
19,9,9,0,0,0,0,9,0,0,0.05817660641215619,0.09308769813616738,0.007051069741673154,0.04248462066225496,0.008640916008228076,0.0,0.0,1097723.3323993145,0.0,0.0,274406.60000000003,0.26575183972368954,86
