slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,11,11,0,0,0,0,11,0,0,0.06919321789524256,0.1508497231301314,0.007802484922417574,0.04475575578575206,0.01344485212462737,2.365532012695646e-19,0.0,1368688.485535435,412043.9869062973,7.311720898477412e-18,359398.5333333333,0.04282959971435696,11
1,9,9,0,0,0,0,9,0,0,0.06283037657796385,0.10645793721798992,0.007148165520008219,0.03962043859676118,0.01268979338589679,1.0601087908747155e-18,0.0,1358022.4512373933,340805.50014675804,1.3147635884215321e-17,346799.2,0.076384853315834,16
2,12,12,0,0,0,0,12,0,0,0.06740046092451983,0.16923311755445689,0.00825494173077152,0.04046967094395871,0.013531159063050475,1.5901631863120731e-18,0.0,1664978.4118959755,407240.0154906883,2.0309853556842683e-17,331534.8666666667,0.11703768489878641,26
3,7,7,0,0,0,0,7,0,0,0.062220731105711705,0.10500181317452673,0.007595817532189029,0.03604353684397214,0.01507267418785708,4.956352788505163e-19,0.0,1358953.161078948,478893.07918406,5.830139849521695e-18,328513.5333333334,0.1250842698674035,28
4,18,18,0,1,0,0,17,1,1,0.057592407975467885,0.10475108520657626,0.008094063845504026,0.03270270429252858,0.01356187025577466,3.0612767223120127e-19,0.0,1362803.086026572,420880.0640210418,5.8950801736363734e-18,309824.20000000007,0.174858754203284,41
5,11,11,0,0,0,0,11,0,0,0.07318750743720998,0.14210810709866098,0.00780447150099036,0.05271760665792557,0.010035541228639255,7.885106708985487e-20,0.0,1282736.5323577335,294332.8396085519,2.3633726773877906e-18,306140.5333333333,0.18466930258018044,45
6,11,11,0,0,0,0,11,0,0,0.0748206495992403,0.1330578889508848,0.008729798497320078,0.045868762601311654,0.016607140423832076,1.4193192076173877e-18,0.0,1787112.3580168786,480787.7029328884,1.3815634010386062e-17,302888.8666666667,0.19332932424488247,48
7,16,15,1,0,0,0,15,1,0,0.06950865088045083,0.12961081090018972,0.008669662156875443,0.038256524404170135,0.01788040705066042,1.6768993601109135e-18,0.0,1789518.2271025046,455210.08868954296,1.876462000238538e-17,289154.19999999995,0.22990826147424037,56
8,6,6,0,0,0,0,6,0,0,0.063062713120577,0.11344285570509002,0.008535444330404119,0.04273997551372292,0.010106605469937942,2.8912057932946783e-19,0.0,1428934.3001954835,220575.73734994637,3.813201801862919e-18,289802.2,0.22818247140594894,55
9,10,10,0,0,0,0,10,0,0,0.08247729547017828,0.11946447965818574,0.009317995193440409,0.055258919262643466,0.014156780108864253,1.0408340855860842e-18,0.0,2246679.189177991,479683.64338770247,1.1685333452524414e-17,277753.2,0.2602720463023084,61
10,12,11,1,0,0,0,11,1,0,0.06819466660330266,0.14612755011290016,0.007366477868886095,0.0399489138123537,0.014843707292431814,6.30808536718839e-19,0.0,1590564.8519880644,506945.6699896001,3.2269141732139228e-18,268306.5333333333,0.2854309406106279,66
11,19,19,0,0,0,0,19,0,0,0.07507338852369722,0.13504174524624268,0.008066714032272682,0.051125864618076215,0.013121367625392837,5.021567956774968e-19,0.0,1788472.9336640898,246561.09805888878,6.987228517522789e-18,242817.19999999998,0.3533155676384534,77
12,17,17,0,0,0,0,17,0,0,0.07590023383761062,0.12385334351942587,0.007744880350739937,0.050773344134771005,0.013484612739869176,3.5714895093640144e-19,0.0,1788603.483746983,263667.359521733,5.038741582020942e-18,226502.8666666667,0.3967648183135444,87
13,11,11,0,1,0,0,10,1,1,0.0807764924687108,0.1279976484376622,0.008031710506433889,0.05100408466556515,0.018697751645494115,1.3010426069826053e-19,0.0,2045210.3935503694,490799.33366764366,1.5094135892430457e-18,227447.8666666667,0.39424804113061973,86
14,7,6,1,0,0,0,6,1,0,0.06210799024002502,0.10918661462887372,0.009160160260037733,0.038196397561972455,0.012387940179639824,2.8912057932946783e-19,0.0,1527100.633342008,208512.77043434686,2.4853386808120227e-18,244727.53333333335,0.3482278603949467,78
15,15,14,1,0,0,0,14,1,0,0.0680236328275498,0.12604351736350491,0.007264013299989785,0.039717083952906886,0.016599323016400578,5.266124837786735e-19,0.0,1671383.553121556,384990.29295332124,5.774213761662305e-18,236191.8666666667,0.3709605282338012,85
16,13,13,0,0,0,0,13,0,0,0.07436288638504639,0.11385688339497382,0.008259935478369933,0.045325450742964415,0.016033532416661587,1.2676825401368974e-18,0.0,1738614.6214682236,404239.27741020976,1.7133842636560262e-17,239387.53333333335,0.3624496489206799,84
17,17,17,0,1,0,0,16,1,1,0.07855002953833887,0.14851499347060104,0.007600561136968409,0.050416010817209624,0.01783721150815252,2.168404344971009e-19,0.0,1764351.297523674,379531.96277707856,2.45791276370357e-18,230639.53333333333,0.38574781484261134,86
18,7,7,0,1,0,0,6,1,1,0.05457899759578038,0.07873408952933321,0.007620544200813264,0.029385657605640006,0.013943163714522797,0.0,0.0,1313668.2903480653,377045.5088388683,0.0,240061.53333333335,0.3606546141891547,81
19,7,7,0,0,0,0,7,0,0,0.09574305814589117,0.16743187142043334,0.007700360803697652,0.06436371010581825,0.016135809835697523,4.956352788505163e-19,0.0,1954972.1222229865,347233.8757078935,3.1195637647460004e-18,244123.86666666673,0.34983557943490307,78
20,10,10,0,0,0,0,10,0,0,0.07164050343745115,0.10884085243309663,0.0075029736444762445,0.04705646899176924,0.014534003423911711,9.54097911787244e-19,0.0,1727018.784549887,344710.09178343025,1.5029526718825866e-17,238675.2,0.3643467751428704,80
21,12,12,0,0,0,0,12,0,0,0.08228872420281076,0.15396739949773272,0.008603699915023983,0.05028493980118265,0.020154996344127988,7.228014483236697e-19,0.0,2423119.5339483023,546387.305869003,8.152735478236183e-18,241494.19999999998,0.356839055694548,79
22,4,4,0,0,0,0,4,0,0,0.062150293191588095,0.12541240195887582,0.007726885074468003,0.03645704021161628,0.013330764682593973,8.673617379884035e-19,0.0,1089154.1296662793,384094.7001601368,6.355500650393599e-18,253578.86666666667,0.32465449132426516,72
