algo,region,time_slots,arrival_rate,mean_service_time,seed,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,split_workload_shares,mechanism,fixed_sfc_len,fixed_reliability,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio,placement_trace_path,method,share,share_tag
mdca,Alabama,120,12.0,9.0,1,4151998564921826748,14880128096359974019,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",False,,,,,,0.996,2,False,False,False,1.0,500,700,0.2,1436,1374,62,0.9568245125,59.3551784735,85234.0362879681,64325.0362879682,62.0335053042,0.7747830888,0.83584614,28780.3083333333,39486.2,0.0,1865.6,288.2204379562,0.0630365659,0.1226818883,0.0080528865,0.0474423024,0.007541377,0.0,0.0,1765540531.2722547,1284963.9965591372,0.0,0.0,0.0,0.0,1436,0,0.0,62,53,0,9,0.0431754875,0.036908078,0.0,9,0.0062674095,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\MDCA\seed1\placement_trace_Alabama_mdca_seed1.json,MDCA,none,none
mdca,Alabama,120,12.0,9.0,1,4151998564921826748,1274429512653363058,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",True,0.3,identical_active_pool,"0.5,0.5",,,0.996,2,True,False,False,1.0,500,700,0.2,1436,1408,28,0.9805013928,57.0065977485,81861.4743668708,60113.4743668708,58.140251681,0.7210581632,0.8032890531,34488.3861111111,48905.5333333333,0.4666666667,2028.0,356.9746958637,0.0680425788,0.1297932622,0.008043833,0.0438750447,0.0123837106,5.886108953e-19,0.0,2491385237.197332,1769449.7423276505,596745240.7096256,423824.7448221773,7.775305314e-18,5.077126015e-17,1436,0,0.0,28,17,0,11,0.0194986072,0.0118384401,0.0,11,0.0076601671,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\DMDCA_share0p5_0p5\seed1\placement_trace_Alabama_mdca_seed1.json,DMDCA,"0.5,0.5",0p5_0p5
mdca,Alabama,120,12.0,9.0,1,4151998564921826748,1274429512653363058,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",True,0.3,identical_active_pool,"0.6,0.4",,,0.996,2,True,False,False,1.0,500,700,0.2,1436,1406,30,0.9791086351,56.8948696937,81701.0328801707,59997.0328801707,58.1088427313,0.7210581632,0.8067373911,33883.8055555556,48905.5333333333,0.0333333333,2028.0,356.9746958637,0.0676794603,0.1305381694,0.0080402029,0.0437582784,0.0121314837,0.0004890646,0.0,2362484509.056001,1680287.7020312953,479507723.4044186,341043.9000031427,0.0064924042,0.01969288,1436,0,0.0,30,19,1,10,0.0208913649,0.0132311978,0.0006963788,10,0.0069637883,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\DMDCA_share0p6_0p4\seed1\placement_trace_Alabama_mdca_seed1.json,DMDCA,"0.6,0.4",0p6_0p4
mdca,Alabama,120,12.0,9.0,1,4151998564921826748,1274429512653363058,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",True,0.3,identical_active_pool,"0.7,0.3",,,0.996,2,True,False,False,1.0,500,700,0.2,1436,1409,27,0.9811977716,57.0350949819,81902.3963939751,60133.3963939752,58.1280315074,0.7210581632,0.8035117504,34449.3416666667,48905.5333333333,0.6666666667,2028.0,356.9746958637,0.0671593883,0.1291296053,0.0080451234,0.0434475093,0.011928707,0.0008626266,0.0,2205330017.423965,1565173.8945521398,357776592.9753587,253922.3512954995,0.0115949082,0.0350356421,1436,0,0.0,27,16,0,11,0.0188022284,0.0111420613,0.0,11,0.0076601671,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\DMDCA_share0p7_0p3\seed1\placement_trace_Alabama_mdca_seed1.json,DMDCA,"0.7,0.3",0p7_0p3
mdca,Alabama,120,12.0,9.0,2,2442432397383401356,16121394405342853155,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",False,,,,,,0.996,2,False,False,False,1.0,500,700,0.2,1441,1347,94,0.9347675226,57.3141181449,82589.6442468723,62459.6442468723,61.3137670727,0.9330680833,0.8727201689,21932.275,11533.4,0.0,1601.6,84.1854014599,0.062409096,0.1230579148,0.0080299585,0.046930321,0.0074488166,0.0,0.0,1692462655.0345256,1256468.1923047702,0.0,0.0,0.0,0.0,1441,0,0.0,94,83,0,11,0.0652324774,0.0575988897,0.0,11,0.0076335878,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\MDCA\seed2\placement_trace_Alabama_mdca_seed2.json,MDCA,none,none
mdca,Alabama,120,12.0,9.0,2,2442432397383401356,1988428424119012433,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",True,0.3,identical_active_pool,"0.5,0.5",,,0.996,2,True,False,False,1.0,500,700,0.2,1441,1383,58,0.9597501735,55.3681871517,79785.5576856387,58739.5576856387,57.6902080156,0.8857594852,0.8393046188,27690.2888888889,19685.4,0.0,1601.6,143.6890510949,0.0677883597,0.1285358317,0.008037159,0.0436060798,0.0126297367,5.475103379e-19,0.0,2416920643.000196,1747592.6558208214,571840528.7137659,413478.3287879724,7.346775924e-18,4.764810996e-17,1441,0,0.0,58,44,0,14,0.0402498265,0.0305343511,0.0,14,0.0097154754,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\DMDCA_share0p5_0p5\seed2\placement_trace_Alabama_mdca_seed2.json,DMDCA,"0.5,0.5",0p5_0p5
mdca,Alabama,120,12.0,9.0,2,2442432397383401356,1988428424119012433,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",True,0.3,identical_active_pool,"0.6,0.4",,,0.996,2,True,False,False,1.0,500,700,0.2,1441,1384,57,0.960444136,55.4430639587,79893.4551644499,58831.4551644499,57.7264849454,0.893615235,0.8406967366,27450.4055555556,18331.7333333333,0.1,1601.6,133.8082725061,0.0672543255,0.1285962072,0.0080331304,0.0433393981,0.0123598222,0.000459388,0.0,2275476534.9415407,1644130.4443219225,461628269.3710667,333546.4374068401,0.0061737742,0.0188852192,1441,0,0.0,57,44,0,13,0.039555864,0.0305343511,0.0,13,0.0090215128,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\DMDCA_share0p6_0p4\seed2\placement_trace_Alabama_mdca_seed2.json,DMDCA,"0.6,0.4",0p6_0p4
mdca,Alabama,120,12.0,9.0,2,2442432397383401356,1988428424119012433,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",True,0.3,identical_active_pool,"0.7,0.3",,,0.996,2,True,False,False,1.0,500,700,0.2,1441,1381,60,0.9583622484,55.1461449181,79465.594826965,58469.594826965,57.5420672172,0.8857594852,0.8396264608,27634.8305555556,19685.4,0.0,1932.8,143.6890510949,0.0667516731,0.1297228614,0.0080327873,0.0432369109,0.011960759,0.0008125883,0.0,2156062533.427146,1561232.826522191,344900165.95956737,249746.6806369061,0.011092849,0.0337624606,1441,0,0.0,60,45,0,15,0.0416377516,0.0312283137,0.0,15,0.0104094379,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\DMDCA_share0p7_0p3\seed2\placement_trace_Alabama_mdca_seed2.json,DMDCA,"0.7,0.3",0p7_0p3
mdca,Alabama,120,12.0,9.0,3,16822749361596586808,8021305762253439011,32c151d9d483db53d83a78bb52cbf0e0f11fcc4ec06f818bcca35f5a09c67cca,"[9, 20, 9, 8, 12, 14, 11, 9, 14, 11, 12, 13, 7, 13, 19, 18, 13, 15, 10, 13, 8, 12, 12, 6, 12, 7, 12, 8, 12, 6, 14, 11, 10, 19, 12, 13, 10, 17, 17, 13, 18, 10, 10, 12, 14, 11, 13, 12, 9, 13, 9, 7, 12, 14, 10, 12, 16, 15, 12, 15, 16, 7, 15, 14, 11, 16, 11, 12, 10, 9, 8, 14, 8, 9, 12, 14, 11, 10, 12, 16, 11, 7, 14, 10, 19, 12, 14, 12, 11, 10, 14, 15, 11, 12, 13, 14, 11, 9, 8, 12, 20, 19, 19, 9, 11, 6, 10, 10, 15, 9, 14, 16, 9, 16, 11, 12, 13, 9, 6, 12]",False,,,,,,0.996,2,False,False,False,1.0,500,700,0.2,1445,1369,76,0.9474048443,55.8987385743,80773.6772398368,60352.6772398368,59.0019556171,0.9569467782,0.8666311066,23096.9583333333,7456.0,0.8,849.6,54.4233576642,0.063188324,0.1244141486,0.0080332815,0.0476161239,0.0075389186,0.0,0.0,1735715193.3460243,1267870.849777958,0.0,0.0,0.0,0.0,1445,0,0.0,76,64,0,12,0.0525951557,0.0442906574,0.0,12,0.0083044983,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\MDCA\seed3\placement_trace_Alabama_mdca_seed3.json,MDCA,none,none
mdca,Alabama,120,12.0,9.0,3,16822749361596586808,15868857010820782473,32c151d9d483db53d83a78bb52cbf0e0f11fcc4ec06f818bcca35f5a09c67cca,"[9, 20, 9, 8, 12, 14, 11, 9, 14, 11, 12, 13, 7, 13, 19, 18, 13, 15, 10, 13, 8, 12, 12, 6, 12, 7, 12, 8, 12, 6, 14, 11, 10, 19, 12, 13, 10, 17, 17, 13, 18, 10, 10, 12, 14, 11, 13, 12, 9, 13, 9, 7, 12, 14, 10, 12, 16, 15, 12, 15, 16, 7, 15, 14, 11, 16, 11, 12, 10, 9, 8, 14, 8, 9, 12, 14, 11, 10, 12, 16, 11, 7, 14, 10, 19, 12, 14, 12, 11, 10, 14, 15, 11, 12, 13, 14, 11, 9, 8, 12, 20, 19, 19, 9, 11, 6, 10, 10, 15, 9, 14, 16, 9, 16, 11, 12, 13, 9, 6, 12]",True,0.3,identical_active_pool,"0.5,0.5",,,0.996,2,True,False,False,1.0,500,700,0.2,1445,1406,39,0.9730103806,54.0904821765,78160.7467451033,56904.7467451033,55.5908582824,0.9541231428,0.8358981034,28419.3305555556,7945.0,0.0,1640.6,57.9927007299,0.0685597099,0.1325531352,0.0080262149,0.0438347069,0.0128516898,5.715580727e-19,0.0,2510177092.717058,1785332.2138812647,607936159.3352308,432387.0265542182,7.56955157e-18,5.034813267e-17,1445,0,0.0,39,22,0,17,0.0269896194,0.0152249135,0.0,17,0.0117647059,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p996\DMDCA_share0p5_0p5\seed3\placement_trace_Alabama_mdca_seed3.json,DMDCA,"0.5,0.5",0p5_0p5
