region,fixed_reliability,seed,method,share,share_tag,placement_trace_path
Alabama,0.9,1,DMDCA,"0.5,0.5",0p5_0p5,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\DMDCA_share0p5_0p5\seed1\placement_trace_Alabama_mdca_seed1.json
Alabama,0.9,2,DMDCA,"0.5,0.5",0p5_0p5,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\DMDCA_share0p5_0p5\seed2\placement_trace_Alabama_mdca_seed2.json
Alabama,0.9,3,DMDCA,"0.5,0.5",0p5_0p5,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\DMDCA_share0p5_0p5\seed3\placement_trace_Alabama_mdca_seed3.json
Alabama,0.9,4,DMDCA,"0.5,0.5",0p5_0p5,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\DMDCA_share0p5_0p5\seed4\placement_trace_Alabama_mdca_seed4.json
Alabama,0.9,5,DMDCA,"0.5,0.5",0p5_0p5,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\DMDCA_share0p5_0p5\seed5\placement_trace_Alabama_mdca_seed5.json
Alabama,0.9,1,MDCA,,,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\MDCA\seed1\placement_trace_Alabama_mdca_seed1.json
Alabama,0.9,2,MDCA,,,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\MDCA\seed2\placement_trace_Alabama_mdca_seed2.json
Alabama,0.9,3,MDCA,,,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\MDCA\seed3\placement_trace_Alabama_mdca_seed3.json
Alabama,0.9,4,MDCA,,,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\MDCA\seed4\placement_trace_Alabama_mdca_seed4.json
Alabama,0.9,5,MDCA,,,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p900\MDCA\seed5\placement_trace_Alabama_mdca_seed5.json
Alabama,0.95,1,DMDCA,"0.5,0.5",0p5_0p5,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p950\DMDCA_share0p5_0p5\seed1\placement_trace_Alabama_mdca_seed1.json
